wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2710;2622;71,297;68,9818
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13379;12850;70,1169;67,3445
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2505;2432;69,2563;67,238
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1240784;1205007;69,1566;67,1625
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;15188;14721;69,1275;67,002
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;364153;353830;68,4436;66,5034
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;427715;416198;66,6297;64,8356
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12216;11881;66,5323;64,7078
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16307;15770;66,2321;64,051
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;509606;497172;65,337;63,7428
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;56425;54779;65,4453;63,5362
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19453;18823;65,3509;63,2345
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6210;6046;64,8564;63,1436
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;305534;296941;64,8961;63,0709
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15255;14952;64,3237;63,046
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11939;11608;64,4933;62,7053
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3555;3442;64,6481;62,5932
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17815;17270;64,3025;62,3353
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14497;14002;64,2626;62,0684
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20487;19856;63,9919;62,0209
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;811;793;62,8682;61,4729
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18317;17714;63,3631;61,2772
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;39709;38285;63,4096;61,1357
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13598;13207;62,9246;61,1152
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1512;1456;63,3962;61,0482
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;153360;148478;62,6038;60,6109
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6566;6342;62,7485;60,6078
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;9446;9158;62,4529;60,5488
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;32508;31565;62,2687;60,4624
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6604;6384;62,5379;60,4545
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21992;21326;62,325;60,4376
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;16745;16192;62,4534;60,3909
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;17201;16738;61,9186;60,252
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;33242;32210;62,1009;60,173
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;13760;13315;62,1107;60,102
32;zachodniopomorskie;3205;gryficki;3205072;gm.w Rewal;Szczeciński;3852;2383;2313;61,864;60,0467
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14544;14199;61,393;59,9367
14;mazowieckie;1421;pruszkowski;1421052;gm.w Nadarzyn;Warszawski;14353;8898;8585;61,994;59,8133
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;11917;11534;61,663;59,6813
