wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;% zaszczepionych;% zaszczepionych pe�n� dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2592;2453;68,1926;64,5356
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1190528;1140084;66,3555;63,544
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;348679;332614;65,5353;62,5158
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14281;13492;64,9993;61,4082
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;410477;393509;63,9444;61,3011
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;12478;11680;65,3949;61,2127
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;11710;11208;63,7765;61,0424
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;489694;468968;62,784;60,1267
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;15582;14798;63,2874;60,1032
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;5952;5705;62,1619;59,5822
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;53868;51354;62,4796;59,5637
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;292288;279844;62,0826;59,4395
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11461;10975;61,9112;59,2859
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;18456;17504;62,0015;58,8034
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17007;16267;61,386;58,715
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3345;3213;60,8292;58,4288
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;13746;13124;60,9336;58,1763
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;19597;18578;61,2119;58,029
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;14528;13728;61,2582;57,885
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;775;746;60,0775;57,8295
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;17478;16594;60,4608;57,4028
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2282;2074;63,091;57,3403
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21084;20218;59,7517;57,2975
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;146429;139468;59,7745;56,9329
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6319;6011;59,839;56,9223
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;37577;35632;60,0051;56,8992
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;31752;30312;59,3174;56,6272
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14023;13406;59,1938;56,5893
4;kujawsko-pomorskie;403;bydgoski;403062;gm.w Osielsko;Bydgoski;15347;8963;8684;58,4023;56,5843
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;12875;12217;59,5789;56,534
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;15955;15142;59,5069;56,4747
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6267;5895;59,8911;56,336
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;31063;29379;59,5008;56,2751
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1423;1341;59,6646;56,2264
24;śląskie;2469;Katowice;2469011;Katowice;;290553;169935;162968;58,4867;56,0889
24;śląskie;2401;będziński;2401042;gm.w Bobrowniki;Katowicki;12122;7085;6795;58,4475;56,0551
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;16359;15565;58,8877;56,0295
30;wielkopolskie;3021;poznański;3021052;gm.w Dopiewo;Poznański;29328;17110;16382;58,3402;55,8579
