wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;% zaszczepionych;% zaszczepionych pe�n� dawk�
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;11349;10746;58,724;55,6038
4;kujawsko-pomorskie;401;aleksandrowski;401021;Ciechocinek;Włocławski;10534;6050;5854;57,4331;55,5724
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;12945;12292;58,4319;55,4843
10;łódzkie;1061;Łódź;1061011;Łódź;;672185;390409;372623;58,0806;55,4346
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;8869;8345;58,638;55,1736
12;małopolskie;1206;krakowski;1206082;gm.w Michałowice;Krakowski;10909;6351;6014;58,218;55,1288
14;mazowieckie;1408;legionowski;1408022;gm.w Jabłonna;Warszawski;20096;11592;11040;57,6831;54,9363
14;mazowieckie;1421;pruszkowski;1421052;gm.w Nadarzyn;Warszawski;14353;8327;7881;58,0157;54,9084
24;śląskie;2401;będziński;2401062;gm.w Psary;Katowicki;12268;7055;6729;57,5073;54,85
14;mazowieckie;1432;warszawski zachodni;1432072;gm.w Stare Babice;Warszawski;19605;11340;10751;57,8424;54,8381
14;mazowieckie;1408;legionowski;1408032;gm.w Nieporęt;Warszawski;14841;8567;8133;57,7252;54,8009
12;małopolskie;1206;krakowski;1206152;gm.w Wielka Wieś;Krakowski;13162;7561;7211;57,4457;54,7865
12;małopolskie;1213;oświęcimski;1213082;gm.w Przeciszów;Bielski;6739;3856;3688;57,2192;54,7262
14;mazowieckie;1412;miński;1412151;Sulejówek;Warszawski;19951;11447;10906;57,3756;54,6639
10;łódzkie;1002;kutnowski;1002011;Kutno;;43332;24864;23679;57,3802;54,6455
14;mazowieckie;1417;otwocki;1417011;Józefów;Warszawski;20741;11938;11328;57,5575;54,6165
14;mazowieckie;1405;grodziski;1405011;Milanówek;Warszawski;16478;9497;8977;57,6344;54,4787
4;kujawsko-pomorskie;463;Toruń;463011;Toruń;;198613;112359;107949;56,5718;54,3514
14;mazowieckie;1414;nowodworski;1414011;Nowy Dwór Mazowiecki;Warszawski;28691;16388;15586;57,119;54,3237
30;wielkopolskie;3021;poznański;3021072;gm.w Komorniki;;31474;18040;17089;57,3172;54,2956
14;mazowieckie;1434;wołomiński;1434041;Zielonka;Warszawski;17486;9962;9493;56,9713;54,2891
22;pomorskie;2208;lęborski;2208021;Łeba;Słupski;3541;1984;1922;56,0294;54,2785
4;kujawsko-pomorskie;461;Bydgoszcz;461011;Bydgoszcz;;344091;194451;186709;56,5115;54,2615
32;zachodniopomorskie;3205;gryficki;3205072;gm.w Rewal;Szczeciński;3852;2216;2089;57,5286;54,2316
32;zachodniopomorskie;3207;kamieński;3207013;gm.m-w. Dziwnów;Szczeciński;3939;2243;2136;56,9434;54,227
30;wielkopolskie;3001;chodzieski;3001011;Chodzież;Pilski;18229;10352;9837;56,7886;53,9635
14;mazowieckie;1432;warszawski zachodni;1432063;gm.m-w. Ożarów Mazowiecki;Warszawski;26151;14909;14105;57,0112;53,9368
12;małopolskie;1206;krakowski;1206103;gm.m-w. Skała;Krakowski;10553;5991;5690;56,7706;53,9183
30;wielkopolskie;3024;szamotulski;3024073;gm.m-w. Szamotuły;;30188;17217;16268;57,0326;53,889
24;śląskie;2475;Sosnowiec;2475011;Sosnowiec;;197586;110960;106466;56,1578;53,8834
14;mazowieckie;1432;warszawski zachodni;1432042;gm.w Leszno;Warszawski;10165;5724;5469;56,3109;53,8023
2;dolnośląskie;223;wrocławski;223022;gm.w Długołęka;;35144;19762;18860;56,2315;53,6649
32;zachodniopomorskie;3211;policki;3211012;gm.w Dobra (Szczecińska);Szczeciński;25061;14036;13391;56,0073;53,4336
10;łódzkie;1005;łowicki;1005011;Łowicz;Skierniewicki;27896;15630;14889;56,0295;53,3732
8;lubuskie;862;Zielona Góra;862011;Zielona Góra;;140892;78400;75135;55,6455;53,3281
12;małopolskie;1206;krakowski;1206162;gm.w Zabierzów;Krakowski;27065;15114;14430;55,8433;53,3161
2;dolnośląskie;221;wałbrzyski;221031;Szczawno-Zdrój;Wałbrzyski;5534;3072;2950;55,5114;53,3068
22;pomorskie;2204;gdański;2204011;Pruszcz Gdański;;31578;17813;16829;56,4095;53,2934
24;śląskie;2401;będziński;2401031;Wojkowice;Katowicki;8877;5011;4730;56,4493;53,2838
10;łódzkie;1063;Skierniewice;1063011;Skierniewice;;47655;26516;25369;55,6416;53,2347
30;wielkopolskie;3023;słupecki;3023011;Słupca;Koniński;13564;7561;7219;55,7431;53,2218
24;śląskie;2408;mikołowski;2408021;Mikołów;;41003;22754;21813;55,4935;53,1985
14;mazowieckie;1417;otwocki;1417043;gm.m-w. Karczew;Warszawski;15930;9023;8474;56,6416;53,1952
30;wielkopolskie;3021;poznański;3021103;gm.m-w. Mosina;;33767;18895;17956;55,957;53,1762
24;śląskie;2401;będziński;2401021;Czeladź;;31039;17334;16504;55,8459;53,1718
32;zachodniopomorskie;3262;Szczecin;3262011;Szczecin;;398255;221553;211752;55,6309;53,17
2;dolnośląskie;223;wrocławski;223083;gm.m-w. Siechnice;Wrocławski;24142;13466;12827;55,7783;53,1315
22;pomorskie;2212;słupski;2212011;Ustka;Słupski;15199;8507;8073;55,9708;53,1153
14;mazowieckie;1414;nowodworski;1414052;gm.w Pomiechówek;Warszawski;9086;5035;4820;55,4149;53,0486
30;wielkopolskie;3021;poznański;3021083;gm.m-w. Kostrzyn;Poznański;18764;10599;9949;56,4858;53,0217
30;wielkopolskie;3021;poznański;3021123;gm.m-w. Pobiedziska;Poznański;19943;11305;10573;56,6866;53,0161
10;łódzkie;1004;łęczycki;1004011;Łęczyca;Płocki;13786;7727;7306;56,0496;52,9958
12;małopolskie;1213;oświęcimski;1213011;Oświęcim;;37569;20751;19895;55,2344;52,9559
10;łódzkie;1020;zgierski;1020031;Zgierz;;55673;31130;29415;55,9158;52,8353
12;małopolskie;1208;miechowski;1208042;gm.w Książ Wielki;Kielecki;5030;2827;2657;56,2028;52,8231
30;wielkopolskie;3021;poznański;3021093;gm.m-w. Kórnik;;30909;17222;16327;55,7184;52,8228
4;kujawsko-pomorskie;407;inowrocławski;407011;Inowrocław;;71674;39432;37857;55,0158;52,8183
12;małopolskie;1206;krakowski;1206092;gm.w Mogilany;Krakowski;14423;7940;7612;55,051;52,7768
14;mazowieckie;1418;piaseczyński;1418052;gm.w Prażmów;Warszawski;11363;6322;5991;55,6367;52,7238
16;opolskie;1661;Opole;1661011;Opole;;127839;70201;67334;54,9136;52,6709
14;mazowieckie;1418;piaseczyński;1418013;gm.m-w. Góra Kalwaria;Warszawski;27044;14954;14231;55,2951;52,6217
4;kujawsko-pomorskie;418;włocławski;418011;Kowal;Włocławski;3468;1893;1824;54,5848;52,5952
30;wielkopolskie;3021;poznański;3021033;gm.m-w. Buk;Poznański;12673;7266;6657;57,3345;52,529
24;śląskie;2465;Dąbrowa Górnicza;2465011;Dąbrowa Górnicza;;118285;65017;62104;54,9664;52,5037
22;pomorskie;2211;pucki;2211031;Puck;Gdański;11139;6138;5846;55,1037;52,4823
30;wielkopolskie;3025;średzki;3025043;gm.m-w. Środa Wielkopolska;;32874;18439;17247;56,0899;52,464
14;mazowieckie;1417;otwocki;1417021;Otwock;;44317;24551;23210;55,3986;52,3727
24;śląskie;2416;zawierciański;2416011;Poręba;Katowicki;8461;4623;4425;54,6389;52,2988
28;warmińsko-mazurskie;2862;Olsztyn;2862011;Olsztyn;;171249;93766;89543;54,7542;52,2882
14;mazowieckie;1412;miński;1412011;Mińsk Mazowiecki;;40916;22712;21370;55,5088;52,229
30;wielkopolskie;3021;poznański;3021113;gm.m-w. Murowana Goślina;Poznański;16942;9357;8844;55,2296;52,2016
4;kujawsko-pomorskie;403;bydgoski;403083;gm.m-w. Solec Kujawski;Bydgoski;16777;9121;8752;54,3661;52,1667
24;śląskie;2466;Gliwice;2466011;Gliwice;;177049;96121;92345;54,2906;52,1579
24;śląskie;2405;gliwicki;2405032;gm.w Gierałtowice;Katowicki;12252;6680;6390;54,5217;52,1548
24;śląskie;2401;będziński;2401011;Będzin;;56008;30706;29208;54,8243;52,1497
2;dolnośląskie;223;wrocławski;223012;gm.w Czernica;Wrocławski;17638;9600;9198;54,4279;52,1488
30;wielkopolskie;3024;szamotulski;3024053;gm.m-w. Ostroróg;Poznański;4931;2716;2569;55,0801;52,099
14;mazowieckie;1408;legionowski;1408043;gm.m-w. Serock;Warszawski;15363;8371;7994;54,4881;52,0341
14;mazowieckie;1462;Płock;1462011;Płock;;118268;64116;61539;54,2125;52,0335
30;wielkopolskie;3024;szamotulski;3024032;gm.w Kaźmierz;Poznański;8840;4844;4598;54,7964;52,0136
22;pomorskie;2204;gdański;2204032;gm.w Kolbudy;Gdański;18165;10071;9444;55,4418;51,9901
4;kujawsko-pomorskie;403;bydgoski;403012;gm.w Białe Błota;Bydgoski;23206;12632;12054;54,4342;51,9435
4;kujawsko-pomorskie;401;aleksandrowski;401011;Aleksandrów Kujawski;Włocławski;12058;6565;6258;54,4452;51,8992
24;śląskie;2401;będziński;2401052;gm.w Mierzęcice;Katowicki;7623;4122;3953;54,0732;51,8562
12;małopolskie;1203;chrzanowski;1203033;gm.m-w. Chrzanów;;46321;24871;24006;53,6927;51,8253
24;śląskie;2477;Tychy;2477011;Tychy;;126871;69105;65747;54,4687;51,8219
24;śląskie;2401;będziński;2401073;gm.m-w. Siewierz;Katowicki;12387;6695;6418;54,0486;51,8124
24;śląskie;2474;Siemianowice Śląskie;2474011;Siemianowice Śląskie;;66270;35685;34277;53,8479;51,7233
14;mazowieckie;1405;grodziski;1405043;gm.m-w. Grodzisk Mazowiecki;;49948;27151;25828;54,3585;51,7098
28;warmińsko-mazurskie;2803;działdowski;2803011;Działdowo;Ciechanowski;21145;11421;10930;54,0128;51,6907
12;małopolskie;1215;suski;1215021;Sucha Beskidzka;Bielski;9044;4915;4671;54,3454;51,6475
30;wielkopolskie;3021;poznański;3021062;gm.w Kleszczewo;Poznański;9343;5207;4814;55,7316;51,5252
24;śląskie;2413;tarnogórski;2413072;gm.w Świerklaniec;Katowicki;12505;6736;6443;53,8665;51,5234
32;zachodniopomorskie;3208;kołobrzeski;3208011;Kołobrzeg;;46198;24886;23767;53,8681;51,446
2;dolnośląskie;223;wrocławski;223043;gm.m-w. Kąty Wrocławskie;Wrocławski;26032;14161;13392;54,3984;51,4444
12;małopolskie;1213;oświęcimski;1213062;gm.w Oświęcim;Bielski;18629;10177;9581;54,6299;51,4306
2;dolnośląskie;206;karkonoski;206011;Karpacz;Jeleniogórski;4487;2429;2307;54,1342;51,4152
14;mazowieckie;1434;wołomiński;1434031;Ząbki;;38546;20874;19786;54,1535;51,3309
22;pomorskie;2211;pucki;2211052;gm.w Kosakowo;Gdański;16419;8856;8421;53,9375;51,2881
26;świętokrzyskie;2661;Kielce;2661011;Kielce;;193415;104131;99154;53,8381;51,2649
10;łódzkie;1020;zgierski;1020011;Głowno;Łódzki;13961;7847;7157;56,2066;51,2642
12;małopolskie;1212;olkuski;1212053;gm.m-w. Olkusz;;48206;25836;24705;53,595;51,2488
10;łódzkie;1014;sieradzki;1014011;Sieradz;;41390;22188;21206;53,6072;51,2346
14;mazowieckie;1418;piaseczyński;1418063;gm.m-w. Tarczyn;Warszawski;11594;6204;5940;53,5104;51,2334
22;pomorskie;2203;człuchowski;2203011;Człuchów;Słupski;13479;7242;6901;53,728;51,1982
30;wielkopolskie;3003;gnieźnieński;3003011;Gniezno;;67570;36507;34562;54,0284;51,1499
24;śląskie;2413;tarnogórski;2413041;Tarnowskie Góry;;61756;32878;31574;53,2386;51,127
28;warmińsko-mazurskie;2801;bartoszycki;2801011;Bartoszyce;Olsztyński;22984;12292;11749;53,4807;51,1182
22;pomorskie;2263;Słupsk;2263011;Słupsk;;89780;47975;45889;53,4362;51,1127
24;śląskie;2461;Bielsko-Biała;2461011;Bielsko-Biała;;169756;91206;86766;53,7277;51,1122
2;dolnośląskie;220;trzebnicki;220013;gm.m-w. Oborniki Śląskie;Wrocławski;20287;10797;10356;53,2213;51,0475
26;świętokrzyskie;2609;sandomierski;2609093;gm.m-w. Zawichost;Tarnobrzeski;4328;2330;2209;53,8355;51,0397
24;śląskie;2413;tarnogórski;2413062;gm.w Ożarowice;Katowicki;5806;3100;2963;53,393;51,0334
26;świętokrzyskie;2602;jędrzejowski;2602023;gm.m-w. Jędrzejów;Kielecki;27715;14836;14136;53,5306;51,0049
22;pomorskie;2211;pucki;2211043;gm.m-w. Władysławowo;Gdański;15293;8232;7800;53,8285;51,0037
24;śląskie;2413;tarnogórski;2413031;Radzionków;Katowicki;16903;8943;8620;52,9078;50,9969
2;dolnośląskie;214;oleśnicki;214011;Oleśnica;;36979;19733;18857;53,3627;50,9938
4;kujawsko-pomorskie;407;inowrocławski;407063;gm.m-w. Kruszwica;Bydgoski;19012;10165;9690;53,4662;50,9678
4;kujawsko-pomorskie;412;rypiński;412011;Rypin;Włocławski;15999;8636;8150;53,9784;50,9407
2;dolnośląskie;215;oławski;215011;Oława;;33087;17745;16845;53,6313;50,9112
28;warmińsko-mazurskie;2807;iławski;2807011;Iława;;33206;17647;16882;53,144;50,8402
2;dolnośląskie;208;kłodzki;208051;Polanica-Zdrój;Wałbrzyski;6228;3319;3166;53,2916;50,8349
4;kujawsko-pomorskie;402;brodnicki;402011;Brodnica;Toruński;28701;15349;14581;53,479;50,8031
24;śląskie;2405;gliwicki;2405011;Knurów;;37801;20015;19201;52,9483;50,795
12;małopolskie;1212;olkuski;1212042;gm.w Klucze;Katowicki;14909;7982;7569;53,5381;50,768
24;śląskie;2402;bielski;2402022;gm.w Bestwina;Katowicki;11950;6389;6066;53,4644;50,7615
10;łódzkie;1008;pabianicki;1008011;Konstantynów Łódzki;Łódzki;18335;9859;9305;53,7715;50,7499
12;małopolskie;1206;krakowski;1206032;gm.w Iwanowice;Krakowski;9215;4921;4672;53,4021;50,6999
8;lubuskie;809;zielonogórski;809072;gm.w Świdnica;Zielonogórski;6685;3545;3389;53,0292;50,6956
12;małopolskie;1213;oświęcimski;1213033;gm.m-w. Chełmek;Bielski;12837;6785;6495;52,855;50,5959
4;kujawsko-pomorskie;411;radziejowski;411022;gm.w Bytoń;Włocławski;3411;1864;1725;54,6467;50,5717
10;łódzkie;1008;pabianicki;1008052;gm.w Ksawerów;Łódzki;7661;4076;3874;53,2045;50,5678
24;śląskie;2472;Ruda Śląska;2472011;Ruda Śląska;;136423;72293;68981;52,9918;50,5641
26;świętokrzyskie;2609;sandomierski;2609011;Sandomierz;Tarnobrzeski;22997;12137;11618;52,7764;50,5196
24;śląskie;2464;Częstochowa;2464011;Częstochowa;;217530;115382;109860;53,0419;50,5034
24;śląskie;2404;częstochowski;2404042;gm.w Kamienica Polska;Częstochowski;5514;2891;2782;52,4302;50,4534
12;małopolskie;1206;krakowski;1206113;gm.m-w. Skawina;;43751;23390;22071;53,4616;50,4468
14;mazowieckie;1402;ciechanowski;1402011;Ciechanów;;43883;23644;22135;53,8796;50,4409
32;zachodniopomorskie;3263;Świnoujście;3263011;Świnoujście;;40948;21843;20641;53,3433;50,4078
24;śląskie;2471;Piekary Śląskie;2471011;Piekary Śląskie;;54702;28892;27568;52,8171;50,3967
24;śląskie;2402;bielski;2402072;gm.w Kozy;Bielski;13091;6878;6593;52,5399;50,3628
30;wielkopolskie;3016;obornicki;3016013;gm.m-w. Oborniki;;34185;18153;17211;53,1022;50,3466
14;mazowieckie;1408;legionowski;1408052;gm.w Wieliszew;Warszawski;16053;8474;8080;52,7876;50,3333
10;łódzkie;1005;łowicki;1005092;gm.w Nieborów;Skierniewicki;9357;5046;4708;53,9275;50,3153
32;zachodniopomorskie;3261;Koszalin;3261011;Koszalin;;106235;55941;53435;52,6578;50,2989
22;pomorskie;2209;malborski;2209011;Malbork;;38101;20179;19160;52,9619;50,2874
2;dolnośląskie;223;wrocławski;223092;gm.w Żórawina;Wrocławski;11406;6041;5733;52,9634;50,263
24;śląskie;2404;częstochowski;2404162;gm.w Starcza;Częstochowski;2853;1479;1434;51,8402;50,2629
30;wielkopolskie;3062;Konin;3062011;Konin;;72539;38545;36460;53,1369;50,2626
30;wielkopolskie;3019;pilski;3019011;Piła;;72527;38614;36431;53,2409;50,2309
30;wielkopolskie;3005;grodziski;3005012;gm.w Granowo;Poznański;5087;2712;2555;53,3124;50,2261
22;pomorskie;2204;gdański;2204042;gm.w Pruszcz Gdański;;32184;16977;16156;52,7498;50,1989
2;dolnośląskie;220;trzebnicki;220042;gm.w Wisznia Mała;Wrocławski;10624;5584;5333;52,5602;50,1977
10;łódzkie;1008;pabianicki;1008021;Pabianice;;63945;33812;32094;52,8767;50,19
30;wielkopolskie;3011;kościański;3011023;gm.m-w. Czempiń;Poznański;11531;6158;5787;53,4039;50,1865
32;zachodniopomorskie;3213;sławieński;3213011;Darłowo;Koszaliński;13574;7137;6810;52,5785;50,1694
8;lubuskie;811;żarski;811011;Łęknica;Zielonogórski;2396;1282;1201;53,5058;50,1252
8;lubuskie;807;sulęciński;807043;gm.m-w. Sulęcin;Gorzowski;15633;8199;7833;52,4467;50,1055
6;lubelskie;614;puławski;614011;Puławy;;46965;24666;23521;52,52;50,082
24;śląskie;2416;zawierciański;2416021;Zawiercie;;48703;25687;24389;52,7421;50,077
4;kujawsko-pomorskie;404;chełmiński;404011;Chełmno;Toruński;19205;10155;9616;52,8769;50,0703
10;łódzkie;1017;wieluński;1017093;gm.m-w. Wieluń;;31137;16329;15586;52,4424;50,0562
22;pomorskie;2215;wejherowski;2215021;Rumia;;49536;26231;24790;52,9534;50,0444
12;małopolskie;1208;miechowski;1208053;gm.m-w. Miechów;Kielecki;19494;10279;9749;52,729;50,0103
8;lubuskie;810;żagański;810021;Żagań;Zielonogórski;25265;13075;12608;51,7514;49,903
6;lubelskie;663;Lublin;663011;Lublin;;338586;176791;168910;52,2145;49,8869
24;śląskie;2402;bielski;2402062;gm.w Jaworze;Bielski;7443;3893;3713;52,3042;49,8858
14;mazowieckie;1428;sochaczewski;1428011;Sochaczew;;35891;18989;17884;52,9074;49,8286
30;wielkopolskie;3027;turecki;3027011;Turek;Koniński;26441;13906;13175;52,5926;49,8279
30;wielkopolskie;3022;rawicki;3022053;gm.m-w. Rawicz;;30299;15904;15075;52,4902;49,7541
14;mazowieckie;1417;otwocki;1417072;gm.w Sobienie-Jeziory;Siedlecki;6356;3331;3162;52,4072;49,7483
32;zachodniopomorskie;3207;kamieński;3207043;gm.m-w. Międzyzdroje;Szczeciński;6398;3378;3182;52,7977;49,7343
2;dolnośląskie;261;Jelenia Góra;261011;Jelenia Góra;;78335;41142;38931;52,5206;49,6981
14;mazowieckie;1419;płocki;1419122;gm.w Słupno;Płocki;8129;4254;4037;52,3312;49,6617
30;wielkopolskie;3030;wrzesiński;3030053;gm.m-w. Września;;47425;24833;23544;52,3627;49,6447
28;warmińsko-mazurskie;2809;lidzbarski;2809011;Lidzbark Warmiński;Olsztyński;15489;8094;7688;52,2564;49,6352
30;wielkopolskie;3017;ostrowski;3017011;Ostrów Wielkopolski;;71560;37245;35491;52,0472;49,5961
12;małopolskie;1213;oświęcimski;1213023;gm.m-w. Brzeszcze;Katowicki;21103;10974;10466;52,0021;49,5948
24;śląskie;2403;cieszyński;2403011;Cieszyn;;33981;17748;16849;52,2292;49,5836
24;śląskie;2470;Mysłowice;2470011;Mysłowice;;74559;38641;36969;51,8261;49,5836
8;lubuskie;805;słubicki;805053;gm.m-w. Słubice;Gorzowski;20145;10511;9985;52,1767;49,5656
2;dolnośląskie;219;świdnicki;219011;Świdnica;;56222;29210;27864;51,9548;49,5607
14;mazowieckie;1417;otwocki;1417032;gm.w Celestynów;Warszawski;11701;6114;5799;52,2519;49,5599
8;lubuskie;806;strzelecko-drezdenecki;806043;gm.m-w. Strzelce Krajeńskie;Gorzowski;16809;8640;8330;51,401;49,5568
26;świętokrzyskie;2602;jędrzejowski;2602063;gm.m-w. Sędziszów;Kielecki;12352;6469;6120;52,3721;49,5466
30;wielkopolskie;3030;wrzesiński;3030033;gm.m-w. Nekla;Poznański;7617;3980;3769;52,2515;49,4814
30;wielkopolskie;3014;międzychodzki;3014043;gm.m-w. Sieraków;Poznański;8641;4656;4274;53,8827;49,4619
30;wielkopolskie;3028;wągrowiecki;3028011;Wągrowiec;Pilski;25607;13534;12656;52,8527;49,424
30;wielkopolskie;3063;Leszno;3063011;Leszno;;62854;32854;31051;52,2703;49,4018
10;łódzkie;1005;łowicki;1005102;gm.w Zduny;Skierniewicki;5672;2938;2801;51,7983;49,3829
24;śląskie;2416;zawierciański;2416042;gm.w Kroczyce;Częstochowski;6239;3225;3081;51,691;49,3829
32;zachodniopomorskie;3202;choszczeński;3202012;gm.w Bierzwnik;Gorzowski;4666;2435;2304;52,186;49,3785
12;małopolskie;1213;oświęcimski;1213072;gm.w Polanka Wielka;Bielski;4318;2344;2132;54,2844;49,3747
14;mazowieckie;1417;otwocki;1417082;gm.w Wiązowna;Warszawski;13330;6958;6580;52,198;49,3623
2;dolnośląskie;226;złotoryjski;226021;Złotoryja;Legnicki;15273;7875;7536;51,5616;49,342
32;zachodniopomorskie;3208;kołobrzeski;3208022;gm.w Dygowo;Koszaliński;5609;2911;2767;51,8987;49,3314
4;kujawsko-pomorskie;413;sępoleński;413023;gm.m-w. Sępólno Krajeńskie;Bydgoski;15761;8084;7772;51,2912;49,3116
22;pomorskie;2214;tczewski;2214011;Tczew;;59430;30930;29304;52,0444;49,3084
32;zachodniopomorskie;3214;stargardzki;3214053;gm.m-w. Ińsko;Szczeciński;3318;1716;1636;51,7179;49,3068
30;wielkopolskie;3014;międzychodzki;3014012;gm.w Chrzypsko Wielkie;Poznański;3306;1786;1630;54,023;49,3043
2;dolnośląskie;203;głogowski;203011;Głogów;;66120;34231;32592;51,771;49,2922
14;mazowieckie;1434;wołomiński;1434021;Marki;;36816;19137;18140;51,9801;49,2721
14;mazowieckie;1422;przasnyski;1422011;Przasnysz;Ostrołęcki;17055;8850;8403;51,8909;49,27
14;mazowieckie;1406;grójecki;1406053;gm.m-w. Grójec;Radomski;25882;13531;12748;52,2796;49,2543
4;kujawsko-pomorskie;417;wąbrzeski;417011;Wąbrzeźno;Toruński;13400;6964;6600;51,9701;49,2537
8;lubuskie;802;krośnieński;802063;gm.m-w. Krosno Odrzańskie;Zielonogórski;17589;9143;8663;51,9814;49,2524
12;małopolskie;1219;wielicki;1219053;gm.m-w. Wieliczka;;61233;31899;30157;52,0945;49,2496
10;łódzkie;1021;brzeziński;1021052;gm.w Rogów;Skierniewicki;4656;2410;2288;51,7612;49,1409
6;lubelskie;616;rycki;616011;Dęblin;Lubelski;15887;8189;7807;51,5453;49,1408
24;śląskie;2402;bielski;2402043;gm.m-w. Czechowice-Dziedzice;;45490;23655;22350;52,0004;49,1317
12;małopolskie;1213;oświęcimski;1213093;gm.m-w. Zator;Bielski;9231;4803;4534;52,0312;49,1171
12;małopolskie;1212;olkuski;1212011;Bukowno;Katowicki;9976;5089;4898;51,0124;49,0978
