wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2678;2574;70,4551;67,719
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13256;12689;69,4722;66,5007
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1224669;1186173;68,2584;66,1128
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;359296;347964;67,5307;65,4009
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14956;14360;68,0715;65,3589
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2447;2361;67,6528;65,2751
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;422554;409835;65,8258;63,8444
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12054;11668;65,65;63,5477
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16075;15488;65,2898;62,9056
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;503991;489647;64,617;62,778
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;55627;53825;64,5198;62,4297
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6114;5942;63,8538;62,0574
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;301564;291967;64,0528;62,0144
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19138;18427;64,2927;61,9041
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15061;14667;63,5057;61,8443
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3493;3392;63,5206;61,6839
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11806;11414;63,7748;61,6573
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17538;16981;63,3027;61,2922
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;804;787;62,3256;61,0078
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20203;19526;63,1048;60,9902
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14216;13757;63,017;60,9823
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18042;17405;62,4118;60,2082
