wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2696;2607;70,9287;68,5872
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13349;12811;69,9596;67,1401
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1235989;1199094;68,8893;66,8329
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2496;2414;69,0075;66,7404
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;15100;14621;68,727;66,5468
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;362604;352065;68,1525;66,1717
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;426172;414227;66,3894;64,5286
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12164;11822;66,2491;64,3865
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16223;15691;65,8909;63,7301
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;507738;494639;65,0975;63,418
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;56165;54514;65,1438;63,2288
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19352;18686;65,0116;62,7742
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15204;14882;64,1086;62,7509
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6169;6007;64,4282;62,7363
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;304216;295350;64,6161;62,733
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11887;11541;64,2124;62,3433
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3533;3417;64,248;62,1386
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17730;17174;63,9957;61,9888
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14395;13914;63,8105;61,6783
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20380;19738;63,6577;61,6524
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;805;791;62,4031;61,3178
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18233;17633;63,0725;60,997
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;39451;38031;62,9976;60,7301
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13534;13118;62,6284;60,7034
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6543;6326;62,5287;60,4549
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;9408;9121;62,2017;60,3041
