wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2666;2548;70,1394;67,035
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1217686;1177270;67,8692;65,6166
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;357298;345402;67,1552;64,9193
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13024;12317;68,2564;64,5511
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14825;14179;67,4753;64,5351
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2424;2317;67,0169;64,0586
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;420131;406709;65,4483;63,3574
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12004;11594;65,3777;63,1447
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16014;15352;65,042;62,3533
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;501389;485969;64,2834;62,3064
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;55250;53357;64,0825;61,8869
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6083;5913;63,53;61,7546
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;299916;289876;63,7028;61,5703
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19018;18248;63,8895;61,3028
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;14969;14538;63,1177;61,3004
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11741;11335;63,4237;61,2306
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3482;3366;63,3206;61,2111
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17401;16819;62,8082;60,7075
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20089;19363;62,7487;60,481
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14133;13627;62,6491;60,406
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;798;778;61,8605;60,3101
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;17949;17277;62,0901;59,7655
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6462;6203;61,7546;59,2794
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;38695;37109;61,7904;59,2578
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1468;1412;61,5514;59,2034
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13286;12784;61,4808;59,1578
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21564;20842;61,1121;59,0659
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;150294;144677;61,3523;59,0593
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6475;6223;61,3163;58,9299
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;31901;30730;61,106;58,863
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;9278;8901;61,3421;58,8496
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;32540;31471;60,7895;58,7924
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;16405;15732;61,1853;58,6752
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14301;13874;60,3672;58,5648
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;16826;16249;60,5688;58,4917
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;13437;12918;60,6527;58,31
4;kujawsko-pomorskie;403;bydgoski;403062;gm.w Osielsko;Bydgoski;15347;9139;8926;59,5491;58,1612
24;śląskie;2401;będziński;2401042;gm.w Bobrowniki;Katowicki;12122;7308;7049;60,2871;58,1505
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;11692;11221;60,4988;58,0617
24;śląskie;2469;Katowice;2469011;Katowice;;290553;174126;168580;59,9292;58,0204
32;zachodniopomorskie;3205;gryficki;3205072;gm.w Rewal;Szczeciński;3852;2309;2233;59,9429;57,9699
30;wielkopolskie;3021;poznański;3021052;gm.w Dopiewo;Poznański;29328;17515;16980;59,7211;57,8969
14;mazowieckie;1421;pruszkowski;1421052;gm.w Nadarzyn;Warszawski;14353;8656;8307;60,3079;57,8764
12;małopolskie;1206;krakowski;1206082;gm.w Michałowice;Krakowski;10909;6518;6290;59,7488;57,6588
10;łódzkie;1061;Łódź;1061011;Łódź;;672185;400725;386605;59,6153;57,5147
30;wielkopolskie;3024;szamotulski;3024073;gm.m-w. Szamotuły;;30188;17943;17349;59,4375;57,4699
4;kujawsko-pomorskie;401;aleksandrowski;401021;Ciechocinek;Włocławski;10534;6208;6051;58,933;57,4426
14;mazowieckie;1408;legionowski;1408022;gm.w Jabłonna;Warszawski;20096;11882;11506;59,1262;57,2552
14;mazowieckie;1432;warszawski zachodni;1432072;gm.w Stare Babice;Warszawski;19605;11657;11216;59,4593;57,2099
14;mazowieckie;1412;miński;1412151;Sulejówek;Warszawski;19951;11752;11371;58,9043;56,9946
24;śląskie;2401;będziński;2401062;gm.w Psary;Katowicki;12268;7241;6992;59,0235;56,9938
12;małopolskie;1206;krakowski;1206152;gm.w Wielka Wieś;Krakowski;13162;7762;7498;58,9728;56,967
10;łódzkie;1002;kutnowski;1002011;Kutno;;43332;25585;24676;59,0441;56,9464
12;małopolskie;1213;oświęcimski;1213082;gm.w Przeciszów;Bielski;6739;3966;3836;58,8515;56,9224
14;mazowieckie;1417;otwocki;1417011;Józefów;Warszawski;20741;12264;11787;59,1293;56,8295
14;mazowieckie;1405;grodziski;1405011;Milanówek;Warszawski;16478;9739;9362;59,103;56,8151
14;mazowieckie;1408;legionowski;1408032;gm.w Nieporęt;Warszawski;14841;8800;8419;59,2952;56,728
30;wielkopolskie;3021;poznański;3021072;gm.w Komorniki;;31474;18544;17854;58,9185;56,7262
32;zachodniopomorskie;3207;kamieński;3207013;gm.m-w. Dziwnów;Szczeciński;3939;2317;2234;58,822;56,7149
30;wielkopolskie;3021;poznański;3021123;gm.m-w. Pobiedziska;Poznański;19943;11849;11304;59,4143;56,6815
14;mazowieckie;1432;warszawski zachodni;1432063;gm.m-w. Ożarów Mazowiecki;Warszawski;26151;15468;14814;59,1488;56,6479
24;śląskie;2401;będziński;2401031;Wojkowice;Katowicki;8877;5195;5021;58,522;56,5619
30;wielkopolskie;3001;chodzieski;3001011;Chodzież;Pilski;18229;10720;10305;58,8074;56,5308
14;mazowieckie;1414;nowodworski;1414011;Nowy Dwór Mazowiecki;Warszawski;28691;16866;16196;58,785;56,4498
14;mazowieckie;1434;wołomiński;1434041;Zielonka;Warszawski;17486;10258;9870;58,6641;56,4452
12;małopolskie;1206;krakowski;1206103;gm.m-w. Skała;Krakowski;10553;6120;5947;57,993;56,3536
4;kujawsko-pomorskie;461;Bydgoszcz;461011;Bydgoszcz;;344091;199591;193874;58,0053;56,3438
4;kujawsko-pomorskie;463;Toruń;463011;Toruń;;198613;115199;111873;58,0017;56,3271
22;pomorskie;2204;gdański;2204011;Pruszcz Gdański;;31578;18437;17778;58,3856;56,2987
30;wielkopolskie;3021;poznański;3021033;gm.m-w. Buk;Poznański;12673;7579;7131;59,8043;56,2692
14;mazowieckie;1432;warszawski zachodni;1432042;gm.w Leszno;Warszawski;10165;5944;5703;58,4752;56,1043
14;mazowieckie;1417;otwocki;1417043;gm.m-w. Karczew;Warszawski;15930;9392;8931;58,9579;56,064
22;pomorskie;2208;lęborski;2208021;Łeba;Słupski;3541;2028;1984;57,272;56,0294
30;wielkopolskie;3023;słupecki;3023011;Słupca;Koniński;13564;7838;7590;57,7853;55,9569
24;śląskie;2475;Sosnowiec;2475011;Sosnowiec;;197586;113983;110542;57,6878;55,9463
10;łódzkie;1004;łęczycki;1004011;Łęczyca;Płocki;13786;7959;7707;57,7325;55,9045
30;wielkopolskie;3021;poznański;3021083;gm.m-w. Kostrzyn;Poznański;18764;10966;10459;58,4417;55,7397
22;pomorskie;2212;słupski;2212011;Ustka;Słupski;15199;8792;8468;57,8459;55,7142
12;małopolskie;1206;krakowski;1206162;gm.w Zabierzów;Krakowski;27065;15577;15079;57,554;55,714
30;wielkopolskie;3021;poznański;3021103;gm.m-w. Mosina;;33767;19459;18789;57,6273;55,6431
30;wielkopolskie;3024;szamotulski;3024053;gm.m-w. Ostroróg;Poznański;4931;2826;2743;57,3109;55,6277
2;dolnośląskie;223;wrocławski;223022;gm.w Długołęka;;35144;20205;19548;57,492;55,6226
32;zachodniopomorskie;3211;policki;3211012;gm.w Dobra (Szczecińska);Szczeciński;25061;14395;13933;57,4398;55,5963
30;wielkopolskie;3014;międzychodzki;3014012;gm.w Chrzypsko Wielkie;Poznański;3306;1920;1838;58,0762;55,5959
12;małopolskie;1208;miechowski;1208042;gm.w Książ Wielki;Kielecki;5030;2894;2795;57,5348;55,5666
10;łódzkie;1005;łowicki;1005011;Łowicz;Skierniewicki;27896;16041;15487;57,5029;55,5169
30;wielkopolskie;3021;poznański;3021093;gm.m-w. Kórnik;;30909;17741;17137;57,3975;55,4434
30;wielkopolskie;3025;średzki;3025043;gm.m-w. Środa Wielkopolska;;32874;19067;18225;58,0002;55,4389
8;lubuskie;862;Zielona Góra;862011;Zielona Góra;;140892;80546;78005;57,1686;55,3651
2;dolnośląskie;223;wrocławski;223083;gm.m-w. Siechnice;Wrocławski;24142;13901;13364;57,5802;55,3558
32;zachodniopomorskie;3262;Szczecin;3262011;Szczecin;;398255;228215;220409;57,3037;55,3437
30;wielkopolskie;3021;poznański;3021113;gm.m-w. Murowana Goślina;Poznański;16942;9768;9375;57,6555;55,3359
10;łódzkie;1020;zgierski;1020031;Zgierz;;55673;32037;30798;57,5449;55,3195
24;śląskie;2408;mikołowski;2408021;Mikołów;;41003;23343;22643;56,93;55,2228
24;śląskie;2401;będziński;2401021;Czeladź;;31039;17776;17117;57,2699;55,1468
10;łódzkie;1063;Skierniewice;1063011;Skierniewice;;47655;27207;26279;57,0916;55,1443
12;małopolskie;1206;krakowski;1206092;gm.w Mogilany;Krakowski;14423;8201;7952;56,8606;55,1342
12;małopolskie;1213;oświęcimski;1213011;Oświęcim;;37569;21303;20678;56,7037;55,0401
4;kujawsko-pomorskie;407;inowrocławski;407011;Inowrocław;;71674;40700;39404;56,7849;54,9767
14;mazowieckie;1418;piaseczyński;1418013;gm.m-w. Góra Kalwaria;Warszawski;27044;15366;14864;56,8185;54,9623
10;łódzkie;1020;zgierski;1020011;Głowno;Łódzki;13961;8228;7662;58,9356;54,8815
14;mazowieckie;1418;piaseczyński;1418052;gm.w Prażmów;Warszawski;11363;6501;6231;57,212;54,8359
24;śląskie;2416;zawierciański;2416011;Poręba;Katowicki;8461;4808;4639;56,8254;54,828
14;mazowieckie;1414;nowodworski;1414052;gm.w Pomiechówek;Warszawski;9086;5166;4978;56,8567;54,7876
30;wielkopolskie;3024;szamotulski;3024032;gm.w Kaźmierz;Poznański;8840;5052;4842;57,1493;54,7738
2;dolnośląskie;221;wałbrzyski;221031;Szczawno-Zdrój;Wałbrzyski;5534;3136;3030;56,6679;54,7524
22;pomorskie;2211;pucki;2211031;Puck;Gdański;11139;6346;6096;56,971;54,7266
14;mazowieckie;1417;otwocki;1417021;Otwock;;44317;25277;24235;57,0368;54,6856
24;śląskie;2465;Dąbrowa Górnicza;2465011;Dąbrowa Górnicza;;118285;66827;64681;56,4966;54,6823
22;pomorskie;2204;gdański;2204032;gm.w Kolbudy;Gdański;18165;10397;9923;57,2364;54,627
14;mazowieckie;1412;miński;1412011;Mińsk Mazowiecki;;40916;23337;22303;57,0364;54,5092
30;wielkopolskie;3014;międzychodzki;3014043;gm.m-w. Sieraków;Poznański;8641;4932;4708;57,0767;54,4844
16;opolskie;1661;Opole;1661011;Opole;;127839;71953;69647;56,2841;54,4802
24;śląskie;2401;będziński;2401011;Będzin;;56008;31620;30485;56,4562;54,4297
4;kujawsko-pomorskie;401;aleksandrowski;401011;Aleksandrów Kujawski;Włocławski;12058;6772;6562;56,1619;54,4203
12;małopolskie;1215;suski;1215021;Sucha Beskidzka;Bielski;9044;5057;4919;55,9155;54,3897
14;mazowieckie;1408;legionowski;1408043;gm.m-w. Serock;Warszawski;15363;8673;8344;56,4538;54,3123
2;dolnośląskie;206;karkonoski;206011;Karpacz;Jeleniogórski;4487;2523;2436;56,2291;54,2902
14;mazowieckie;1462;Płock;1462011;Płock;;118268;66170;64185;55,9492;54,2708
28;warmińsko-mazurskie;2862;Olsztyn;2862011;Olsztyn;;171249;96362;92898;56,2701;54,2473
24;śląskie;2405;gliwicki;2405032;gm.w Gierałtowice;Katowicki;12252;6871;6646;56,0806;54,2442
4;kujawsko-pomorskie;403;bydgoski;403083;gm.m-w. Solec Kujawski;Bydgoski;16777;9371;9095;55,8562;54,2111
4;kujawsko-pomorskie;418;włocławski;418011;Kowal;Włocławski;3468;1951;1880;56,2572;54,2099
28;warmińsko-mazurskie;2803;działdowski;2803011;Działdowo;Ciechanowski;21145;11848;11445;56,0322;54,1263
32;zachodniopomorskie;3208;kołobrzeski;3208011;Kołobrzeg;;46198;25853;24996;55,9613;54,1062
4;kujawsko-pomorskie;403;bydgoski;403012;gm.w Białe Błota;Bydgoski;23206;12962;12550;55,8562;54,0808
24;śląskie;2466;Gliwice;2466011;Gliwice;;177049;98581;95689;55,6801;54,0466
24;śląskie;2477;Tychy;2477011;Tychy;;126871;71041;68564;55,9947;54,0423
2;dolnośląskie;223;wrocławski;223012;gm.w Czernica;Wrocławski;17638;9830;9530;55,7319;54,0311
26;świętokrzyskie;2609;sandomierski;2609093;gm.m-w. Zawichost;Tarnobrzeski;4328;2413;2336;55,7532;53,9741
24;śląskie;2401;będziński;2401073;gm.m-w. Siewierz;Katowicki;12387;6942;6684;56,0426;53,9598
4;kujawsko-pomorskie;412;rypiński;412011;Rypin;Włocławski;15999;8890;8626;55,566;53,9159
12;małopolskie;1213;oświęcimski;1213072;gm.w Polanka Wielka;Bielski;4318;2401;2327;55,6044;53,8907
24;śląskie;2413;tarnogórski;2413072;gm.w Świerklaniec;Katowicki;12505;6934;6737;55,4498;53,8745
22;pomorskie;2211;pucki;2211043;gm.m-w. Władysławowo;Gdański;15293;8580;8232;56,1041;53,8285
2;dolnośląskie;223;wrocławski;223043;gm.m-w. Kąty Wrocławskie;Wrocławski;26032;14586;14011;56,031;53,8222
14;mazowieckie;1405;grodziski;1405043;gm.m-w. Grodzisk Mazowiecki;;49948;27830;26876;55,7179;53,808
14;mazowieckie;1434;wołomiński;1434031;Ząbki;;38546;21595;20740;56,024;53,8058
12;małopolskie;1213;oświęcimski;1213062;gm.w Oświęcim;Bielski;18629;10458;10022;56,1383;53,7978
12;małopolskie;1203;chrzanowski;1203033;gm.m-w. Chrzanów;;46321;25579;24919;55,2212;53,7963
26;świętokrzyskie;2602;jędrzejowski;2602023;gm.m-w. Jędrzejów;Kielecki;27715;15457;14902;55,7712;53,7687
30;wielkopolskie;3003;gnieźnieński;3003011;Gniezno;;67570;37694;36313;55,7851;53,7413
24;śląskie;2401;będziński;2401052;gm.w Mierzęcice;Katowicki;7623;4235;4093;55,5556;53,6928
22;pomorskie;2203;człuchowski;2203011;Człuchów;Słupski;13479;7466;7235;55,3899;53,6761
8;lubuskie;811;żarski;811011;Łęknica;Zielonogórski;2396;1322;1285;55,1753;53,6311
24;śląskie;2474;Siemianowice Śląskie;2474011;Siemianowice Śląskie;;66270;36634;35539;55,2799;53,6276
24;śląskie;2402;bielski;2402022;gm.w Bestwina;Katowicki;11950;6645;6408;55,6067;53,6234
10;łódzkie;1014;sieradzki;1014011;Sieradz;;41390;22831;22161;55,1607;53,5419
4;kujawsko-pomorskie;411;radziejowski;411022;gm.w Bytoń;Włocławski;3411;1952;1825;57,2266;53,5034
4;kujawsko-pomorskie;402;brodnicki;402011;Brodnica;Toruński;28701;15845;15354;55,2071;53,4964
30;wielkopolskie;3011;kościański;3011023;gm.m-w. Czempiń;Poznański;11531;6421;6167;55,6847;53,4819
22;pomorskie;2211;pucki;2211052;gm.w Kosakowo;Gdański;16419;9148;8778;55,7159;53,4625
26;świętokrzyskie;2661;Kielce;2661011;Kielce;;193415;107128;103384;55,3876;53,4519
24;śląskie;2461;Bielsko-Biała;2461011;Bielsko-Biała;;169756;94005;90723;55,3765;53,4432
30;wielkopolskie;3021;poznański;3021062;gm.w Kleszczewo;Poznański;9343;5327;4991;57,0159;53,4197
12;małopolskie;1212;olkuski;1212053;gm.m-w. Olkusz;;48206;26671;25749;55,3271;53,4145
2;dolnośląskie;223;wrocławski;223092;gm.w Żórawina;Wrocławski;11406;6305;6087;55,2779;53,3666
22;pomorskie;2263;Słupsk;2263011;Słupsk;;89780;49397;47846;55,02;53,2925
28;warmińsko-mazurskie;2801;bartoszycki;2801011;Bartoszyce;Olsztyński;22984;12662;12246;55,0905;53,2805
10;łódzkie;1005;łowicki;1005092;gm.w Nieborów;Skierniewicki;9357;5202;4985;55,5947;53,2756
30;wielkopolskie;3016;obornicki;3016013;gm.m-w. Oborniki;;34185;18873;18207;55,2084;53,2602
14;mazowieckie;1418;piaseczyński;1418063;gm.m-w. Tarczyn;Warszawski;11594;6385;6172;55,0716;53,2344
4;kujawsko-pomorskie;407;inowrocławski;407063;gm.m-w. Kruszwica;Bydgoski;19012;10544;10115;55,4597;53,2032
12;małopolskie;1206;krakowski;1206113;gm.m-w. Skawina;;43751;24199;23275;55,3107;53,1988
30;wielkopolskie;3005;grodziski;3005012;gm.w Granowo;Poznański;5087;2831;2706;55,6517;53,1944
12;małopolskie;1212;olkuski;1212042;gm.w Klucze;Katowicki;14909;8205;7928;55,0339;53,1759
12;małopolskie;1206;krakowski;1206032;gm.w Iwanowice;Krakowski;9215;5063;4897;54,943;53,1416
10;łódzkie;1008;pabianicki;1008011;Konstantynów Łódzki;Łódzki;18335;10162;9743;55,4241;53,1388
28;warmińsko-mazurskie;2807;iławski;2807011;Iława;;33206;18218;17638;54,8636;53,1169
2;dolnośląskie;214;oleśnicki;214011;Oleśnica;;36979;20281;19637;54,8446;53,1031
2;dolnośląskie;215;oławski;215011;Oława;;33087;18237;17564;55,1183;53,0843
2;dolnośląskie;208;kłodzki;208051;Polanica-Zdrój;Wałbrzyski;6228;3424;3305;54,9775;53,0668
30;wielkopolskie;3062;Konin;3062011;Konin;;72539;39850;38488;54,936;53,0584
24;śląskie;2413;tarnogórski;2413041;Tarnowskie Góry;;61756;33787;32754;54,7105;53,0378
24;śląskie;2413;tarnogórski;2413062;gm.w Ożarowice;Katowicki;5806;3184;3079;54,8398;53,0313
24;śląskie;2413;tarnogórski;2413031;Radzionków;Katowicki;16903;9232;8962;54,6175;53,0202
12;małopolskie;1213;oświęcimski;1213033;gm.m-w. Chełmek;Bielski;12837;6994;6801;54,4831;52,9797
8;lubuskie;807;sulęciński;807043;gm.m-w. Sulęcin;Gorzowski;15633;8518;8265;54,4873;52,8689
22;pomorskie;2209;malborski;2209011;Malbork;;38101;20962;20142;55,0169;52,8648
24;śląskie;2404;częstochowski;2404162;gm.w Starcza;Częstochowski;2853;1538;1508;53,9082;52,8566
14;mazowieckie;1402;ciechanowski;1402011;Ciechanów;;43883;24336;23170;55,4566;52,7995
2;dolnośląskie;220;trzebnicki;220013;gm.m-w. Oborniki Śląskie;Wrocławski;20287;11075;10711;54,5916;52,7974
32;zachodniopomorskie;3263;Świnoujście;3263011;Świnoujście;;40948;22617;21619;55,2335;52,7962
8;lubuskie;809;zielonogórski;809072;gm.w Świdnica;Zielonogórski;6685;3662;3526;54,7794;52,745
30;wielkopolskie;3030;wrzesiński;3030033;gm.m-w. Nekla;Poznański;7617;4238;4017;55,6387;52,7373
22;pomorskie;2204;gdański;2204042;gm.w Pruszcz Gdański;;32184;17593;16972;54,6638;52,7343
24;śląskie;2405;gliwicki;2405011;Knurów;;37801;20539;19933;54,3345;52,7314
24;śląskie;2464;Częstochowa;2464011;Częstochowa;;217530;118831;114696;54,6274;52,7265
30;wielkopolskie;3019;pilski;3019011;Piła;;72527;39892;38222;55,003;52,7004
24;śląskie;2416;zawierciański;2416021;Zawiercie;;48703;26615;25662;54,6476;52,6908
24;śląskie;2472;Ruda Śląska;2472011;Ruda Śląska;;136423;74329;71873;54,4842;52,6839
10;łódzkie;1008;pabianicki;1008021;Pabianice;;63945;34924;33667;54,6157;52,6499
24;śląskie;2404;częstochowski;2404042;gm.w Kamienica Polska;Częstochowski;5514;2988;2902;54,1893;52,6297
26;świętokrzyskie;2609;sandomierski;2609011;Sandomierz;Tarnobrzeski;22997;12456;12102;54,1636;52,6243
24;śląskie;2471;Piekary Śląskie;2471011;Piekary Śląskie;;54702;29807;28786;54,4898;52,6233
30;wielkopolskie;3028;wągrowiecki;3028011;Wągrowiec;Pilski;25607;14086;13470;55,0084;52,6028
32;zachodniopomorskie;3202;choszczeński;3202012;gm.w Bierzwnik;Gorzowski;4666;2532;2454;54,2649;52,5932
22;pomorskie;2215;wejherowski;2215021;Rumia;;49536;27245;26047;55,0004;52,582
10;łódzkie;1008;pabianicki;1008052;gm.w Ksawerów;Łódzki;7661;4196;4027;54,7709;52,5649
32;zachodniopomorskie;3213;sławieński;3213011;Darłowo;Koszaliński;13574;7415;7135;54,6265;52,5637
30;wielkopolskie;3004;gostyński;3004063;gm.m-w. Pogorzela;Leszczyński;4907;2665;2576;54,3102;52,4964
32;zachodniopomorskie;3207;kamieński;3207043;gm.m-w. Międzyzdroje;Szczeciński;6398;3520;3358;55,0172;52,4852
30;wielkopolskie;3027;turecki;3027011;Turek;Koniński;26441;14434;13875;54,5895;52,4753
4;kujawsko-pomorskie;401;aleksandrowski;401062;gm.w Koneck;Włocławski;3103;1687;1628;54,3667;52,4654
8;lubuskie;805;słubicki;805053;gm.m-w. Słubice;Gorzowski;20145;10973;10567;54,4701;52,4547
14;mazowieckie;1417;otwocki;1417072;gm.w Sobienie-Jeziory;Siedlecki;6356;3461;3333;54,4525;52,4386
24;śląskie;2401;będziński;2401081;Sławków;Katowicki;6935;3788;3635;54,6215;52,4153
4;kujawsko-pomorskie;404;chełmiński;404011;Chełmno;Toruński;19205;10457;10064;54,4494;52,403
28;warmińsko-mazurskie;2809;lidzbarski;2809011;Lidzbark Warmiński;Olsztyński;15489;8443;8112;54,5097;52,3727
14;mazowieckie;1419;płocki;1419122;gm.w Słupno;Płocki;8129;4415;4257;54,3117;52,3681
14;mazowieckie;1408;legionowski;1408052;gm.w Wieliszew;Warszawski;16053;8733;8406;54,401;52,364
30;wielkopolskie;3022;rawicki;3022053;gm.m-w. Rawicz;;30299;16472;15860;54,3648;52,345
24;śląskie;2402;bielski;2402072;gm.w Kozy;Bielski;13091;7066;6851;53,976;52,3337
14;mazowieckie;1428;sochaczewski;1428011;Sochaczew;;35891;19579;18772;54,5513;52,3028
32;zachodniopomorskie;3261;Koszalin;3261011;Koszalin;;106235;57465;55539;54,0923;52,2794
2;dolnośląskie;220;trzebnicki;220042;gm.w Wisznia Mała;Wrocławski;10624;5748;5554;54,1039;52,2779
30;wielkopolskie;3063;Leszno;3063011;Leszno;;62854;33978;32856;54,0586;52,2735
12;małopolskie;1213;oświęcimski;1213093;gm.m-w. Zator;Bielski;9231;5021;4825;54,3928;52,2695
30;wielkopolskie;3030;wrzesiński;3030053;gm.m-w. Września;;47425;25755;24779;54,3068;52,2488
22;pomorskie;2214;tczewski;2214011;Tczew;;59430;32175;31020;54,1393;52,1959
2;dolnośląskie;219;świdnicki;219011;Świdnica;;56222;30335;29339;53,9557;52,1842
10;łódzkie;1017;wieluński;1017093;gm.m-w. Wieluń;;31137;16832;16245;54,0579;52,1727
8;lubuskie;810;żagański;810021;Żagań;Zielonogórski;25265;13563;13181;53,683;52,171
2;dolnośląskie;261;Jelenia Góra;261011;Jelenia Góra;;78335;42489;40861;54,2401;52,1619
6;lubelskie;614;puławski;614011;Puławy;;46965;25417;24497;54,119;52,1601
24;śląskie;2402;bielski;2402062;gm.w Jaworze;Bielski;7443;4005;3880;53,8089;52,1295
14;mazowieckie;1428;sochaczewski;1428082;gm.w Teresin;Skierniewicki;11542;6300;6012;54,5833;52,088
12;małopolskie;1206;krakowski;1206052;gm.w Kocmyrzów-Luborzyca;Krakowski;16020;8733;8343;54,5131;52,0787
26;świętokrzyskie;2602;jędrzejowski;2602063;gm.m-w. Sędziszów;Kielecki;12352;6665;6428;53,9589;52,0402
30;wielkopolskie;3023;słupecki;3023042;gm.w Ostrowite;Koniński;5054;2713;2629;53,6803;52,0182
32;zachodniopomorskie;3209;koszaliński;3209053;gm.m-w. Mielno;Koszaliński;4881;2638;2539;54,0463;52,018
6;lubelskie;611;łukowski;611021;Stoczek Łukowski;Siedlecki;2480;1349;1290;54,3952;52,0161
4;kujawsko-pomorskie;404;chełmiński;404032;gm.w Kijewo Królewskie;Toruński;4521;2425;2350;53,6386;51,9797
24;śląskie;2403;cieszyński;2403011;Cieszyn;;33981;18228;17660;53,6417;51,9702
24;śląskie;2402;bielski;2402043;gm.m-w. Czechowice-Dziedzice;;45490;24577;23633;54,0273;51,9521
30;wielkopolskie;3019;pilski;3019073;gm.m-w. Ujście;Pilski;7946;4300;4125;54,1153;51,9129
12;małopolskie;1208;miechowski;1208053;gm.m-w. Miechów;Kielecki;19494;10580;10116;54,2731;51,8929
14;mazowieckie;1406;grójecki;1406053;gm.m-w. Grójec;Radomski;25882;14081;13430;54,4046;51,8893
32;zachodniopomorskie;3202;choszczeński;3202023;gm.m-w. Choszczno;Gorzowski;21529;11573;11171;53,7554;51,8882
12;małopolskie;1219;wielicki;1219053;gm.m-w. Wieliczka;;61233;32994;31768;53,8827;51,8805
