wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2638;2512;69,4028;66,0879
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1207377;1163801;67,2946;64,8658
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;354089;340821;66,5521;64,0583
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14657;13966;66,7107;63,5656
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;12912;12128;67,6694;63,5606
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;416484;401924;64,8802;62,612
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;11921;11482;64,9257;62,5347
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;15870;15166;64,4572;61,5978
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;496955;479631;63,715;61,4938
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2377;2213;65,7174;61,1833
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;54727;52604;63,4759;61,0135
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6029;5839;62,9661;60,9817
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;297158;286313;63,117;60,8135
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11622;11184;62,7809;60,4149
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;18807;17964;63,1807;60,3487
