wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_ zaszczepionych;%_zaszczepionych_pe�n�_dawk�
8;lubuskie;809;zielonogórski;809013;gm.m-w. Babimost;Zielonogórski;6177;3053;2911;49,4253;47,1264
4;kujawsko-pomorskie;419;żniński;419013;gm.m-w. Barcin;Bydgoski;14720;7219;6936;49,0421;47,1196
22;pomorskie;2204;gdański;2204062;gm.w Pszczółki;Gdański;9927;4976;4677;50,1259;47,1139
2;dolnośląskie;221;wałbrzyski;221042;gm.w Czarny Bór;Wałbrzyski;4882;2429;2300;49,7542;47,1118
10;łódzkie;1020;zgierski;1020083;gm.m-w. Stryków;Łódzki;12681;6395;5974;50,4298;47,1098
4;kujawsko-pomorskie;410;nakielski;410053;gm.m-w. Szubin;Bydgoski;24917;12366;11728;49,6288;47,0683
12;małopolskie;1206;krakowski;1206022;gm.w Igołomia-Wawrzeńczyce;Krakowski;7728;3930;3637;50,854;47,0626
32;zachodniopomorskie;3211;policki;3211043;gm.m-w. Police;;41117;20312;19349;49,4005;47,0584
16;opolskie;1611;strzelecki;1611053;gm.m-w. Strzelce Opolskie;;30269;14796;14243;48,8817;47,0547
32;zachodniopomorskie;3204;goleniowski;3204023;gm.m-w. Goleniów;;36139;18073;16994;50,0097;47,024
4;kujawsko-pomorskie;414;świecki;414093;gm.m-w. Świecie;;33851;16873;15918;49,8449;47,0237
30;wielkopolskie;3003;gnieźnieński;3003062;gm.w Łubowo;Poznański;6783;3427;3189;50,5234;47,0146
8;lubuskie;809;zielonogórski;809053;gm.m-w. Nowogród Bobrzański;Zielonogórski;9381;4632;4410;49,3764;47,0099
12;małopolskie;1215;suski;1215072;gm.w Stryszawa;Bielski;11926;5855;5606;49,0944;47,0065
2;dolnośląskie;262;Legnica;262011;Legnica;;98436;48609;46256;49,3813;46,9909
4;kujawsko-pomorskie;416;tucholski;416063;gm.m-w. Tuchola;Bydgoski;20151;9838;9468;48,8214;46,9853
2;dolnośląskie;222;wołowski;222013;gm.m-w. Brzeg Dolny;Wrocławski;16093;7839;7561;48,7106;46,9832
