wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_ zaszczepionych;%_zaszczepionych_pe�n�_dawk�
2;dolnośląskie;215;oławski;215022;gm.w Domaniów;Wrocławski;5132;2489;2372;48,4996;46,2198
12;małopolskie;1214;proszowicki;1214042;gm.w Pałecznica;Kielecki;3568;1782;1649;49,9439;46,2164
2;dolnośląskie;209;legnicki;209011;Chojnów;Legnicki;13236;6337;6117;47,877;46,2149
2;dolnośląskie;221;wałbrzyski;221021;Jedlina-Zdrój;Wałbrzyski;4789;2334;2212;48,7367;46,1892
14;mazowieckie;1437;żuromiński;1437022;gm.w Kuczbork-Osada;Ciechanowski;4691;2267;2166;48,3266;46,1735
14;mazowieckie;1406;grójecki;1406012;gm.w Belsk Duży;Radomski;6440;3151;2972;48,9286;46,1491
32;zachodniopomorskie;3203;drawski;3203023;gm.m-w. Drawsko Pomorskie;Koszaliński;17008;8174;7848;48,0597;46,143
8;lubuskie;811;żarski;811092;gm.w Tuplice;Zielonogórski;3022;1467;1394;48,544;46,1284
26;świętokrzyskie;2607;ostrowiecki;2607011;Ostrowiec Świętokrzyski;;67404;32625;31076;48,4022;46,1041
2;dolnośląskie;226;złotoryjski;226052;gm.w Zagrodno;Legnicki;5206;2517;2400;48,3481;46,1007
6;lubelskie;601;bialski;601021;Terespol;Bialskopodlaski;5457;2622;2515;48,0484;46,0876
30;wielkopolskie;3026;śremski;3026012;gm.w Brodnica;Poznański;4902;2418;2259;49,3268;46,0832
12;małopolskie;1213;oświęcimski;1213052;gm.w Osiek;Bielski;8271;4091;3810;49,462;46,0646
10;łódzkie;1017;wieluński;1017102;gm.w Wierzchlas;Sieradzki;6604;3157;3042;47,8044;46,063
30;wielkopolskie;3003;gnieźnieński;3003053;gm.m-w. Kłecko;Poznański;7431;3684;3422;49,5761;46,0503
8;lubuskie;803;międzyrzecki;803063;gm.m-w. Trzciel;Gorzowski;6365;3143;2930;49,3794;46,033
4;kujawsko-pomorskie;407;inowrocławski;407033;gm.m-w. Gniewkowo;Bydgoski;14315;6889;6589;48,1243;46,0286
14;mazowieckie;1419;płocki;1419132;gm.w Stara Biała;Płocki;12019;5802;5532;48,2736;46,0271
30;wielkopolskie;3022;rawicki;3022033;gm.m-w. Miejska Górka;Leszczyński;9233;4671;4249;50,5903;46,0197
8;lubuskie;803;międzyrzecki;803012;gm.w Bledzew;Gorzowski;4281;2101;1970;49,0773;46,0173
4;kujawsko-pomorskie;418;włocławski;418092;gm.w Kowal;Włocławski;3897;1892;1793;48,5502;46,0098
10;łódzkie;1015;skierniewicki;1015012;gm.w Bolimów;Skierniewicki;4026;1912;1852;47,4913;46,001
16;opolskie;1603;kędzierzyńsko-kozielski;1603011;Kędzierzyn-Koźle;;60021;28841;27607;48,0515;45,9956
22;pomorskie;2216;sztumski;2216042;gm.w Stary Targ;Elbląski;6204;2991;2853;48,2108;45,9865
30;wielkopolskie;3016;obornicki;3016023;gm.m-w. Rogoźno;Pilski;18372;9092;8448;49,4884;45,983
24;śląskie;2402;bielski;2402011;Szczyrk;Bielski;5710;2754;2625;48,2312;45,972
24;śląskie;2413;tarnogórski;2413021;Miasteczko Śląskie;Katowicki;7418;3547;3410;47,8161;45,9693
32;zachodniopomorskie;3206;gryfiński;3206072;gm.w Stare Czarnowo;Szczeciński;3797;1851;1745;48,749;45,9573
32;zachodniopomorskie;3211;policki;3211033;gm.m-w. Nowe Warpno;Szczeciński;1624;787;746;48,4606;45,936
24;śląskie;2417;żywiecki;2417082;gm.w Łodygowice;Bielski;14637;7077;6721;48,3501;45,9179
12;małopolskie;1212;olkuski;1212062;gm.w Trzyciąż;Krakowski;7039;3399;3232;48,2881;45,9156
14;mazowieckie;1417;otwocki;1417052;gm.w Kołbiel;Siedlecki;8235;4142;3781;50,2975;45,9138
30;wielkopolskie;3023;słupecki;3023022;gm.w Lądek;Koniński;5750;2817;2640;48,9913;45,913
24;śląskie;2412;rybnicki;2412042;gm.w Lyski;Katowicki;9676;4630;4441;47,8504;45,8971
24;śląskie;2462;Bytom;2462011;Bytom;;163255;78199;74924;47,8999;45,8938
30;wielkopolskie;3004;gostyński;3004023;gm.m-w. Gostyń;Leszczyński;28200;13539;12941;48,0106;45,8901
10;łódzkie;1017;wieluński;1017032;gm.w Konopnica;Sieradzki;3759;1818;1725;48,3639;45,8899
30;wielkopolskie;3013;leszczyński;3013043;gm.m-w. Rydzyna;Leszczyński;9836;4780;4512;48,597;45,8723
32;zachodniopomorskie;3209;koszaliński;3209022;gm.w Biesiekierz;Koszaliński;7199;3466;3302;48,1456;45,8675
32;zachodniopomorskie;3215;szczecinecki;3215043;gm.m-w. Borne Sulinowo;Koszaliński;9840;4727;4513;48,0386;45,8638
2;dolnośląskie;210;lubański;210072;gm.w Siekierczyn;Jeleniogórski;4516;2154;2071;47,6971;45,8592
2;dolnośląskie;219;świdnicki;219063;gm.m-w. Strzegom;Wałbrzyski;25499;12250;11692;48,0411;45,8528
14;mazowieckie;1414;nowodworski;1414043;gm.m-w. Nasielsk;Ciechanowski;19943;9623;9143;48,2525;45,8457
26;świętokrzyskie;2602;jędrzejowski;2602042;gm.w Nagłowice;Kielecki;4867;2368;2231;48,6542;45,8393
32;zachodniopomorskie;3205;gryficki;3205083;gm.m-w. Trzebiatów;Szczeciński;15995;7779;7332;48,6339;45,8393
14;mazowieckie;1406;grójecki;1406113;gm.m-w. Warka;Radomski;19167;9303;8786;48,5365;45,8392
2;dolnośląskie;221;wałbrzyski;221072;gm.w Stare Bogaczowice;Wałbrzyski;4265;2053;1955;48,136;45,8382
6;lubelskie;617;świdnicki;617011;Świdnik;;38763;18613;17766;48,0174;45,8324
8;lubuskie;808;świebodziński;808063;gm.m-w. Zbąszynek;Zielonogórski;8273;4031;3790;48,7248;45,8117
28;warmińsko-mazurskie;2803;działdowski;2803052;gm.w Płośnica;Ciechanowski;5540;2746;2537;49,5668;45,7942
22;pomorskie;2211;pucki;2211023;gm.m-w. Jastarnia;Gdański;3626;1791;1660;49,3933;45,7805
14;mazowieckie;1416;ostrowski;1416092;gm.w Szulborze Wielkie;Łomżyński;1630;793;746;48,6503;45,7669
12;małopolskie;1206;krakowski;1206012;gm.w Czernichów;Krakowski;14704;7197;6727;48,9459;45,7495
2;dolnośląskie;207;kamiennogórski;207022;gm.w Kamienna Góra;Jeleniogórski;8997;4347;4116;48,3161;45,7486
2;dolnośląskie;208;kłodzki;208031;Kudowa-Zdrój;Wałbrzyski;9772;4675;4469;47,8408;45,7327
32;zachodniopomorskie;3205;gryficki;3205023;gm.m-w. Gryfice;Szczeciński;23647;11629;10812;49,1775;45,7225
30;wielkopolskie;3023;słupecki;3023072;gm.w Strzałkowo;Koniński;10280;5020;4700;48,8327;45,7198
2;dolnośląskie;208;kłodzki;208041;Nowa Ruda;Wałbrzyski;21643;10259;9892;47,401;45,7053
14;mazowieckie;1437;żuromiński;1437042;gm.w Lutocin;Ciechanowski;4197;2056;1918;48,9874;45,6993
2;dolnośląskie;205;jaworski;205011;Jawor;Legnicki;22462;10769;10263;47,9432;45,6905
6;lubelskie;618;tomaszowski;618011;Tomaszów Lubelski;Zamojski;18783;9029;8582;48,0701;45,6903
26;świętokrzyskie;2604;kielecki;2604172;gm.w Nowiny;Kielecki;7919;3797;3618;47,948;45,6876
24;śląskie;2473;Rybnik;2473011;Rybnik;;137128;65638;62650;47,8662;45,6872
6;lubelskie;604;hrubieszowski;604011;Hrubieszów;Zamojski;17232;8283;7871;48,0675;45,6766
14;mazowieckie;1406;grójecki;1406032;gm.w Chynów;Radomski;9853;4795;4500;48,6654;45,6714
10;łódzkie;1003;łaski;1003023;gm.m-w. Łask;Sieradzki;27530;13146;12561;47,7515;45,6266
24;śląskie;2407;lubliniecki;2407011;Lubliniec;Częstochowski;23551;11301;10742;47,9852;45,6117
32;zachodniopomorskie;3218;łobeski;3218023;gm.m-w. Łobez;Szczeciński;13815;6727;6300;48,6934;45,6026
24;śląskie;2412;rybnicki;2412022;gm.w Gaszowice;Katowicki;9856;4674;4494;47,4229;45,5966
28;warmińsko-mazurskie;2804;elbląski;2804073;gm.m-w. Pasłęk;Elbląski;19205;9295;8751;48,3989;45,5663
12;małopolskie;1218;wadowicki;1218033;gm.m-w. Kalwaria Zebrzydowska;Bielski;20022;9529;9121;47,5926;45,5549
28;warmińsko-mazurskie;2814;olsztyński;2814052;gm.w Gietrzwałd;Olsztyński;6743;3206;3071;47,5456;45,5435
2;dolnośląskie;223;wrocławski;223073;gm.m-w. Sobótka;Wrocławski;12872;6197;5862;48,1433;45,5407
28;warmińsko-mazurskie;2814;olsztyński;2814093;gm.m-w. Olsztynek;Olsztyński;13630;6463;6206;47,4175;45,5319
32;zachodniopomorskie;3208;kołobrzeski;3208033;gm.m-w. Gościno;Koszaliński;5133;2448;2337;47,6914;45,5289
8;lubuskie;809;zielonogórski;809082;gm.w Trzebiechów;Zielonogórski;3343;1591;1522;47,592;45,528
30;wielkopolskie;3001;chodzieski;3001023;gm.m-w. Budzyń;Pilski;8494;4224;3867;49,7292;45,5263
4;kujawsko-pomorskie;404;chełmiński;404072;gm.w Unisław;Toruński;6989;3415;3181;48,8625;45,5144
2;dolnośląskie;214;oleśnicki;214073;gm.m-w. Syców;Kaliski;16819;8002;7651;47,5771;45,4902
10;łódzkie;1019;zduńskowolski;1019011;Zduńska Wola;;41288;19762;18779;47,8638;45,4829
12;małopolskie;1263;Tarnów;1263011;Tarnów;;107498;51101;48891;47,5367;45,4808
2;dolnośląskie;224;ząbkowicki;224053;gm.m-w. Ząbkowice Śląskie;Wałbrzyski;21405;10208;9735;47,6898;45,48
2;dolnośląskie;206;karkonoski;206031;Piechowice;Jeleniogórski;6082;2881;2766;47,3693;45,4785
28;warmińsko-mazurskie;2814;olsztyński;2814013;gm.m-w. Barczewo;Olsztyński;18142;8601;8249;47,4093;45,4691
2;dolnośląskie;223;wrocławski;223062;gm.w Mietków;Wrocławski;3737;1770;1699;47,3642;45,4643
30;wielkopolskie;3008;kępiński;3008072;gm.w Trzcinica;Kaliski;4934;2358;2243;47,7908;45,4601
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002052;gm.w Lubasz;Pilski;7686;3796;3494;49,3885;45,4593
28;warmińsko-mazurskie;2819;węgorzewski;2819012;gm.w Budry;Suwalski;2760;1324;1254;47,971;45,4348
18;podkarpackie;1810;łańcucki;1810011;Łańcut;Rzeszowski;17675;8467;8030;47,9038;45,4314
10;łódzkie;1002;kutnowski;1002113;gm.m-w. Żychlin;Płocki;11628;5701;5282;49,0282;45,4248
4;kujawsko-pomorskie;401;aleksandrowski;401031;Nieszawa;Włocławski;1834;874;833;47,6554;45,4198
6;lubelskie;619;włodawski;619042;gm.w Stary Brus;Chełmski;2070;978;940;47,2464;45,4106
16;opolskie;1606;namysłowski;1606023;gm.m-w. Namysłów;Opolski;26210;12404;11896;47,3254;45,3873
2;dolnośląskie;218;średzki;218043;gm.m-w. Środa Śląska;Wrocławski;19889;9576;9024;48,1472;45,3718
2;dolnośląskie;202;dzierżoniowski;202021;Dzierżoniów;;32869;15637;14911;47,5737;45,3649
24;śląskie;2417;żywiecki;2417122;gm.w Ślemień;Bielski;3534;1670;1603;47,2552;45,3594
24;śląskie;2413;tarnogórski;2413011;Kalety;Częstochowski;8548;4140;3876;48,4324;45,3439
24;śląskie;2417;żywiecki;2417062;gm.w Lipowa;Bielski;10872;5249;4929;48,28;45,3366
2;dolnośląskie;219;świdnicki;219021;Świebodzice;Wałbrzyski;22642;10847;10262;47,9065;45,3229
12;małopolskie;1208;miechowski;1208062;gm.w Racławice;Kielecki;2485;1222;1126;49,1751;45,3119
24;śląskie;2412;rybnicki;2412013;gm.m-w. Czerwionka-Leszczyny;;41909;19774;18989;47,1832;45,3101
24;śląskie;2402;bielski;2402052;gm.w Jasienica;Bielski;24681;11850;11182;48,0126;45,3061
14;mazowieckie;1411;makowski;1411082;gm.w Rzewnie;Ostrołęcki;2591;1275;1173;49,2088;45,2721
26;świętokrzyskie;2602;jędrzejowski;2602052;gm.w Oksa;Kielecki;4533;2234;2052;49,283;45,268
14;mazowieckie;1424;pułtuski;1424043;gm.m-w. Pułtusk;Ciechanowski;24619;11786;11144;47,8736;45,2659
24;śląskie;2413;tarnogórski;2413052;gm.w Krupski Młyn;Katowicki;3177;1485;1438;46,7422;45,2628
10;łódzkie;1006;łódzki wschodni;1006113;gm.m-w. Tuszyn;Piotrkowski;12453;5925;5636;47,5789;45,2582
30;wielkopolskie;3001;chodzieski;3001053;gm.m-w. Szamocin;Pilski;7513;3538;3400;47,0917;45,2549
26;świętokrzyskie;2606;opatowski;2606043;gm.m-w. Opatów;Tarnobrzeski;11532;5528;5218;47,9362;45,248
26;świętokrzyskie;2608;pińczowski;2608032;gm.w Michałów;Kielecki;4516;2165;2043;47,9407;45,2391
26;świętokrzyskie;2603;kazimierski;2603022;gm.w Czarnocin;Kielecki;3723;1808;1684;48,563;45,2323
10;łódzkie;1011;poddębicki;1011043;gm.m-w. Uniejów;Koniński;6956;3314;3146;47,6423;45,2271
4;kujawsko-pomorskie;413;sępoleński;413043;gm.m-w. Więcbork;Bydgoski;13309;6226;6019;46,7804;45,225
10;łódzkie;1009;pajęczański;1009013;gm.m-w. Działoszyn;Sieradzki;12346;5788;5582;46,8816;45,213
30;wielkopolskie;3012;krotoszyński;3012033;gm.m-w. Koźmin Wielkopolski;Kaliski;13140;6300;5940;47,9452;45,2055
26;świętokrzyskie;2612;staszowski;2612073;gm.m-w. Staszów;Tarnobrzeski;25464;12155;11505;47,7341;45,1814
4;kujawsko-pomorskie;405;golubsko-dobrzyński;405043;gm.m-w. Kowalewo Pomorskie;Toruński;11416;5396;5154;47,267;45,1472
30;wielkopolskie;3028;wągrowiecki;3028062;gm.w Wapno;Pilski;2931;1418;1323;48,3794;45,1382
24;śląskie;2404;częstochowski;2404152;gm.w Rędziny;Częstochowski;9850;4741;4446;48,132;45,1371
18;podkarpackie;1863;Rzeszów;1863011;Rzeszów;;196638;92740;88700;47,1628;45,1083
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002073;gm.m-w. Trzcianka;Pilski;24224;11743;10927;48,4767;45,1082
26;świętokrzyskie;2602;jędrzejowski;2602012;gm.w Imielno;Kielecki;4301;2102;1940;48,8724;45,1058
30;wielkopolskie;3014;międzychodzki;3014022;gm.w Kwilcz;Poznański;6377;3075;2876;48,2202;45,0996
14;mazowieckie;1406;grójecki;1406092;gm.w Pniewy;Radomski;4788;2265;2158;47,3058;45,071
24;śląskie;2479;Żory;2479011;Żory;;62844;29602;28324;47,1039;45,0703
14;mazowieckie;1406;grójecki;1406083;gm.m-w. Nowe Miasto nad Pilicą;Radomski;7615;3646;3431;47,8792;45,0558
12;małopolskie;1206;krakowski;1206132;gm.w Sułoszowa;Krakowski;5807;2790;2616;48,0455;45,0491
20;podlaskie;2061;Białystok;2061011;Białystok;;296958;139941;133770;47,1248;45,0468
8;lubuskie;804;nowosolski;804082;gm.w Siedlisko;Zielonogórski;3554;1688;1600;47,4958;45,0197
30;wielkopolskie;3020;pleszewski;3020033;gm.m-w. Dobrzyca;Kaliski;8093;3810;3641;47,0777;44,9895
2;dolnośląskie;220;trzebnicki;220063;gm.m-w. Żmigród;Wrocławski;14608;6883;6572;47,118;44,989
30;wielkopolskie;3016;obornicki;3016032;gm.w Ryczywół;Pilski;7264;3554;3268;48,9262;44,989
24;śląskie;2412;rybnicki;2412032;gm.w Jejkowice;Katowicki;4185;1973;1882;47,1446;44,9701
30;wielkopolskie;3030;wrzesiński;3030012;gm.w Kołaczkowo;Poznański;5988;2868;2691;47,8958;44,9399
32;zachodniopomorskie;3212;pyrzycki;3212012;gm.w Bielice;Szczeciński;3142;1510;1412;48,0586;44,9395
4;kujawsko-pomorskie;415;toruński;415052;gm.w Łubianka;Toruński;7438;3561;3342;47,8758;44,9314
24;śląskie;2403;cieszyński;2403113;gm.m-w. Strumień;Bielski;13256;6251;5956;47,156;44,9306
30;wielkopolskie;3005;grodziski;3005032;gm.w Kamieniec;Poznański;6621;3219;2974;48,618;44,9177
16;opolskie;1607;nyski;1607082;gm.w Pakosławice;Opolski;3496;1638;1570;46,8535;44,9085
30;wielkopolskie;3015;nowotomyski;3015023;gm.m-w. Lwówek;Poznański;9017;4437;4048;49,2071;44,893
24;śląskie;2415;wodzisławski;2415041;Wodzisław Śląski;;47576;22213;21350;46,6895;44,8756
6;lubelskie;614;puławski;614052;gm.w Końskowola;Lubelski;8719;4237;3912;48,595;44,8675
16;opolskie;1604;kluczborski;1604023;gm.m-w. Kluczbork;;35724;16877;16028;47,2427;44,8662
14;mazowieckie;1420;płoński;1420082;gm.w Nowe Miasto;Ciechanowski;4665;2300;2092;49,3033;44,8446
2;dolnośląskie;208;kłodzki;208011;Duszniki-Zdrój;Wałbrzyski;4422;2082;1983;47,0828;44,844
10;łódzkie;1021;brzeziński;1021011;Brzeziny;Skierniewicki;12365;5808;5543;46,9713;44,8281
30;wielkopolskie;3010;koniński;3010073;gm.m-w. Rychwał;Koniński;8203;3865;3677;47,1169;44,8251
24;śląskie;2403;cieszyński;2403082;gm.w Hażlach;Bielski;10919;5147;4894;47,138;44,821
26;świętokrzyskie;2608;pińczowski;2608022;gm.w Kije;Kielecki;4320;2036;1936;47,1296;44,8148
26;świętokrzyskie;2602;jędrzejowski;2602082;gm.w Sobków;Kielecki;8474;4028;3796;47,5336;44,7958
24;śląskie;2404;częstochowski;2404122;gm.w Olsztyn;Częstochowski;7835;3693;3509;47,1347;44,7862
30;wielkopolskie;3022;rawicki;3022013;gm.m-w. Bojanowo;Leszczyński;8710;4214;3900;48,3812;44,7761
26;świętokrzyskie;2602;jędrzejowski;2602072;gm.w Słupia;Kielecki;4278;2019;1915;47,195;44,7639
32;zachodniopomorskie;3212;pyrzycki;3212053;gm.m-w. Pyrzyce;Szczeciński;19227;9000;8605;46,8092;44,7548
4;kujawsko-pomorskie;414;świecki;414072;gm.w Osie;Bydgoski;5511;2566;2466;46,5614;44,7469
30;wielkopolskie;3020;pleszewski;3020052;gm.w Gołuchów;Kaliski;10807;5129;4835;47,46;44,7395
10;łódzkie;1007;opoczyński;1007023;gm.m-w. Drzewica;Radomski;10384;4903;4644;47,2169;44,7227
4;kujawsko-pomorskie;408;lipnowski;408032;gm.w Chrostkowo;Włocławski;2851;1390;1275;48,7548;44,7212
26;świętokrzyskie;2613;włoszczowski;2613063;gm.m-w. Włoszczowa;Kielecki;19132;9131;8556;47,7263;44,7209
4;kujawsko-pomorskie;409;mogileński;409022;gm.w Jeziora Wielkie;Bydgoski;4833;2363;2161;48,893;44,7134
14;mazowieckie;1419;płocki;1419063;gm.m-w. Gąbin;Płocki;10969;5176;4900;47,1875;44,6713
32;zachodniopomorskie;3204;goleniowski;3204043;gm.m-w. Nowogard;Szczeciński;24515;11626;10948;47,424;44,6584
10;łódzkie;1006;łódzki wschodni;1006032;gm.w Brójce;Łódzki;6761;3154;3019;46,6499;44,6532
8;lubuskie;810;żagański;810011;Gozdnica;Zielonogórski;2977;1447;1329;48,606;44,6423
32;zachodniopomorskie;3209;koszaliński;3209082;gm.w Świeszyno;Koszaliński;7626;3613;3403;47,3774;44,6237
22;pomorskie;2207;kwidzyński;2207011;Kwidzyn;;38329;17981;17102;46,9123;44,619
12;małopolskie;1218;wadowicki;1218082;gm.w Tomice;Bielski;8223;3927;3669;47,7563;44,6188
18;podkarpackie;1809;lubaczowski;1809011;Lubaczów;Przemyski;11830;5513;5277;46,6019;44,6069
12;małopolskie;1209;myślenicki;1209073;gm.m-w. Sułkowice;Krakowski;15061;7028;6717;46,6636;44,5986
24;śląskie;2402;bielski;2402032;gm.w Buczkowice;Bielski;11226;5279;5006;47,0248;44,5929
16;opolskie;1605;krapkowicki;1605023;gm.m-w. Krapkowice;Opolski;22337;10324;9960;46,2193;44,5897
2;dolnośląskie;214;oleśnicki;214032;gm.w Dobroszyce;Wrocławski;6886;3267;3070;47,4441;44,5832
30;wielkopolskie;3010;koniński;3010123;gm.m-w. Ślesin;Koniński;14051;6615;6263;47,0785;44,5733
30;wielkopolskie;3031;złotowski;3031053;gm.m-w. Okonek;Pilski;8441;3971;3762;47,0442;44,5682
30;wielkopolskie;3030;wrzesiński;3030043;gm.m-w. Pyzdry;Koniński;6863;3397;3058;49,4973;44,5578
32;zachodniopomorskie;3201;białogardzki;3201011;Białogard;Koszaliński;23950;11200;10671;46,7641;44,5553
30;wielkopolskie;3024;szamotulski;3024042;gm.w Obrzycko;Poznański;4498;2146;2004;47,7101;44,5531
2;dolnośląskie;211;lubiński;211022;gm.w Lubin;Legnicki;16521;7694;7358;46,571;44,5373
32;zachodniopomorskie;3216;świdwiński;3216033;gm.m-w. Połczyn-Zdrój;Koszaliński;14998;7056;6679;47,0463;44,5326
2;dolnośląskie;224;ząbkowicki;224013;gm.m-w. Bardo;Wałbrzyski;5210;2447;2320;46,9674;44,5298
30;wielkopolskie;3015;nowotomyski;3015012;gm.w Kuślin;Poznański;5467;2619;2434;47,9056;44,5217
26;świętokrzyskie;2611;starachowicki;2611053;gm.m-w. Wąchock;Kielecki;6739;3151;3000;46,7577;44,517
10;łódzkie;1002;kutnowski;1002022;gm.w Bedlno;Płocki;5263;2643;2342;50,2185;44,4993
30;wielkopolskie;3023;słupecki;3023083;gm.m-w. Zagórów;Koniński;8878;4184;3948;47,1277;44,4695
28;warmińsko-mazurskie;2803;działdowski;2803043;gm.m-w. Lidzbark;Ciechanowski;13923;6574;6191;47,2168;44,466
22;pomorskie;2213;starogardzki;2213031;Starogard Gdański;;47272;22329;21018;47,2351;44,4618
24;śląskie;2415;wodzisławski;2415031;Rydułtowy;Katowicki;21385;9938;9508;46,4718;44,4611
2;dolnośląskie;206;karkonoski;206082;gm.w Podgórzyn;Jeleniogórski;8285;3874;3683;46,7592;44,4538
16;opolskie;1608;oleski;1608043;gm.m-w. Praszka;Częstochowski;13374;6281;5945;46,9643;44,4519
4;kujawsko-pomorskie;415;toruński;415072;gm.w Obrowo;Toruński;18299;8562;8133;46,7894;44,4451
26;świętokrzyskie;2602;jędrzejowski;2602033;gm.m-w. Małogoszcz;Kielecki;11495;5454;5108;47,4467;44,4367
26;świętokrzyskie;2604;kielecki;2604123;gm.m-w. Morawica;Kielecki;16912;7977;7513;47,1677;44,4241
24;śląskie;2413;tarnogórski;2413092;gm.w Zbrosławice;Katowicki;16385;7574;7276;46,2252;44,4065
14;mazowieckie;1428;sochaczewski;1428022;gm.w Brochów;Warszawski;4375;2059;1942;47,0629;44,3886
30;wielkopolskie;3012;krotoszyński;3012043;gm.m-w. Krotoszyn;;40269;18934;17871;47,0188;44,3791
2;dolnośląskie;226;złotoryjski;226032;gm.w Pielgrzymka;Legnicki;4509;2112;2001;46,8397;44,3779
20;podlaskie;2005;hajnowski;2005022;gm.w Białowieża;Białostocki;2130;1010;945;47,4178;44,3662
10;łódzkie;1002;kutnowski;1002062;gm.w Kutno;Płocki;8753;4124;3882;47,1153;44,3505
22;pomorskie;2204;gdański;2204022;gm.w Cedry Wielkie;Gdański;6986;3240;3098;46,3785;44,3458
6;lubelskie;606;krasnostawski;606011;Krasnystaw;Chełmski;18383;8667;8152;47,1468;44,3453
4;kujawsko-pomorskie;405;golubsko-dobrzyński;405052;gm.w Radomin;Toruński;3801;1765;1685;46,4351;44,3304
10;łódzkie;1019;zduńskowolski;1019023;gm.m-w. Szadek;Sieradzki;7287;3394;3230;46,5761;44,3255
28;warmińsko-mazurskie;2810;mrągowski;2810011;Mrągowo;Olsztyński;21302;10003;9442;46,958;44,3245
2;dolnośląskie;203;głogowski;203032;gm.w Jerzmanowa;Legnicki;5347;2471;2370;46,2128;44,3239
6;lubelskie;662;Chełm;662011;Chełm;;61135;28363;27095;46,394;44,3199
30;wielkopolskie;3007;kaliski;3007093;gm.m-w. Stawiszyn;Kaliski;7074;3330;3135;47,0738;44,3172
10;łódzkie;1003;łaski;1003052;gm.w Wodzierady;Sieradzki;3496;1623;1549;46,4245;44,3078
24;śląskie;2406;kłobucki;2406042;gm.w Miedźno;Częstochowski;7518;3558;3331;47,3264;44,307
22;pomorskie;2210;nowodworski;2210042;gm.w Stegna;Elbląski;9713;4537;4303;46,7106;44,3015
30;wielkopolskie;3011;kościański;3011053;gm.m-w. Śmigiel;Leszczyński;17489;8320;7746;47,5728;44,2907
26;świętokrzyskie;2608;pińczowski;2608052;gm.w Złota;Kielecki;4436;2116;1964;47,7006;44,2741
8;lubuskie;803;międzyrzecki;803042;gm.w Pszczew;Gorzowski;4287;2040;1898;47,5857;44,2734
4;kujawsko-pomorskie;401;aleksandrowski;401052;gm.w Bądkowo;Włocławski;4187;2004;1853;47,8624;44,256
22;pomorskie;2211;pucki;2211011;Hel;Gdański;3212;1615;1421;50,2802;44,2403
2;dolnośląskie;206;karkonoski;206041;Szklarska Poręba;Jeleniogórski;6653;3115;2942;46,821;44,2207
24;śląskie;2406;kłobucki;2406082;gm.w Przystajń;Częstochowski;5849;2709;2586;46,3156;44,2127
24;śląskie;2404;częstochowski;2404052;gm.w Kłomnice;Częstochowski;13422;6244;5931;46,5206;44,1886
10;łódzkie;1012;radomszczański;1012053;gm.m-w. Kamieńsk;Piotrkowski;5839;2711;2580;46,4292;44,1856
32;zachodniopomorskie;3203;drawski;3203033;gm.m-w. Kalisz Pomorski;Koszaliński;7330;3460;3238;47,2033;44,1746
8;lubuskie;801;gorzowski;801032;gm.w Deszczno;Gorzowski;10140;4734;4478;46,6864;44,1617
26;świętokrzyskie;2612;staszowski;2612033;gm.m-w. Oleśnica;Kielecki;3843;1823;1697;47,4369;44,1582
24;śląskie;2476;Świętochłowice;2476011;Świętochłowice;;49108;22862;21685;46,5545;44,1578
10;łódzkie;1007;opoczyński;1007043;gm.m-w. Opoczno;;33777;15990;14913;47,3399;44,1513
4;kujawsko-pomorskie;412;rypiński;412032;gm.w Rogowo;Włocławski;4770;2225;2106;46,6457;44,1509
14;mazowieckie;1414;nowodworski;1414032;gm.w Leoncin;Warszawski;5588;2605;2467;46,6178;44,1482
24;śląskie;2415;wodzisławski;2415052;gm.w Godów;Katowicki;13845;6370;6112;46,0094;44,1459
4;kujawsko-pomorskie;418;włocławski;418043;gm.m-w. Brześć Kujawski;Włocławski;11352;5275;5010;46,4676;44,1332
14;mazowieckie;1461;Ostrołęka;1461011;Ostrołęka;;51656;23897;22797;46,2618;44,1323
4;kujawsko-pomorskie;401;aleksandrowski;401042;gm.w Aleksandrów Kujawski;Włocławski;12015;5651;5302;47,0329;44,1282
30;wielkopolskie;3005;grodziski;3005053;gm.m-w. Wielichowo;Poznański;6935;3289;3059;47,4261;44,1096
30;wielkopolskie;3019;pilski;3019022;gm.w Białośliwie;Pilski;4809;2221;2121;46,1842;44,1048
24;śląskie;2467;Jastrzębie-Zdrój;2467011;Jastrzębie-Zdrój;;88038;40571;38826;46,0835;44,1014
8;lubuskie;806;strzelecko-drezdenecki;806032;gm.w Stare Kurowo;Gorzowski;4034;1875;1779;46,4799;44,1001
2;dolnośląskie;214;oleśnicki;214083;gm.m-w. Twardogóra;Wrocławski;12889;5967;5683;46,2953;44,0919
2;dolnośląskie;219;świdnicki;219052;gm.w Marcinowice;Wałbrzyski;6522;3022;2875;46,3355;44,0816
22;pomorskie;2210;nowodworski;2210032;gm.w Ostaszewo;Elbląski;3206;1487;1413;46,3818;44,0736
8;lubuskie;804;nowosolski;804023;gm.m-w. Bytom Odrzański;Zielonogórski;5376;2502;2369;46,5402;44,0662
