wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zsszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1403;garwoliński;1403072;gm.w Maciejowice;Siedlecki;6871;3546;3312;51,6082;48,2026
24;śląskie;2414;bieruńsko-lędziński;2414052;gm.w Chełm Śląski;Katowicki;6403;3217;3085;50,2421;48,1805
2;dolnośląskie;222;wołowski;222013;gm.m-w. Brzeg Dolny;Wrocławski;16093;7987;7753;49,6303;48,1762
2;dolnośląskie;226;złotoryjski;226052;gm.w Zagrodno;Legnicki;5206;2621;2508;50,3458;48,1752
32;zachodniopomorskie;3207;kamieński;3207063;gm.m-w. Wolin;Szczeciński;12081;6034;5817;49,9462;48,15
24;śląskie;2403;cieszyński;2403052;gm.w Chybie;Bielski;9832;4924;4734;50,0814;48,1489
4;kujawsko-pomorskie;409;mogileński;409022;gm.w Jeziora Wielkie;Bydgoski;4833;2439;2327;50,4655;48,1481
2;dolnośląskie;209;legnicki;209042;gm.w Kunice;Legnicki;7161;3565;3447;49,7835;48,1357
22;pomorskie;2216;sztumski;2216053;gm.m-w. Sztum;Elbląski;18182;9091;8751;50;48,13
32;zachodniopomorskie;3202;choszczeński;3202033;gm.m-w. Drawno;Gorzowski;4993;2480;2403;49,6695;48,1274
32;zachodniopomorskie;3203;drawski;3203023;gm.m-w. Drawsko Pomorskie;Koszaliński;17008;8483;8183;49,8765;48,1127
14;mazowieckie;1437;żuromiński;1437042;gm.w Lutocin;Ciechanowski;4197;2100;2019;50,0357;48,1058
12;małopolskie;1212;olkuski;1212032;gm.w Bolesław;Katowicki;7727;3871;3717;50,0971;48,1041
30;wielkopolskie;3030;wrzesiński;3030043;gm.m-w. Pyzdry;Koniński;6863;3517;3300;51,2458;48,0839
30;wielkopolskie;3005;grodziski;3005032;gm.w Kamieniec;Poznański;6621;3378;3182;51,0195;48,0592
6;lubelskie;601;bialski;601021;Terespol;Bialskopodlaski;5457;2697;2622;49,4228;48,0484
22;pomorskie;2208;lęborski;2208011;Lębork;;35101;17512;16858;49,8903;48,0271
22;pomorskie;2216;sztumski;2216042;gm.w Stary Targ;Elbląski;6204;3086;2978;49,7421;48,0013
24;śląskie;2417;żywiecki;2417082;gm.w Łodygowice;Bielski;14637;7286;7025;49,778;47,9948
32;zachodniopomorskie;3215;szczecinecki;3215043;gm.m-w. Borne Sulinowo;Koszaliński;9840;4873;4722;49,5224;47,9878
32;zachodniopomorskie;3206;gryfiński;3206072;gm.w Stare Czarnowo;Szczeciński;3797;1898;1822;49,9868;47,9853
28;warmińsko-mazurskie;2804;elbląski;2804073;gm.m-w. Pasłęk;Elbląski;19205;9589;9214;49,9297;47,9771
14;mazowieckie;1416;ostrowski;1416092;gm.w Szulborze Wielkie;Łomżyński;1630;825;782;50,6135;47,9755
24;śląskie;2414;bieruńsko-lędziński;2414042;gm.w Bojszowy;Katowicki;8045;4002;3859;49,7452;47,9677
30;wielkopolskie;3015;nowotomyski;3015023;gm.m-w. Lwówek;Poznański;9017;4626;4325;51,3031;47,965
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002073;gm.m-w. Trzcianka;Pilski;24224;12167;11619;50,227;47,9648
2;dolnośląskie;207;kamiennogórski;207022;gm.w Kamienna Góra;Jeleniogórski;8997;4485;4315;49,8499;47,9604
24;śląskie;2417;żywiecki;2417062;gm.w Lipowa;Bielski;10872;5434;5213;49,9816;47,9489
14;mazowieckie;1463;Radom;1463011;Radom;;209296;103945;100291;49,6641;47,9183
28;warmińsko-mazurskie;2807;iławski;2807073;gm.m-w. Zalewo;Olsztyński;6699;3352;3210;50,0373;47,9176
32;zachodniopomorskie;3205;gryficki;3205083;gm.m-w. Trzebiatów;Szczeciński;15995;7960;7664;49,7656;47,915
2;dolnośląskie;218;średzki;218032;gm.w Miękinia;Wrocławski;17615;8850;8436;50,2413;47,891
32;zachodniopomorskie;3204;goleniowski;3204043;gm.m-w. Nowogard;Szczeciński;24515;12219;11736;49,843;47,8727
30;wielkopolskie;3028;wągrowiecki;3028062;gm.w Wapno;Pilski;2931;1464;1403;49,9488;47,8676
32;zachodniopomorskie;3212;pyrzycki;3212012;gm.w Bielice;Szczeciński;3142;1590;1504;50,6047;47,8676
30;wielkopolskie;3013;leszczyński;3013043;gm.m-w. Rydzyna;Leszczyński;9836;4917;4708;49,9898;47,865
14;mazowieckie;1406;grójecki;1406113;gm.m-w. Warka;Radomski;19167;9565;9173;49,9035;47,8583
30;wielkopolskie;3023;słupecki;3023083;gm.m-w. Zagórów;Koniński;8878;4407;4248;49,6396;47,8486
32;zachodniopomorskie;3218;łobeski;3218023;gm.m-w. Łobez;Szczeciński;13815;6937;6608;50,2135;47,8321
30;wielkopolskie;3010;koniński;3010022;gm.w Grodziec;Koniński;5131;2578;2453;50,2436;47,8074
4;kujawsko-pomorskie;418;włocławski;418092;gm.w Kowal;Włocławski;3897;1943;1863;49,8589;47,806
6;lubelskie;609;lubelski;609082;gm.w Konopnica;Lubelski;14267;7085;6820;49,6601;47,8026
22;pomorskie;2211;pucki;2211023;gm.m-w. Jastarnia;Gdański;3626;1854;1733;51,1307;47,7937
32;zachodniopomorskie;3211;policki;3211033;gm.m-w. Nowe Warpno;Szczeciński;1624;822;776;50,6158;47,7833
14;mazowieckie;1414;nowodworski;1414043;gm.m-w. Nasielsk;Ciechanowski;19943;9904;9528;49,6615;47,7762
32;zachodniopomorskie;3209;koszaliński;3209022;gm.w Biesiekierz;Koszaliński;7199;3567;3439;49,5485;47,7705
10;łódzkie;1011;poddębicki;1011043;gm.m-w. Uniejów;Koniński;6956;3447;3321;49,5543;47,743
12;małopolskie;1212;olkuski;1212062;gm.w Trzyciąż;Krakowski;7039;3489;3360;49,5667;47,7341
14;mazowieckie;1419;płocki;1419092;gm.w Nowy Duninów;Płocki;3979;2000;1899;50,2639;47,7256
2;dolnośląskie;208;kłodzki;208031;Kudowa-Zdrój;Wałbrzyski;9772;4810;4662;49,2223;47,7077
26;świętokrzyskie;2608;pińczowski;2608032;gm.w Michałów;Kielecki;4516;2244;2154;49,69;47,6971
30;wielkopolskie;3025;średzki;3025022;gm.w Krzykosy;Poznański;7163;3576;3416;49,9232;47,6895
6;lubelskie;619;włodawski;619042;gm.w Stary Brus;Chełmski;2070;1019;987;49,2271;47,6812
14;mazowieckie;1406;grójecki;1406032;gm.w Chynów;Radomski;9853;4923;4697;49,9645;47,6708
10;łódzkie;1017;wieluński;1017102;gm.w Wierzchlas;Sieradzki;6604;3225;3148;48,834;47,6681
2;dolnośląskie;215;oławski;215022;gm.w Domaniów;Wrocławski;5132;2538;2446;49,4544;47,6617
26;świętokrzyskie;2607;ostrowiecki;2607011;Ostrowiec Świętokrzyski;;67404;33298;32124;49,4006;47,6589
10;łódzkie;1002;kutnowski;1002113;gm.m-w. Żychlin;Płocki;11628;5861;5541;50,4042;47,6522
2;dolnośląskie;219;świdnicki;219063;gm.m-w. Strzegom;Wałbrzyski;25499;12488;12150;48,9745;47,6489
30;wielkopolskie;3022;rawicki;3022013;gm.m-w. Bojanowo;Leszczyński;8710;4346;4150;49,8967;47,6464
30;wielkopolskie;3030;wrzesiński;3030012;gm.w Kołaczkowo;Poznański;5988;3009;2853;50,2505;47,6453
2;dolnośląskie;221;wałbrzyski;221021;Jedlina-Zdrój;Wałbrzyski;4789;2380;2281;49,6972;47,63
14;mazowieckie;1419;płocki;1419132;gm.w Stara Biała;Płocki;12019;5948;5724;49,4883;47,6246
12;małopolskie;1208;miechowski;1208062;gm.w Racławice;Kielecki;2485;1250;1183;50,3018;47,6056
28;warmińsko-mazurskie;2815;ostródzki;2815022;gm.w Dąbrówno;Olsztyński;4235;2117;2016;49,9882;47,6033
26;świętokrzyskie;2603;kazimierski;2603022;gm.w Czarnocin;Kielecki;3723;1889;1772;50,7387;47,596
30;wielkopolskie;3025;średzki;3025032;gm.w Nowe Miasto nad Wartą;Poznański;8984;4515;4275;50,256;47,5846
24;śląskie;2473;Rybnik;2473011;Rybnik;;137128;67316;65234;49,0899;47,5716
24;śląskie;2462;Bytom;2462011;Bytom;;163255;80319;77662;49,1985;47,571
30;wielkopolskie;3008;kępiński;3008072;gm.w Trzcinica;Kaliski;4934;2409;2347;48,8245;47,5679
10;łódzkie;1004;łęczycki;1004022;gm.w Daszyna;Płocki;3827;1904;1820;49,7518;47,5568
30;wielkopolskie;3004;gostyński;3004023;gm.m-w. Gostyń;Leszczyński;28200;13919;13411;49,3582;47,5567
6;lubelskie;614;puławski;614052;gm.w Końskowola;Lubelski;8719;4369;4146;50,109;47,5513
10;łódzkie;1003;łaski;1003023;gm.m-w. Łask;Sieradzki;27530;13503;13088;49,0483;47,5409
4;kujawsko-pomorskie;415;toruński;415052;gm.w Łubianka;Toruński;7438;3709;3536;49,8656;47,5397
2;dolnośląskie;209;legnicki;209011;Chojnów;Legnicki;13236;6454;6292;48,761;47,537
2;dolnośląskie;226;złotoryjski;226011;Wojcieszów;Jeleniogórski;3572;1774;1698;49,6641;47,5364
24;śląskie;2413;tarnogórski;2413021;Miasteczko Śląskie;Katowicki;7418;3660;3526;49,3394;47,533
12;małopolskie;1218;wadowicki;1218033;gm.m-w. Kalwaria Zebrzydowska;Bielski;20022;9800;9516;48,9462;47,5277
2;dolnośląskie;210;lubański;210072;gm.w Siekierczyn;Jeleniogórski;4516;2209;2146;48,915;47,5199
24;śląskie;2402;bielski;2402011;Szczyrk;Bielski;5710;2815;2713;49,2995;47,5131
6;lubelskie;604;hrubieszowski;604011;Hrubieszów;Zamojski;17232;8535;8183;49,5299;47,4872
4;kujawsko-pomorskie;414;świecki;414072;gm.w Osie;Bydgoski;5511;2683;2617;48,6844;47,4868
6;lubelskie;618;tomaszowski;618011;Tomaszów Lubelski;Zamojski;18783;9301;8913;49,5182;47,4525
30;wielkopolskie;3012;krotoszyński;3012033;gm.m-w. Koźmin Wielkopolski;Kaliski;13140;6483;6232;49,3379;47,4277
2;dolnośląskie;221;wałbrzyski;221072;gm.w Stare Bogaczowice;Wałbrzyski;4265;2099;2021;49,2145;47,3857
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002052;gm.w Lubasz;Pilski;7686;3862;3642;50,2472;47,3849
8;lubuskie;809;zielonogórski;809082;gm.w Trzebiechów;Zielonogórski;3343;1666;1584;49,8355;47,3826
26;świętokrzyskie;2602;jędrzejowski;2602082;gm.w Sobków;Kielecki;8474;4148;4015;48,9497;47,3802
6;lubelskie;617;świdnicki;617011;Świdnik;;38763;19051;18366;49,1474;47,3802
12;małopolskie;1206;krakowski;1206132;gm.w Sułoszowa;Krakowski;5807;2886;2751;49,6986;47,3739
2;dolnośląskie;218;średzki;218043;gm.m-w. Środa Śląska;Wrocławski;19889;9857;9419;49,5601;47,3578
24;śląskie;2412;rybnicki;2412042;gm.w Lyski;Katowicki;9676;4747;4582;49,0595;47,3543
24;śląskie;2404;częstochowski;2404152;gm.w Rędziny;Częstochowski;9850;4885;4663;49,5939;47,3401
24;śląskie;2402;bielski;2402052;gm.w Jasienica;Bielski;24681;12233;11683;49,5644;47,336
16;opolskie;1603;kędzierzyńsko-kozielski;1603011;Kędzierzyn-Koźle;;60021;29477;28407;49,1111;47,3284
28;warmińsko-mazurskie;2819;węgorzewski;2819012;gm.w Budry;Suwalski;2760;1356;1306;49,1304;47,3188
4;kujawsko-pomorskie;402;brodnicki;402062;gm.w Bartniczka;Toruński;4708;2344;2227;49,7876;47,3025
26;świętokrzyskie;2613;włoszczowski;2613063;gm.m-w. Włoszczowa;Kielecki;19132;9480;9048;49,5505;47,2925
4;kujawsko-pomorskie;401;aleksandrowski;401052;gm.w Bądkowo;Włocławski;4187;2073;1980;49,5104;47,2892
2;dolnośląskie;205;jaworski;205011;Jawor;Legnicki;22462;11003;10622;48,985;47,2888
14;mazowieckie;1424;pułtuski;1424043;gm.m-w. Pułtusk;Ciechanowski;24619;12165;11642;49,4131;47,2887
26;świętokrzyskie;2604;kielecki;2604172;gm.w Nowiny;Kielecki;7919;3896;3744;49,1981;47,2787
26;świętokrzyskie;2605;konecki;2605012;gm.w Fałków;Piotrkowski;4328;2192;2046;50,647;47,2736
24;śląskie;2412;rybnicki;2412022;gm.w Gaszowice;Katowicki;9856;4795;4659;48,6506;47,2707
18;podkarpackie;1810;łańcucki;1810011;Łańcut;Rzeszowski;17675;8685;8353;49,1372;47,2588
2;dolnośląskie;223;wrocławski;223073;gm.m-w. Sobótka;Wrocławski;12872;6362;6082;49,4251;47,2498
26;świętokrzyskie;2606;opatowski;2606043;gm.m-w. Opatów;Tarnobrzeski;11532;5673;5448;49,1935;47,2425
12;małopolskie;1263;Tarnów;1263011;Tarnów;;107498;52350;50780;48,6986;47,2381
24;śląskie;2407;lubliniecki;2407011;Lubliniec;Częstochowski;23551;11561;11124;49,0892;47,2337
2;dolnośląskie;224;ząbkowicki;224053;gm.m-w. Ząbkowice Śląskie;Wałbrzyski;21405;10508;10108;49,0913;47,2226
2;dolnośląskie;206;karkonoski;206031;Piechowice;Jeleniogórski;6082;2978;2872;48,9642;47,2213
30;wielkopolskie;3016;obornicki;3016032;gm.w Ryczywół;Pilski;7264;3666;3430;50,4681;47,2192
2;dolnośląskie;208;kłodzki;208041;Nowa Ruda;Wałbrzyski;21643;10519;10213;48,6023;47,1885
10;łódzkie;1002;kutnowski;1002022;gm.w Bedlno;Płocki;5263;2721;2483;51,7006;47,1784
10;łódzkie;1006;łódzki wschodni;1006113;gm.m-w. Tuszyn;Piotrkowski;12453;6132;5875;49,2411;47,1774
28;warmińsko-mazurskie;2814;olsztyński;2814013;gm.m-w. Barczewo;Olsztyński;18142;8906;8557;49,0905;47,1668
32;zachodniopomorskie;3208;kołobrzeski;3208033;gm.m-w. Gościno;Koszaliński;5133;2529;2421;49,2694;47,1654
10;łódzkie;1019;zduńskowolski;1019011;Zduńska Wola;;41288;20310;19472;49,191;47,1614
30;wielkopolskie;3020;pleszewski;3020052;gm.w Gołuchów;Kaliski;10807;5282;5096;48,8757;47,1546
24;śląskie;2413;tarnogórski;2413011;Kalety;Częstochowski;8548;4234;4029;49,5321;47,1338
10;łódzkie;1002;kutnowski;1002052;gm.w Krzyżanów;Płocki;4202;2072;1980;49,3099;47,1204
4;kujawsko-pomorskie;408;lipnowski;408032;gm.w Chrostkowo;Włocławski;2851;1420;1343;49,8071;47,1063
12;małopolskie;1218;wadowicki;1218082;gm.w Tomice;Bielski;8223;4058;3871;49,3494;47,0753
10;łódzkie;1015;skierniewicki;1015012;gm.w Bolimów;Skierniewicki;4026;1960;1895;48,6836;47,0691
2;dolnośląskie;223;wrocławski;223062;gm.w Mietków;Wrocławski;3737;1816;1758;48,5951;47,0431
26;świętokrzyskie;2612;staszowski;2612073;gm.m-w. Staszów;Tarnobrzeski;25464;12576;11979;49,3874;47,0429
26;świętokrzyskie;2608;pińczowski;2608022;gm.w Kije;Kielecki;4320;2102;2031;48,6574;47,0139
30;wielkopolskie;3005;grodziski;3005053;gm.m-w. Wielichowo;Poznański;6935;3393;3260;48,9257;47,0079
2;dolnośląskie;214;oleśnicki;214073;gm.m-w. Syców;Kaliski;16819;8184;7905;48,6593;47,0004
16;opolskie;1606;namysłowski;1606023;gm.m-w. Namysłów;Opolski;26210;12715;12314;48,512;46,9821
30;wielkopolskie;3015;nowotomyski;3015012;gm.w Kuślin;Poznański;5467;2701;2568;49,4055;46,9727
4;kujawsko-pomorskie;407;inowrocławski;407082;gm.w Rojewo;Bydgoski;4723;2339;2218;49,5236;46,9617
2;dolnośląskie;219;świdnicki;219021;Świebodzice;Wałbrzyski;22642;11084;10633;48,9533;46,9614
28;warmińsko-mazurskie;2814;olsztyński;2814093;gm.m-w. Olsztynek;Olsztyński;13630;6647;6400;48,7674;46,9552
24;śląskie;2479;Żory;2479011;Żory;;62844;30473;29500;48,4899;46,9416
4;kujawsko-pomorskie;401;aleksandrowski;401042;gm.w Aleksandrów Kujawski;Włocławski;12015;5882;5637;48,9555;46,9164
4;kujawsko-pomorskie;413;sępoleński;413043;gm.m-w. Więcbork;Bydgoski;13309;6376;6244;47,9074;46,9156
28;warmińsko-mazurskie;2803;działdowski;2803043;gm.m-w. Lidzbark;Ciechanowski;13923;6841;6531;49,1345;46,908
30;wielkopolskie;3010;koniński;3010123;gm.m-w. Ślesin;Koniński;14051;6839;6591;48,6727;46,9077
24;śląskie;2403;cieszyński;2403113;gm.m-w. Strumień;Bielski;13256;6416;6217;48,4007;46,8995
26;świętokrzyskie;2608;pińczowski;2608052;gm.w Złota;Kielecki;4436;2191;2080;49,3913;46,8891
24;śląskie;2402;bielski;2402032;gm.w Buczkowice;Bielski;11226;5441;5263;48,4678;46,8822
24;śląskie;2412;rybnicki;2412013;gm.m-w. Czerwionka-Leszczyny;;41909;20233;19645;48,2784;46,8754
22;pomorskie;2214;tczewski;2214052;gm.w Subkowy;Gdański;5499;2777;2577;50,5001;46,8631
24;śląskie;2417;żywiecki;2417122;gm.w Ślemień;Bielski;3534;1698;1656;48,0475;46,8591
28;warmińsko-mazurskie;2802;braniewski;2802033;gm.m-w. Frombork;Elbląski;3515;1725;1647;49,0754;46,8563
24;śląskie;2404;częstochowski;2404122;gm.w Olsztyn;Częstochowski;7835;3776;3670;48,194;46,8411
30;wielkopolskie;3001;chodzieski;3001053;gm.m-w. Szamocin;Pilski;7513;3666;3519;48,7954;46,8388
26;świętokrzyskie;2613;włoszczowski;2613032;gm.w Moskorzew;Częstochowski;2618;1273;1226;48,6249;46,8296
4;kujawsko-pomorskie;416;tucholski;416052;gm.w Śliwice;Bydgoski;5595;2685;2620;47,9893;46,8275
28;warmińsko-mazurskie;2804;elbląski;2804082;gm.w Rychliki;Elbląski;3727;1853;1745;49,7183;46,8205
30;wielkopolskie;3020;pleszewski;3020033;gm.m-w. Dobrzyca;Kaliski;8093;3929;3789;48,5481;46,8182
2;dolnośląskie;226;złotoryjski;226032;gm.w Pielgrzymka;Legnicki;4509;2180;2111;48,3477;46,8175
26;świętokrzyskie;2602;jędrzejowski;2602072;gm.w Słupia;Kielecki;4278;2088;2002;48,8079;46,7976
4;kujawsko-pomorskie;401;aleksandrowski;401031;Nieszawa;Włocławski;1834;909;858;49,5638;46,783
4;kujawsko-pomorskie;405;golubsko-dobrzyński;405043;gm.m-w. Kowalewo Pomorskie;Toruński;11416;5578;5340;48,8612;46,7765
2;dolnośląskie;208;kłodzki;208011;Duszniki-Zdrój;Wałbrzyski;4422;2149;2068;48,5979;46,7662
24;śląskie;2412;rybnicki;2412032;gm.w Jejkowice;Katowicki;4185;2035;1957;48,626;46,7622
2;dolnośląskie;225;zgorzelecki;225011;Zawidów;Jeleniogórski;4132;2008;1932;48,5963;46,757
24;śląskie;2403;cieszyński;2403082;gm.w Hażlach;Bielski;10919;5289;5104;48,4385;46,7442
24;śląskie;2413;tarnogórski;2413052;gm.w Krupski Młyn;Katowicki;3177;1531;1485;48,1901;46,7422
16;opolskie;1607;nyski;1607082;gm.w Pakosławice;Opolski;3496;1683;1634;48,1407;46,7391
4;kujawsko-pomorskie;418;włocławski;418113;gm.m-w. Lubień Kujawski;Włocławski;7233;3517;3380;48,6244;46,7303
28;warmińsko-mazurskie;2814;olsztyński;2814052;gm.w Gietrzwałd;Olsztyński;6743;3276;3151;48,5837;46,7299
32;zachodniopomorskie;3209;koszaliński;3209082;gm.w Świeszyno;Koszaliński;7626;3713;3563;48,6887;46,7217
2;dolnośląskie;224;ząbkowicki;224013;gm.m-w. Bardo;Wałbrzyski;5210;2515;2434;48,2726;46,7179
20;podlaskie;2005;hajnowski;2005022;gm.w Białowieża;Białostocki;2130;1047;995;49,1549;46,7136
8;lubuskie;811;żarski;811082;gm.w Trzebiel;Zielonogórski;5640;2731;2633;48,422;46,6844
30;wielkopolskie;3012;krotoszyński;3012043;gm.m-w. Krotoszyn;;40269;19578;18799;48,618;46,6836
10;łódzkie;1009;pajęczański;1009013;gm.m-w. Działoszyn;Sieradzki;12346;5913;5763;47,8941;46,6791
4;kujawsko-pomorskie;419;żniński;419022;gm.w Gąsawa;Bydgoski;5215;2590;2434;49,6644;46,6731
30;wielkopolskie;3011;kościański;3011053;gm.m-w. Śmigiel;Leszczyński;17489;8638;8162;49,391;46,6693
10;łódzkie;1021;brzeziński;1021011;Brzeziny;Skierniewicki;12365;5987;5769;48,4189;46,6559
22;pomorskie;2213;starogardzki;2213031;Starogard Gdański;;47272;23192;22047;49,0608;46,6386
14;mazowieckie;1406;grójecki;1406083;gm.m-w. Nowe Miasto nad Pilicą;Radomski;7615;3740;3551;49,1136;46,6316
30;wielkopolskie;3006;jarociński;3006043;gm.m-w. Żerków;Kaliski;10213;5000;4762;48,9572;46,6268
18;podkarpackie;1863;Rzeszów;1863011;Rzeszów;;196638;94886;91676;48,2542;46,6217
10;łódzkie;1010;piotrkowski;1010072;gm.w Ręczno;Piotrkowski;3492;1702;1628;48,74;46,6208
10;łódzkie;1007;opoczyński;1007043;gm.m-w. Opoczno;;33777;16564;15746;49,0393;46,6175
28;warmińsko-mazurskie;2810;mrągowski;2810011;Mrągowo;Olsztyński;21302;10383;9930;48,7419;46,6153
26;świętokrzyskie;2602;jędrzejowski;2602033;gm.m-w. Małogoszcz;Kielecki;11495;5587;5358;48,6037;46,6116
2;dolnośląskie;202;dzierżoniowski;202021;Dzierżoniów;;32869;15973;15320;48,5959;46,6093
14;mazowieckie;1406;grójecki;1406092;gm.w Pniewy;Radomski;4788;2344;2231;48,9557;46,5957
8;lubuskie;804;nowosolski;804082;gm.w Siedlisko;Zielonogórski;3554;1750;1656;49,2403;46,5954
12;małopolskie;1209;myślenicki;1209073;gm.m-w. Sułkowice;Krakowski;15061;7285;7015;48,37;46,5773
2;dolnośląskie;214;oleśnicki;214032;gm.w Dobroszyce;Wrocławski;6886;3333;3207;48,4026;46,5728
20;podlaskie;2061;Białystok;2061011;Białystok;;296958;143585;138232;48,352;46,5493
14;mazowieckie;1419;płocki;1419153;gm.m-w. Wyszogród;Płocki;5532;2657;2575;48,0296;46,5474
4;kujawsko-pomorskie;403;bydgoski;403022;gm.w Dąbrowa Chełmińska;Bydgoski;8415;4076;3916;48,4373;46,5359
4;kujawsko-pomorskie;415;toruński;415072;gm.w Obrowo;Toruński;18299;8840;8513;48,3087;46,5217
30;wielkopolskie;3010;koniński;3010073;gm.m-w. Rychwał;Koniński;8203;3972;3815;48,4213;46,5074
4;kujawsko-pomorskie;412;rypiński;412032;gm.w Rogowo;Włocławski;4770;2295;2218;48,1132;46,499
8;lubuskie;803;międzyrzecki;803042;gm.w Pszczew;Gorzowski;4287;2100;1993;48,9853;46,4894
30;wielkopolskie;3024;szamotulski;3024042;gm.w Obrzycko;Poznański;4498;2197;2091;48,8439;46,4873
4;kujawsko-pomorskie;406;grudziądzki;406033;gm.m-w. Łasin;Toruński;7778;3772;3615;48,4958;46,4772
16;opolskie;1604;kluczborski;1604023;gm.m-w. Kluczbork;;35724;17293;16599;48,4072;46,4646
24;śląskie;2406;kłobucki;2406042;gm.w Miedźno;Częstochowski;7518;3665;3493;48,7497;46,4618
10;łódzkie;1006;łódzki wschodni;1006032;gm.w Brójce;Łódzki;6761;3233;3141;47,8184;46,4576
14;mazowieckie;1402;ciechanowski;1402072;gm.w Opinogóra Górna;Ciechanowski;5937;2896;2758;48,7788;46,4544
30;wielkopolskie;3028;wągrowiecki;3028033;gm.m-w. Gołańcz;Pilski;8185;4004;3802;48,9188;46,4508
26;świętokrzyskie;2612;staszowski;2612033;gm.m-w. Oleśnica;Kielecki;3843;1892;1785;49,2324;46,4481
2;dolnośląskie;220;trzebnicki;220063;gm.m-w. Żmigród;Wrocławski;14608;7039;6783;48,1859;46,4335
14;mazowieckie;1419;płocki;1419063;gm.m-w. Gąbin;Płocki;10969;5337;5093;48,6553;46,4309
10;łódzkie;1020;zgierski;1020021;Ozorków;Łódzki;19128;9254;8879;48,3793;46,4189
10;łódzkie;1007;opoczyński;1007023;gm.m-w. Drzewica;Radomski;10384;5028;4819;48,4206;46,4079
14;mazowieckie;1428;sochaczewski;1428022;gm.w Brochów;Warszawski;4375;2145;2030;49,0286;46,4
24;śląskie;2415;wodzisławski;2415041;Wodzisław Śląski;;47576;22736;22072;47,7888;46,3931
10;łódzkie;1018;wieruszowski;1018062;gm.w Sokolniki;Kaliski;5055;2438;2345;48,2295;46,3897
30;wielkopolskie;3028;wągrowiecki;3028042;gm.w Mieścisko;Poznański;5909;2911;2740;49,2638;46,3699
30;wielkopolskie;3008;kępiński;3008022;gm.w Bralin;Kaliski;6084;2917;2821;47,9454;46,3675
32;zachodniopomorskie;3201;białogardzki;3201011;Białogard;Koszaliński;23950;11516;11100;48,0835;46,3466
32;zachodniopomorskie;3203;drawski;3203033;gm.m-w. Kalisz Pomorski;Koszaliński;7330;3554;3397;48,4857;46,3438
30;wielkopolskie;3006;jarociński;3006013;gm.m-w. Jaraczewo;Kaliski;8021;3863;3717;48,1611;46,3409
22;pomorskie;2204;gdański;2204022;gm.w Cedry Wielkie;Gdański;6986;3351;3237;47,9674;46,3355
30;wielkopolskie;3031;złotowski;3031053;gm.m-w. Okonek;Pilski;8441;4060;3911;48,0986;46,3334
4;kujawsko-pomorskie;404;chełmiński;404042;gm.w Lisewo;Toruński;5181;2556;2400;49,3341;46,3231
22;pomorskie;2213;starogardzki;2213021;Skórcz;Gdański;3603;1753;1669;48,6539;46,3225
22;pomorskie;2207;kwidzyński;2207011;Kwidzyn;;38329;18480;17754;48,2141;46,32
8;lubuskie;804;nowosolski;804023;gm.m-w. Bytom Odrzański;Zielonogórski;5376;2596;2490;48,2887;46,317
32;zachodniopomorskie;3212;pyrzycki;3212053;gm.m-w. Pyrzyce;Szczeciński;19227;9316;8903;48,4527;46,3047
10;łódzkie;1002;kutnowski;1002062;gm.w Kutno;Płocki;8753;4235;4053;48,3834;46,3041
8;lubuskie;806;strzelecko-drezdenecki;806052;gm.w Zwierzyn;Gorzowski;4307;2099;1994;48,7346;46,2967
26;świętokrzyskie;2604;kielecki;2604123;gm.m-w. Morawica;Kielecki;16912;8277;7828;48,9416;46,2867
8;lubuskie;809;zielonogórski;809043;gm.m-w. Kargowa;Zielonogórski;5815;2814;2691;48,3921;46,2769
22;pomorskie;2204;gdański;2204082;gm.w Trąbki Wielkie;Gdański;11242;5479;5201;48,7369;46,264
8;lubuskie;801;gorzowski;801032;gm.w Deszczno;Gorzowski;10140;4917;4691;48,4911;46,2623
16;opolskie;1608;oleski;1608043;gm.m-w. Praszka;Częstochowski;13374;6413;6187;47,9512;46,2614
10;łódzkie;1017;wieluński;1017022;gm.w Czarnożyły;Sieradzki;4489;2154;2076;47,984;46,2464
28;warmińsko-mazurskie;2803;działdowski;2803062;gm.w Rybno;Ciechanowski;7160;3466;3310;48,4078;46,2291
32;zachodniopomorskie;3208;kołobrzeski;3208062;gm.w Siemyśl;Koszaliński;3875;1860;1791;48;46,2194
2;dolnośląskie;212;lwówecki;212033;gm.m-w. Lwówek Śląski;Jeleniogórski;17186;8267;7941;48,1031;46,2062
30;wielkopolskie;3007;kaliski;3007093;gm.m-w. Stawiszyn;Kaliski;7074;3446;3268;48,7136;46,1973
32;zachodniopomorskie;3216;świdwiński;3216033;gm.m-w. Połczyn-Zdrój;Koszaliński;14998;7227;6928;48,1864;46,1928
4;kujawsko-pomorskie;406;grudziądzki;406062;gm.w Świecie nad Osą;Toruński;4151;2068;1917;49,8193;46,1816
10;łódzkie;1021;brzeziński;1021032;gm.w Dmosin;Skierniewicki;4446;2155;2053;48,4705;46,1763
