wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2611;2480;68,6924;65,246
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1197619;1149826;66,7507;64,0869
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;350772;336115;65,9286;63,1738
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14451;13715;65,7731;62,4232
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;12767;11896;66,9095;62,3447
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;412936;396996;64,3275;61,8443
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;11804;11335;64,2884;61,7341
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;15712;14987;63,8154;60,8708
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;492699;473311;63,1693;60,6835
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;54224;51811;62,8925;60,0937
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;5980;5752;62,4543;60,0731
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;294317;282428;62,5136;59,9883
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11543;11088;62,3541;59,8963
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;18589;17673;62,4483;59,3711
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17100;16413;61,7217;59,242
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2336;2139;64,5839;59,1374
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3398;3251;61,7931;59,1198
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;13855;13256;61,4167;58,7615
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;19728;18776;61,6211;58,6475
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;779;756;60,3876;58,6047
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;14602;13882;61,5702;58,5343
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;17604;16776;60,8966;58,0324
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21200;20380;60,0805;57,7566
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;37920;36019;60,5528;57,5172
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;147437;140823;60,186;57,486
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6363;6058;60,2557;57,3674
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;12985;12374;60,0879;57,2605
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1435;1362;60,1677;57,1069
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6332;5972;60,5122;57,0719
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;31943;30529;59,6742;57,0326
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14072;13509;59,4006;57,0241
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;31251;29766;59,8609;57,0164
4;kujawsko-pomorskie;403;bydgoski;403062;gm.w Osielsko;Bydgoski;15347;9002;8734;58,6564;56,9101
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;16071;15256;59,9396;56,8999
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;16459;15781;59,2477;56,8071
24;śląskie;2401;będziński;2401042;gm.w Bobrowniki;Katowicki;12122;7136;6859;58,8682;56,5831
24;śląskie;2469;Katowice;2469011;Katowice;;290553;170950;164260;58,8361;56,5336
30;wielkopolskie;3021;poznański;3021052;gm.w Dopiewo;Poznański;29328;17225;16509;58,7323;56,2909
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;11439;10861;59,1897;56,1989
4;kujawsko-pomorskie;401;aleksandrowski;401021;Ciechocinek;Włocławski;10534;6121;5917;58,1071;56,1705
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;13037;12427;58,8472;56,0937
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;8967;8479;59,286;56,0595
10;łódzkie;1061;Łódź;1061011;Łódź;;672185;393079;376365;58,4778;55,9913
12;małopolskie;1206;krakowski;1206082;gm.w Michałowice;Krakowski;10909;6387;6074;58,548;55,6788
24;śląskie;2401;będziński;2401062;gm.w Psary;Katowicki;12268;7121;6822;58,0453;55,6081
14;mazowieckie;1408;legionowski;1408022;gm.w Jabłonna;Warszawski;20096;11662;11153;58,0314;55,4986
14;mazowieckie;1421;pruszkowski;1421052;gm.w Nadarzyn;Warszawski;14353;8411;7960;58,601;55,4588
14;mazowieckie;1432;warszawski zachodni;1432072;gm.w Stare Babice;Warszawski;19605;11411;10851;58,2045;55,3481
12;małopolskie;1206;krakowski;1206152;gm.w Wielka Wieś;Krakowski;13162;7618;7284;57,8787;55,3411
14;mazowieckie;1412;miński;1412151;Sulejówek;Warszawski;19951;11510;11034;57,6913;55,3055
12;małopolskie;1213;oświęcimski;1213082;gm.w Przeciszów;Bielski;6739;3879;3721;57,5605;55,2159
14;mazowieckie;1417;otwocki;1417011;Józefów;Warszawski;20741;12013;11440;57,9191;55,1565
14;mazowieckie;1405;grodziski;1405011;Milanówek;Warszawski;16478;9555;9085;57,9864;55,1341
10;łódzkie;1002;kutnowski;1002011;Kutno;;43332;25077;23883;57,8718;55,1163
32;zachodniopomorskie;3205;gryficki;3205072;gm.w Rewal;Szczeciński;3852;2244;2123;58,2555;55,1142
14;mazowieckie;1408;legionowski;1408032;gm.w Nieporęt;Warszawski;14841;8633;8175;58,1699;55,0839
30;wielkopolskie;3024;szamotulski;3024073;gm.m-w. Szamotuły;;30188;17478;16602;57,8972;54,9954
14;mazowieckie;1434;wołomiński;1434041;Zielonka;Warszawski;17486;10050;9609;57,4746;54,9525
30;wielkopolskie;3021;poznański;3021072;gm.w Komorniki;;31474;18169;17295;57,727;54,9501
4;kujawsko-pomorskie;463;Toruń;463011;Toruń;;198613;113160;108995;56,9751;54,8781
4;kujawsko-pomorskie;461;Bydgoszcz;461011;Bydgoszcz;;344091;195798;188651;56,903;54,8259
22;pomorskie;2208;lęborski;2208021;Łeba;Słupski;3541;2002;1940;56,5377;54,7868
14;mazowieckie;1414;nowodworski;1414011;Nowy Dwór Mazowiecki;Warszawski;28691;16477;15699;57,4292;54,7175
12;małopolskie;1206;krakowski;1206103;gm.m-w. Skała;Krakowski;10553;6027;5773;57,1117;54,7048
32;zachodniopomorskie;3207;kamieński;3207013;gm.m-w. Dziwnów;Szczeciński;3939;2263;2153;57,4511;54,6585
14;mazowieckie;1432;warszawski zachodni;1432063;gm.m-w. Ożarów Mazowiecki;Warszawski;26151;15040;14236;57,5121;54,4377
24;śląskie;2475;Sosnowiec;2475011;Sosnowiec;;197586;111879;107551;56,6229;54,4325
30;wielkopolskie;3001;chodzieski;3001011;Chodzież;Pilski;18229;10426;9918;57,1946;54,4078
24;śląskie;2401;będziński;2401031;Wojkowice;Katowicki;8877;5053;4824;56,9224;54,3427
14;mazowieckie;1432;warszawski zachodni;1432042;gm.w Leszno;Warszawski;10165;5776;5512;56,8224;54,2253
2;dolnośląskie;223;wrocławski;223022;gm.w Długołęka;;35144;19890;19048;56,5957;54,1999
30;wielkopolskie;3023;słupecki;3023011;Słupca;Koniński;13564;7675;7324;56,5836;53,9959
22;pomorskie;2204;gdański;2204011;Pruszcz Gdański;;31578;17989;17044;56,9669;53,9743
12;małopolskie;1206;krakowski;1206162;gm.w Zabierzów;Krakowski;27065;15204;14605;56,1759;53,9627
8;lubuskie;862;Zielona Góra;862011;Zielona Góra;;140892;79045;75976;56,1033;53,925
32;zachodniopomorskie;3211;policki;3211012;gm.w Dobra (Szczecińska);Szczeciński;25061;14128;13512;56,3744;53,9164
30;wielkopolskie;3021;poznański;3021103;gm.m-w. Mosina;;33767;19067;18195;56,4664;53,884
10;łódzkie;1005;łowicki;1005011;Łowicz;Skierniewicki;27896;15746;15027;56,4454;53,8679
14;mazowieckie;1417;otwocki;1417043;gm.m-w. Karczew;Warszawski;15930;9127;8574;57,2944;53,823
10;łódzkie;1004;łęczycki;1004011;Łęczyca;Płocki;13786;7780;7413;56,4341;53,7719
22;pomorskie;2212;słupski;2212011;Ustka;Słupski;15199;8586;8172;56,4906;53,7667
32;zachodniopomorskie;3262;Szczecin;3262011;Szczecin;;398255;223415;214122;56,0985;53,7651
30;wielkopolskie;3021;poznański;3021123;gm.m-w. Pobiedziska;Poznański;19943;11407;10708;57,198;53,693
2;dolnośląskie;221;wałbrzyski;221031;Szczawno-Zdrój;Wałbrzyski;5534;3089;2971;55,8186;53,6863
2;dolnośląskie;223;wrocławski;223083;gm.m-w. Siechnice;Wrocławski;24142;13573;12960;56,2215;53,6824
24;śląskie;2401;będziński;2401021;Czeladź;;31039;17444;16657;56,2003;53,6647
24;śląskie;2408;mikołowski;2408021;Mikołów;;41003;22877;21989;55,7935;53,6278
10;łódzkie;1063;Skierniewice;1063011;Skierniewice;;47655;26683;25542;55,992;53,5977
12;małopolskie;1206;krakowski;1206092;gm.w Mogilany;Krakowski;14423;8036;7728;55,7166;53,5811
30;wielkopolskie;3021;poznański;3021033;gm.m-w. Buk;Poznański;12673;7372;6787;58,1709;53,5548
10;łódzkie;1020;zgierski;1020031;Zgierz;;55673;31360;29804;56,3289;53,534
30;wielkopolskie;3021;poznański;3021083;gm.m-w. Kostrzyn;Poznański;18764;10664;10036;56,8322;53,4854
12;małopolskie;1213;oświęcimski;1213011;Oświęcim;;37569;20876;20091;55,5671;53,4776
4;kujawsko-pomorskie;407;inowrocławski;407011;Inowrocław;;71674;39796;38311;55,5236;53,4517
30;wielkopolskie;3021;poznański;3021093;gm.m-w. Kórnik;;30909;17365;16516;56,181;53,4343
14;mazowieckie;1414;nowodworski;1414052;gm.w Pomiechówek;Warszawski;9086;5056;4849;55,646;53,3678
14;mazowieckie;1418;piaseczyński;1418013;gm.m-w. Góra Kalwaria;Warszawski;27044;15043;14404;55,6242;53,2614
12;małopolskie;1208;miechowski;1208042;gm.w Książ Wielki;Kielecki;5030;2840;2675;56,4612;53,1809
14;mazowieckie;1418;piaseczyński;1418052;gm.w Prażmów;Warszawski;11363;6358;6042;55,9535;53,1726
24;śląskie;2416;zawierciański;2416011;Poręba;Katowicki;8461;4679;4498;55,3008;53,1616
30;wielkopolskie;3025;średzki;3025043;gm.m-w. Środa Wielkopolska;;32874;18604;17472;56,5918;53,1484
30;wielkopolskie;3021;poznański;3021113;gm.m-w. Murowana Goślina;Poznański;16942;9471;9004;55,9025;53,146
16;opolskie;1661;Opole;1661011;Opole;;127839;70675;67935;55,2844;53,1411
30;wielkopolskie;3024;szamotulski;3024053;gm.m-w. Ostroróg;Poznański;4931;2740;2620;55,5668;53,1332
4;kujawsko-pomorskie;418;włocławski;418011;Kowal;Włocławski;3468;1921;1842;55,3922;53,1142
22;pomorskie;2211;pucki;2211031;Puck;Gdański;11139;6180;5909;55,4807;53,0478
24;śląskie;2465;Dąbrowa Górnicza;2465011;Dąbrowa Górnicza;;118285;65446;62670;55,3291;52,9822
14;mazowieckie;1417;otwocki;1417021;Otwock;;44317;24757;23419;55,8634;52,8443
24;śląskie;2401;będziński;2401011;Będzin;;56008;30942;29566;55,2457;52,7889
28;warmińsko-mazurskie;2862;Olsztyn;2862011;Olsztyn;;171249;94487;90382;55,1752;52,7781
4;kujawsko-pomorskie;403;bydgoski;403083;gm.m-w. Solec Kujawski;Bydgoski;16777;9204;8852;54,8608;52,7627
30;wielkopolskie;3024;szamotulski;3024032;gm.w Kaźmierz;Poznański;8840;4908;4662;55,5204;52,7376
12;małopolskie;1215;suski;1215021;Sucha Beskidzka;Bielski;9044;4969;4767;54,9425;52,709
14;mazowieckie;1412;miński;1412011;Mińsk Mazowiecki;;40916;22885;21561;55,9317;52,6958
4;kujawsko-pomorskie;401;aleksandrowski;401011;Aleksandrów Kujawski;Włocławski;12058;6647;6354;55,1252;52,6953
32;zachodniopomorskie;3208;kołobrzeski;3208011;Kołobrzeg;;46198;25410;24332;55,0024;52,6689
24;śląskie;2466;Gliwice;2466011;Gliwice;;177049;96817;93221;54,6837;52,6527
22;pomorskie;2204;gdański;2204032;gm.w Kolbudy;Gdański;18165;10160;9562;55,9317;52,6397
2;dolnośląskie;223;wrocławski;223012;gm.w Czernica;Wrocławski;17638;9659;9279;54,7624;52,608
24;śląskie;2405;gliwicki;2405032;gm.w Gierałtowice;Katowicki;12252;6717;6440;54,8237;52,5628
14;mazowieckie;1462;Płock;1462011;Płock;;118268;64538;62095;54,5693;52,5036
4;kujawsko-pomorskie;403;bydgoski;403012;gm.w Białe Błota;Bydgoski;23206;12704;12180;54,7445;52,4864
14;mazowieckie;1408;legionowski;1408043;gm.m-w. Serock;Warszawski;15363;8455;8061;55,0348;52,4702
12;małopolskie;1203;chrzanowski;1203033;gm.m-w. Chrzanów;;46321;25069;24233;54,1202;52,3154
24;śląskie;2401;będziński;2401073;gm.m-w. Siewierz;Katowicki;12387;6770;6477;54,6541;52,2887
24;śląskie;2477;Tychy;2477011;Tychy;;126871;69494;66313;54,7753;52,2681
24;śląskie;2401;będziński;2401052;gm.w Mierzęcice;Katowicki;7623;4151;3980;54,4536;52,2104
28;warmińsko-mazurskie;2803;działdowski;2803011;Działdowo;Ciechanowski;21145;11538;11034;54,5661;52,1825
24;śląskie;2474;Siemianowice Śląskie;2474011;Siemianowice Śląskie;;66270;35944;34577;54,2387;52,1759
4;kujawsko-pomorskie;411;radziejowski;411022;gm.w Bytoń;Włocławski;3411;1897;1779;55,6142;52,1548
2;dolnośląskie;206;karkonoski;206011;Karpacz;Jeleniogórski;4487;2450;2338;54,6022;52,1061
14;mazowieckie;1405;grodziski;1405043;gm.m-w. Grodzisk Mazowiecki;;49948;27275;26016;54,6068;52,0862
10;łódzkie;1014;sieradzki;1014011;Sieradz;;41390;22437;21553;54,2087;52,073
10;łódzkie;1020;zgierski;1020011;Głowno;Łódzki;13961;7942;7266;56,887;52,045
24;śląskie;2413;tarnogórski;2413072;gm.w Świerklaniec;Katowicki;12505;6773;6507;54,1623;52,0352
12;małopolskie;1213;oświęcimski;1213062;gm.w Oświęcim;Bielski;18629;10239;9680;54,9627;51,962
14;mazowieckie;1434;wołomiński;1434031;Ząbki;;38546;21041;20025;54,5867;51,9509
30;wielkopolskie;3021;poznański;3021062;gm.w Kleszczewo;Poznański;9343;5234;4849;56,0206;51,8998
26;świętokrzyskie;2609;sandomierski;2609093;gm.m-w. Zawichost;Tarnobrzeski;4328;2365;2246;54,6442;51,8946
30;wielkopolskie;3003;gnieźnieński;3003011;Gniezno;;67570;36822;35060;54,4946;51,8869
2;dolnośląskie;223;wrocławski;223043;gm.m-w. Kąty Wrocławskie;Wrocławski;26032;14264;13501;54,7941;51,8631
22;pomorskie;2211;pucki;2211043;gm.m-w. Władysławowo;Gdański;15293;8331;7925;54,4759;51,8211
26;świętokrzyskie;2661;Kielce;2661011;Kielce;;193415;104966;100229;54,2698;51,8207
22;pomorskie;2211;pucki;2211052;gm.w Kosakowo;Gdański;16419;8916;8504;54,3029;51,7937
