wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2624;2496;69,0345;65,6669
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1202350;1156240;67,0144;64,4444
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;352374;338391;66,2297;63,6016
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;12847;11995;67,3288;62,8636
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14561;13802;66,2737;62,8192
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;414676;399285;64,5985;62,2009
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;11854;11391;64,5608;62,0391
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;15777;15072;64,0794;61,216
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;494729;476235;63,4296;61,0584
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;54442;52155;63,1453;60,4927
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6005;5781;62,7154;60,376
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;295682;284172;62,8035;60,3587
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11569;11135;62,4946;60,1502
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;18697;17786;62,8112;59,7507
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2352;2161;65,0263;59,7456
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3411;3281;62,0295;59,6654
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17167;16500;61,9635;59,556
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;14742;14067;62,1606;59,3144
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;13910;13325;61,6605;59,0673
