wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaczepionych;%_zaszczepionych_pe�n�_dawk�
4;kujawsko-pomorskie;419;żniński;419022;gm.w Gąsawa;Bydgoski;5215;2639;2529;50,604;48,4947
24;śląskie;2462;Bytom;2462011;Bytom;;163255;81560;79167;49,9587;48,4928
26;świętokrzyskie;2607;ostrowiecki;2607011;Ostrowiec Świętokrzyski;;67404;33731;32685;50,043;48,4912
6;lubelskie;618;tomaszowski;618011;Tomaszów Lubelski;Zamojski;18783;9420;9108;50,1517;48,4907
30;wielkopolskie;3008;kępiński;3008072;gm.w Trzcinica;Kaliski;4934;2440;2392;49,4528;48,4799
2;dolnośląskie;225;zgorzelecki;225011;Zawidów;Jeleniogórski;4132;2052;2003;49,6612;48,4753
28;warmińsko-mazurskie;2815;ostródzki;2815022;gm.w Dąbrówno;Olsztyński;4235;2145;2052;50,6494;48,4534
2;dolnośląskie;221;wałbrzyski;221072;gm.w Stare Bogaczowice;Wałbrzyski;4265;2126;2066;49,8476;48,4408
10;łódzkie;1003;łaski;1003023;gm.m-w. Łask;Sieradzki;27530;13688;13331;49,7203;48,4235
10;łódzkie;1015;skierniewicki;1015012;gm.w Bolimów;Skierniewicki;4026;1989;1949;49,4039;48,4103
14;mazowieckie;1424;pułtuski;1424043;gm.m-w. Pułtusk;Ciechanowski;24619;12376;11917;50,2701;48,4057
24;śląskie;2402;bielski;2402052;gm.w Jasienica;Bielski;24681;12400;11938;50,2411;48,3692
2;dolnośląskie;218;średzki;218043;gm.m-w. Środa Śląska;Wrocławski;19889;10012;9619;50,3394;48,3634
26;świętokrzyskie;2604;kielecki;2604172;gm.w Nowiny;Kielecki;7919;3960;3828;50,0063;48,3394
10;łódzkie;1010;piotrkowski;1010072;gm.w Ręczno;Piotrkowski;3492;1727;1688;49,4559;48,3391
12;małopolskie;1218;wadowicki;1218033;gm.m-w. Kalwaria Zebrzydowska;Bielski;20022;9930;9676;49,5954;48,3268
4;kujawsko-pomorskie;405;golubsko-dobrzyński;405043;gm.m-w. Kowalewo Pomorskie;Toruński;11416;5683;5515;49,781;48,3094
10;łódzkie;1006;łódzki wschodni;1006113;gm.m-w. Tuszyn;Piotrkowski;12453;6223;6014;49,9719;48,2936
4;kujawsko-pomorskie;401;aleksandrowski;401052;gm.w Bądkowo;Włocławski;4187;2100;2022;50,1552;48,2923
2;dolnośląskie;226;złotoryjski;226011;Wojcieszów;Jeleniogórski;3572;1791;1725;50,14;48,2923
26;świętokrzyskie;2608;pińczowski;2608052;gm.w Złota;Kielecki;4436;2255;2142;50,8341;48,2867
14;mazowieckie;1414;nowodworski;1414043;gm.m-w. Nasielsk;Ciechanowski;19943;9972;9628;50,0025;48,2776
2;dolnośląskie;224;ząbkowicki;224053;gm.m-w. Ząbkowice Śląskie;Wałbrzyski;21405;10687;10332;49,9276;48,2691
16;opolskie;1603;kędzierzyńsko-kozielski;1603011;Kędzierzyn-Koźle;;60021;29891;28971;49,8009;48,2681
2;dolnośląskie;223;wrocławski;223073;gm.m-w. Sobótka;Wrocławski;12872;6453;6213;50,1321;48,2676
24;śląskie;2402;bielski;2402011;Szczyrk;Bielski;5710;2852;2756;49,9475;48,2662
2;dolnośląskie;209;legnicki;209011;Chojnów;Legnicki;13236;6533;6387;49,3578;48,2548
24;śląskie;2412;rybnicki;2412032;gm.w Jejkowice;Katowicki;4185;2070;2019;49,4624;48,2437
26;świętokrzyskie;2606;opatowski;2606043;gm.m-w. Opatów;Tarnobrzeski;11532;5730;5563;49,6878;48,2397
30;wielkopolskie;3020;pleszewski;3020052;gm.w Gołuchów;Kaliski;10807;5360;5213;49,5975;48,2373
10;łódzkie;1017;wieluński;1017102;gm.w Wierzchlas;Sieradzki;6604;3259;3185;49,3489;48,2283
6;lubelskie;619;włodawski;619042;gm.w Stary Brus;Chełmski;2070;1028;998;49,6618;48,2126
14;mazowieckie;1428;sochaczewski;1428022;gm.w Brochów;Warszawski;4375;2188;2109;50,0114;48,2057
2;dolnośląskie;208;kłodzki;208031;Kudowa-Zdrój;Wałbrzyski;9772;4854;4710;49,6725;48,1989
6;lubelskie;617;świdnicki;617011;Świdnik;;38763;19309;18682;49,813;48,1954
28;warmińsko-mazurskie;2802;braniewski;2802033;gm.m-w. Frombork;Elbląski;3515;1743;1694;49,5875;48,1935
2;dolnośląskie;205;jaworski;205011;Jawor;Legnicki;22462;11149;10825;49,6349;48,1925
18;podkarpackie;1810;łańcucki;1810011;Łańcut;Rzeszowski;17675;8806;8518;49,8218;48,1924
10;łódzkie;1002;kutnowski;1002022;gm.w Bedlno;Płocki;5263;2768;2536;52,5936;48,1854
30;wielkopolskie;3001;chodzieski;3001053;gm.m-w. Szamocin;Pilski;7513;3734;3620;49,7005;48,1831
24;śląskie;2412;rybnicki;2412022;gm.w Gaszowice;Katowicki;9856;4854;4748;49,2492;48,1737
28;warmińsko-mazurskie;2814;olsztyński;2814093;gm.m-w. Olsztynek;Olsztyński;13630;6776;6566;49,7139;48,1731
12;małopolskie;1218;wadowicki;1218082;gm.w Tomice;Bielski;8223;4115;3961;50,0426;48,1698
28;warmińsko-mazurskie;2814;olsztyński;2814013;gm.m-w. Barczewo;Olsztyński;18142;9039;8738;49,8236;48,1645
2;dolnośląskie;202;dzierżoniowski;202021;Dzierżoniów;;32869;16336;15828;49,7003;48,1548
24;śląskie;2413;tarnogórski;2413011;Kalety;Częstochowski;8548;4269;4116;49,9415;48,1516
24;śląskie;2407;lubliniecki;2407011;Lubliniec;Częstochowski;23551;11733;11335;49,8195;48,1296
2;dolnośląskie;206;karkonoski;206031;Piechowice;Jeleniogórski;6082;3019;2927;49,6383;48,1256
30;wielkopolskie;3010;koniński;3010123;gm.m-w. Ślesin;Koniński;14051;6971;6761;49,6121;48,1176
10;łódzkie;1019;zduńskowolski;1019011;Zduńska Wola;;41288;20571;19864;49,8232;48,1108
30;wielkopolskie;3015;nowotomyski;3015012;gm.w Kuślin;Poznański;5467;2744;2630;50,1921;48,1068
30;wielkopolskie;3007;kaliski;3007093;gm.m-w. Stawiszyn;Kaliski;7074;3512;3403;49,6466;48,1057
22;pomorskie;2213;starogardzki;2213021;Skórcz;Gdański;3603;1793;1733;49,7641;48,0988
4;kujawsko-pomorskie;401;aleksandrowski;401031;Nieszawa;Włocławski;1834;924;882;50,3817;48,0916
30;wielkopolskie;3010;koniński;3010142;gm.w Wilczyn;Koniński;6182;3083;2973;49,8706;48,0912
4;kujawsko-pomorskie;401;aleksandrowski;401042;gm.w Aleksandrów Kujawski;Włocławski;12015;5984;5778;49,8044;48,0899
32;zachodniopomorskie;3208;kołobrzeski;3208033;gm.m-w. Gościno;Koszaliński;5133;2571;2468;50,0877;48,081
22;pomorskie;2204;gdański;2204082;gm.w Trąbki Wielkie;Gdański;11242;5600;5405;49,8132;48,0786
12;małopolskie;1263;Tarnów;1263011;Tarnów;;107498;53063;51679;49,3618;48,0744
4;kujawsko-pomorskie;411;radziejowski;411072;gm.w Topólka;Włocławski;4738;2369;2277;50;48,0583
2;dolnośląskie;219;świdnicki;219021;Świebodzice;Wałbrzyski;22642;11256;10881;49,7129;48,0567
30;wielkopolskie;3012;krotoszyński;3012043;gm.m-w. Krotoszyn;;40269;19936;19351;49,5071;48,0543
4;kujawsko-pomorskie;414;świecki;414072;gm.w Osie;Bydgoski;5511;2701;2647;49,0111;48,0312
4;kujawsko-pomorskie;418;włocławski;418113;gm.m-w. Lubień Kujawski;Włocławski;7233;3554;3474;49,1359;48,0299
16;opolskie;1606;namysłowski;1606023;gm.m-w. Namysłów;Opolski;26210;12955;12588;49,4277;48,0275
28;warmińsko-mazurskie;2803;działdowski;2803043;gm.m-w. Lidzbark;Ciechanowski;13923;6978;6686;50,1185;48,0213
2;dolnośląskie;208;kłodzki;208041;Nowa Ruda;Wałbrzyski;21643;10679;10392;49,3416;48,0155
10;łódzkie;1007;opoczyński;1007043;gm.m-w. Opoczno;;33777;16878;16211;49,9689;47,9942
22;pomorskie;2213;starogardzki;2213031;Starogard Gdański;;47272;23623;22684;49,9725;47,9861
26;świętokrzyskie;2602;jędrzejowski;2602072;gm.w Słupia;Kielecki;4278;2130;2052;49,7896;47,9663
30;wielkopolskie;3005;grodziski;3005053;gm.m-w. Wielichowo;Poznański;6935;3456;3326;49,8342;47,9596
26;świętokrzyskie;2602;jędrzejowski;2602033;gm.m-w. Małogoszcz;Kielecki;11495;5727;5509;49,8217;47,9252
8;lubuskie;806;strzelecko-drezdenecki;806052;gm.w Zwierzyn;Gorzowski;4307;2150;2064;49,9187;47,922
30;wielkopolskie;3020;pleszewski;3020033;gm.m-w. Dobrzyca;Kaliski;8093;4042;3878;49,9444;47,918
24;śląskie;2412;rybnicki;2412013;gm.m-w. Czerwionka-Leszczyny;;41909;20541;20072;49,0133;47,8942
2;dolnośląskie;214;oleśnicki;214073;gm.m-w. Syców;Kaliski;16819;8296;8055;49,3252;47,8923
10;łódzkie;1019;zduńskowolski;1019023;gm.m-w. Szadek;Sieradzki;7287;3644;3489;50,0069;47,8798
14;mazowieckie;1402;ciechanowski;1402072;gm.w Opinogóra Górna;Ciechanowski;5937;2958;2842;49,8231;47,8693
10;łódzkie;1002;kutnowski;1002102;gm.w Strzelce;Płocki;3892;1956;1863;50,2569;47,8674
4;kujawsko-pomorskie;403;bydgoski;403022;gm.w Dąbrowa Chełmińska;Bydgoski;8415;4162;4026;49,4593;47,8431
20;podlaskie;2005;hajnowski;2005022;gm.w Białowieża;Białostocki;2130;1072;1019;50,3286;47,8404
14;mazowieckie;1406;grójecki;1406083;gm.m-w. Nowe Miasto nad Pilicą;Radomski;7615;3808;3643;50,0066;47,8398
8;lubuskie;811;żarski;811082;gm.w Trzebiel;Zielonogórski;5640;2775;2698;49,2021;47,8369
22;pomorskie;2209;malborski;2209082;gm.w Stare Pole;Elbląski;4706;2319;2251;49,2775;47,8326
28;warmińsko-mazurskie;2803;działdowski;2803062;gm.w Rybno;Ciechanowski;7160;3514;3424;49,0782;47,8212
24;śląskie;2403;cieszyński;2403113;gm.m-w. Strumień;Bielski;13256;6481;6338;48,8911;47,8123
12;małopolskie;1209;myślenicki;1209073;gm.m-w. Sułkowice;Krakowski;15061;7396;7201;49,107;47,8122
30;wielkopolskie;3010;koniński;3010073;gm.m-w. Rychwał;Koniński;8203;4042;3922;49,2747;47,8118
4;kujawsko-pomorskie;415;toruński;415072;gm.w Obrowo;Toruński;18299;9041;8747;49,4071;47,8004
24;śląskie;2404;częstochowski;2404122;gm.w Olsztyn;Częstochowski;7835;3845;3745;49,0747;47,7983
10;łódzkie;1020;zgierski;1020021;Ozorków;Łódzki;19128;9450;9139;49,404;47,7781
32;zachodniopomorskie;3206;gryfiński;3206053;gm.m-w. Mieszkowice;Szczeciński;7020;3502;3354;49,886;47,7778
2;dolnośląskie;224;ząbkowicki;224013;gm.m-w. Bardo;Wałbrzyski;5210;2568;2489;49,2898;47,7735
26;świętokrzyskie;2611;starachowicki;2611053;gm.m-w. Wąchock;Kielecki;6739;3348;3219;49,681;47,7667
24;śląskie;2417;żywiecki;2417122;gm.w Ślemień;Bielski;3534;1747;1688;49,4341;47,7646
24;śląskie;2479;Żory;2479011;Żory;;62844;30917;30016;49,1964;47,7627
32;zachodniopomorskie;3202;choszczeński;3202063;gm.m-w. Recz;Gorzowski;5450;2708;2603;49,6881;47,7615
4;kujawsko-pomorskie;413;sępoleński;413043;gm.m-w. Więcbork;Bydgoski;13309;6479;6352;48,6813;47,7271
2;dolnośląskie;226;złotoryjski;226032;gm.w Pielgrzymka;Legnicki;4509;2214;2152;49,1018;47,7268
8;lubuskie;803;międzyrzecki;803042;gm.w Pszczew;Gorzowski;4287;2132;2046;49,7317;47,7257
30;wielkopolskie;3028;wągrowiecki;3028042;gm.w Mieścisko;Poznański;5909;2949;2819;49,9069;47,7069
26;świętokrzyskie;2604;kielecki;2604123;gm.m-w. Morawica;Kielecki;16912;8392;8067;49,6216;47,6999
10;łódzkie;1021;brzeziński;1021011;Brzeziny;Skierniewicki;12365;6054;5897;48,9608;47,6911
24;śląskie;2402;bielski;2402032;gm.w Buczkowice;Bielski;11226;5558;5353;49,5101;47,6839
30;wielkopolskie;3019;pilski;3019022;gm.w Białośliwie;Pilski;4809;2355;2293;48,9707;47,6814
32;zachodniopomorskie;3209;koszaliński;3209082;gm.w Świeszyno;Koszaliński;7626;3774;3636;49,4886;47,679
24;śląskie;2403;cieszyński;2403082;gm.w Hażlach;Bielski;10919;5360;5205;49,0887;47,6692
2;dolnośląskie;208;kłodzki;208011;Duszniki-Zdrój;Wałbrzyski;4422;2187;2107;49,4573;47,6481
2;dolnośląskie;214;oleśnicki;214032;gm.w Dobroszyce;Wrocławski;6886;3408;3281;49,4917;47,6474
8;lubuskie;811;żarski;811043;gm.m-w. Jasień;Zielonogórski;6962;3417;3317;49,0807;47,6444
30;wielkopolskie;3006;jarociński;3006013;gm.m-w. Jaraczewo;Kaliski;8021;3938;3821;49,0961;47,6375
10;łódzkie;1005;łowicki;1005022;gm.w Bielawy;Skierniewicki;5267;2625;2509;49,8386;47,6362
30;wielkopolskie;3023;słupecki;3023032;gm.w Orchowo;Koniński;3800;1897;1809;49,9211;47,6053
32;zachodniopomorskie;3212;pyrzycki;3212053;gm.m-w. Pyrzyce;Szczeciński;19227;9512;9153;49,4721;47,6049
32;zachodniopomorskie;3208;kołobrzeski;3208062;gm.w Siemyśl;Koszaliński;3875;1898;1844;48,9806;47,5871
30;wielkopolskie;3008;kępiński;3008022;gm.w Bralin;Kaliski;6084;2980;2895;48,9809;47,5838
10;łódzkie;1007;opoczyński;1007023;gm.m-w. Drzewica;Radomski;10384;5113;4941;49,2392;47,5828
8;lubuskie;801;gorzowski;801032;gm.w Deszczno;Gorzowski;10140;5022;4822;49,5266;47,5542
30;wielkopolskie;3031;złotowski;3031053;gm.m-w. Okonek;Pilski;8441;4128;4014;48,9042;47,5536
4;kujawsko-pomorskie;412;rypiński;412032;gm.w Rogowo;Włocławski;4770;2334;2267;48,9308;47,5262
32;zachodniopomorskie;3216;świdwiński;3216033;gm.m-w. Połczyn-Zdrój;Koszaliński;14998;7405;7127;49,3732;47,5197
14;mazowieckie;1403;garwoliński;1403132;gm.w Wilga;Siedlecki;5261;2585;2500;49,1351;47,5195
4;kujawsko-pomorskie;406;grudziądzki;406033;gm.m-w. Łasin;Toruński;7778;3820;3696;49,1129;47,5186
14;mazowieckie;1437;żuromiński;1437033;gm.m-w. Lubowidz;Ciechanowski;6796;3361;3229;49,4556;47,5132
4;kujawsko-pomorskie;416;tucholski;416052;gm.w Śliwice;Bydgoski;5595;2741;2658;48,9902;47,5067
14;mazowieckie;1406;grójecki;1406092;gm.w Pniewy;Radomski;4788;2366;2274;49,4152;47,4937
8;lubuskie;807;sulęciński;807023;gm.m-w. Lubniewice;Gorzowski;3148;1537;1495;48,8247;47,4905
20;podlaskie;2061;Białystok;2061011;Białystok;;296958;145752;140974;49,0817;47,4727
24;śląskie;2406;kłobucki;2406042;gm.w Miedźno;Częstochowski;7518;3717;3569;49,4413;47,4727
28;warmińsko-mazurskie;2814;olsztyński;2814052;gm.w Gietrzwałd;Olsztyński;6743;3315;3201;49,1621;47,4715
14;mazowieckie;1419;płocki;1419153;gm.m-w. Wyszogród;Płocki;5532;2697;2626;48,7527;47,4693
28;warmińsko-mazurskie;2810;mrągowski;2810011;Mrągowo;Olsztyński;21302;10566;10109;49,601;47,4556
16;opolskie;1607;nyski;1607082;gm.w Pakosławice;Opolski;3496;1702;1659;48,6842;47,4542
10;łódzkie;1006;łódzki wschodni;1006032;gm.w Brójce;Łódzki;6761;3325;3208;49,1791;47,4486
14;mazowieckie;1423;przysuski;1423072;gm.w Rusinów;Radomski;4232;2085;2008;49,2675;47,448
30;wielkopolskie;3024;szamotulski;3024042;gm.w Obrzycko;Poznański;4498;2231;2133;49,5998;47,4211
18;podkarpackie;1863;Rzeszów;1863011;Rzeszów;;196638;96181;93241;48,9127;47,4176
10;łódzkie;1002;kutnowski;1002062;gm.w Kutno;Płocki;8753;4284;4150;48,9432;47,4123
26;świętokrzyskie;2612;staszowski;2612033;gm.m-w. Oleśnica;Kielecki;3843;1913;1822;49,7788;47,4109
30;wielkopolskie;3023;słupecki;3023062;gm.w Słupca;Koniński;9313;4585;4415;49,2323;47,4069
14;mazowieckie;1419;płocki;1419063;gm.m-w. Gąbin;Płocki;10969;5453;5200;49,7128;47,4063
24;śląskie;2413;tarnogórski;2413052;gm.w Krupski Młyn;Katowicki;3177;1539;1506;48,4419;47,4032
8;lubuskie;805;słubicki;805033;gm.m-w. Ośno Lubuskie;Gorzowski;6358;3116;3013;49,0091;47,3891
16;opolskie;1608;oleski;1608043;gm.m-w. Praszka;Częstochowski;13374;6549;6337;48,9681;47,383
10;łódzkie;1007;opoczyński;1007062;gm.w Poświętne;Piotrkowski;3101;1516;1469;48,8875;47,3718
2;dolnośląskie;220;trzebnicki;220063;gm.m-w. Żmigród;Wrocławski;14608;7127;6920;48,7883;47,3713
14;mazowieckie;1419;płocki;1419042;gm.w Bulkowo;Płocki;5472;2684;2592;49,0497;47,3684
14;mazowieckie;1424;pułtuski;1424022;gm.w Obryte;Ostrołęcki;4782;2391;2265;50;47,3651
12;małopolskie;1215;suski;1215082;gm.w Zawoja;Bielski;9039;4453;4281;49,2643;47,3614
16;opolskie;1604;kluczborski;1604023;gm.m-w. Kluczbork;;35724;17522;16916;49,0483;47,3519
32;zachodniopomorskie;3206;gryfiński;3206033;gm.m-w. Chojna;Szczeciński;13616;6660;6447;48,913;47,3487
8;lubuskie;804;nowosolski;804023;gm.m-w. Bytom Odrzański;Zielonogórski;5376;2636;2545;49,0327;47,34
32;zachodniopomorskie;3203;drawski;3203033;gm.m-w. Kalisz Pomorski;Koszaliński;7330;3610;3470;49,2497;47,3397
22;pomorskie;2204;gdański;2204022;gm.w Cedry Wielkie;Gdański;6986;3414;3307;48,8692;47,3375
10;łódzkie;1012;radomszczański;1012053;gm.m-w. Kamieńsk;Piotrkowski;5839;2839;2764;48,6213;47,3369
2;dolnośląskie;206;karkonoski;206041;Szklarska Poręba;Jeleniogórski;6653;3274;3149;49,2109;47,332
8;lubuskie;806;strzelecko-drezdenecki;806032;gm.w Stare Kurowo;Gorzowski;4034;1967;1908;48,7605;47,298
24;śląskie;2404;częstochowski;2404102;gm.w Mstów;Częstochowski;10846;5280;5129;48,6815;47,2893
32;zachodniopomorskie;3201;białogardzki;3201011;Białogard;Koszaliński;23950;11702;11325;48,8601;47,286
32;zachodniopomorskie;3209;koszaliński;3209033;gm.m-w. Bobolice;Koszaliński;8857;4321;4188;48,7863;47,2846
2;dolnośląskie;212;lwówecki;212033;gm.m-w. Lwówek Śląski;Jeleniogórski;17186;8393;8126;48,8363;47,2827
2;dolnośląskie;203;głogowski;203062;gm.w Żukowice;Legnicki;3469;1696;1640;48,8902;47,2759
14;mazowieckie;1425;radomski;1425011;Pionki;Radomski;17902;8742;8463;48,8325;47,274
26;świętokrzyskie;2612;staszowski;2612012;gm.w Bogoria;Tarnobrzeski;7641;3721;3612;48,6978;47,2713
4;kujawsko-pomorskie;404;chełmiński;404042;gm.w Lisewo;Toruński;5181;2588;2449;49,9517;47,2689
24;śląskie;2404;częstochowski;2404052;gm.w Kłomnice;Częstochowski;13422;6529;6344;48,644;47,2657
22;pomorskie;2207;kwidzyński;2207011;Kwidzyn;;38329;18701;18111;48,7907;47,2514
32;zachodniopomorskie;3216;świdwiński;3216022;gm.w Brzeżno;Koszaliński;2781;1366;1314;49,119;47,2492
10;łódzkie;1009;pajęczański;1009013;gm.m-w. Działoszyn;Sieradzki;12346;5978;5833;48,4205;47,2461
4;kujawsko-pomorskie;405;golubsko-dobrzyński;405052;gm.w Radomin;Toruński;3801;1851;1795;48,6977;47,2244
8;lubuskie;809;zielonogórski;809043;gm.m-w. Kargowa;Zielonogórski;5815;2847;2746;48,9596;47,2227
10;łódzkie;1012;radomszczański;1012072;gm.w Kodrąb;Piotrkowski;4486;2180;2118;48,5956;47,2136
30;wielkopolskie;3009;kolski;3009032;gm.w Chodów;Koniński;2985;1454;1409;48,7102;47,2027
10;łódzkie;1017;wieluński;1017062;gm.w Ostrówek;Sieradzki;4473;2175;2111;48,6251;47,1943
8;lubuskie;805;słubicki;805022;gm.w Górzyca;Gorzowski;4289;2097;2024;48,8925;47,1905
10;łódzkie;1021;brzeziński;1021032;gm.w Dmosin;Skierniewicki;4446;2207;2098;49,6401;47,1885
14;mazowieckie;1413;mławski;1413042;gm.w Radzanów;Ciechanowski;3262;1625;1539;49,8161;47,1796
14;mazowieckie;1405;grodziski;1405032;gm.w Baranów;Skierniewicki;5371;2617;2534;48,7246;47,1793
10;łódzkie;1015;skierniewicki;1015052;gm.w Lipce Reymontowskie;Skierniewicki;3279;1595;1547;48,6429;47,179
32;zachodniopomorskie;3214;stargardzki;3214113;gm.m-w. Suchań;Szczeciński;4256;2074;2006;48,7312;47,1335
24;śląskie;2415;wodzisławski;2415041;Wodzisław Śląski;;47576;23004;22424;48,3521;47,133
10;łódzkie;1004;łęczycki;1004063;gm.m-w. Piątek;Płocki;5892;2965;2777;50,3225;47,1317
30;wielkopolskie;3019;pilski;3019083;gm.m-w. Wyrzysk;Pilski;13835;6727;6519;48,6231;47,1196
8;lubuskie;811;żarski;811072;gm.w Przewóz;Zielonogórski;3107;1525;1464;49,0827;47,1194
28;warmińsko-mazurskie;2806;giżycki;2806083;gm.m-w. Ryn;Suwalski;5640;2790;2657;49,4681;47,1099
14;mazowieckie;1438;żyrardowski;1438042;gm.w Radziejowice;Skierniewicki;5854;2874;2757;49,0946;47,096
10;łódzkie;1017;wieluński;1017022;gm.w Czarnożyły;Sieradzki;4489;2186;2114;48,6968;47,0929
14;mazowieckie;1407;kozienicki;1407053;gm.m-w. Kozienice;Radomski;29187;14171;13742;48,5524;47,0826
4;kujawsko-pomorskie;419;żniński;419033;gm.m-w. Janowiec Wielkopolski;Bydgoski;8883;4290;4181;48,2945;47,0674
10;łódzkie;1018;wieruszowski;1018062;gm.w Sokolniki;Kaliski;5055;2471;2379;48,8823;47,0623
10;łódzkie;1003;łaski;1003052;gm.w Wodzierady;Sieradzki;3496;1688;1645;48,2838;47,0538
30;wielkopolskie;3001;chodzieski;3001032;gm.w Chodzież;Pilski;6136;3003;2887;48,9407;47,0502
30;wielkopolskie;3003;gnieźnieński;3003023;gm.m-w. Czerniejewo;Poznański;7388;3628;3476;49,1067;47,0493
22;pomorskie;2216;sztumski;2216013;gm.m-w. Dzierzgoń;Elbląski;9210;4511;4332;48,9794;47,0358
4;kujawsko-pomorskie;406;grudziądzki;406022;gm.w Gruta;Toruński;6437;3151;3025;48,9514;46,9939
4;kujawsko-pomorskie;418;włocławski;418043;gm.m-w. Brześć Kujawski;Włocławski;11352;5499;5334;48,4408;46,9873
26;świętokrzyskie;2605;konecki;2605052;gm.w Ruda Maleniecka;Kielecki;3052;1506;1434;49,3447;46,9856
10;łódzkie;1017;wieluński;1017052;gm.w Osjaków;Sieradzki;4740;2291;2227;48,3333;46,9831
14;mazowieckie;1407;kozienicki;1407062;gm.w Magnuszew;Radomski;6706;3289;3150;49,0456;46,9729
32;zachodniopomorskie;3213;sławieński;3213052;gm.w Postomino;Słupski;6847;3331;3216;48,649;46,9695
6;lubelskie;614;puławski;614112;gm.w Żyrzyn;Lubelski;6411;3138;3011;48,9471;46,9662
2;dolnośląskie;206;karkonoski;206082;gm.w Podgórzyn;Jeleniogórski;8285;4023;3891;48,5576;46,9644
10;łódzkie;1002;kutnowski;1002092;gm.w Oporów;Płocki;2487;1224;1168;49,2159;46,9642
8;lubuskie;810;żagański;810053;gm.m-w. Małomice;Zielonogórski;5165;2541;2424;49,1965;46,9313
28;warmińsko-mazurskie;2808;kętrzyński;2808062;gm.w Srokowo;Olsztyński;3723;1786;1747;47,9721;46,9245
24;śląskie;2476;Świętochłowice;2476011;Świętochłowice;;49108;23858;23042;48,5827;46,9211
22;pomorskie;2210;nowodworski;2210042;gm.w Stegna;Elbląski;9713;4720;4557;48,5947;46,9165
24;śląskie;2415;wodzisławski;2415052;gm.w Godów;Katowicki;13845;6692;6493;48,3351;46,8978
14;mazowieckie;1433;węgrowski;1433092;gm.w Wierzbno;Siedlecki;2718;1351;1274;49,7057;46,8727
12;małopolskie;1214;proszowicki;1214033;gm.m-w. Nowe Brzesko;Krakowski;5676;2762;2660;48,661;46,864
6;lubelskie;609;lubelski;609072;gm.w Jastków;Lubelski;14351;6945;6725;48,3938;46,8608
22;pomorskie;2210;nowodworski;2210032;gm.w Ostaszewo;Elbląski;3206;1571;1502;49,0019;46,8497
24;śląskie;2413;tarnogórski;2413092;gm.w Zbrosławice;Katowicki;16385;7880;7676;48,0928;46,8477
14;mazowieckie;1411;makowski;1411102;gm.w Szelków;Ostrołęcki;3634;1791;1702;49,2845;46,8354
14;mazowieckie;1420;płoński;1420062;gm.w Joniec;Ciechanowski;2650;1305;1241;49,2453;46,8302
4;kujawsko-pomorskie;409;mogileński;409043;gm.m-w. Strzelno;Bydgoski;11524;5657;5395;49,0889;46,8153
14;mazowieckie;1435;wyszkowski;1435053;gm.m-w. Wyszków;;39708;19272;18589;48,5343;46,8142
2;dolnośląskie;226;złotoryjski;226062;gm.w Złotoryja;Legnicki;6994;3368;3274;48,1556;46,8116
2;dolnośląskie;219;świdnicki;219052;gm.w Marcinowice;Wałbrzyski;6522;3132;3053;48,0221;46,8108
28;warmińsko-mazurskie;2814;olsztyński;2814023;gm.m-w. Biskupiec;Olsztyński;18913;9257;8853;48,9452;46,8091
2;dolnośląskie;206;karkonoski;206092;gm.w Stara Kamienica;Jeleniogórski;5250;2565;2457;48,8571;46,8
12;małopolskie;1218;wadowicki;1218022;gm.w Brzeźnica;Bielski;10521;5170;4923;49,1398;46,7921
30;wielkopolskie;3010;koniński;3010103;gm.m-w. Sompolno;Koniński;10299;5037;4819;48,9077;46,791
24;śląskie;2406;kłobucki;2406082;gm.w Przystajń;Częstochowski;5849;2818;2736;48,1792;46,7772
2;dolnośląskie;211;lubiński;211022;gm.w Lubin;Legnicki;16521;7956;7726;48,1569;46,7647
22;pomorskie;2211;pucki;2211062;gm.w Krokowa;Gdański;10810;5237;5055;48,4459;46,7623
8;lubuskie;810;żagański;810032;gm.w Brzeźnica;Zielonogórski;3721;1788;1740;48,0516;46,7616
2;dolnośląskie;218;średzki;218012;gm.w Kostomłoty;Wrocławski;7109;3419;3324;48,094;46,7576
24;śląskie;2415;wodzisławski;2415031;Rydułtowy;Katowicki;21385;10243;9999;47,8981;46,7571
4;kujawsko-pomorskie;410;nakielski;410013;gm.m-w. Kcynia;Bydgoski;13204;6393;6173;48,4171;46,751
4;kujawsko-pomorskie;414;świecki;414012;gm.w Bukowiec;Bydgoski;5130;2476;2398;48,2651;46,7446
28;warmińsko-mazurskie;2806;giżycki;2806052;gm.w Kruklanki;Suwalski;3115;1506;1456;48,3467;46,7416
32;zachodniopomorskie;3215;szczecinecki;3215052;gm.w Grzmiąca;Koszaliński;4638;2268;2167;48,9004;46,7227
22;pomorskie;2216;sztumski;2216022;gm.w Mikołajki Pomorskie;Elbląski;3613;1770;1688;48,9898;46,7202
26;świętokrzyskie;2603;kazimierski;2603043;gm.m-w. Opatowiec;Kielecki;3230;1573;1509;48,6997;46,7183
24;śląskie;2467;Jastrzębie-Zdrój;2467011;Jastrzębie-Zdrój;;88038;42241;41126;47,9804;46,7139
4;kujawsko-pomorskie;412;rypiński;412022;gm.w Brzuze;Włocławski;5284;2540;2468;48,0696;46,707
