wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1412;miński;1412151;Sulejówek;Warszawski;19951;11852;11505;59,4055;57,6663
14;mazowieckie;1432;warszawski zachodni;1432063;gm.m-w. Ożarów Mazowiecki;Warszawski;26151;15647;15077;59,8333;57,6536
24;śląskie;2401;będziński;2401062;gm.w Psary;Katowicki;12268;7322;7071;59,6837;57,6378
30;wielkopolskie;3021;poznański;3021072;gm.w Komorniki;;31474;18739;18131;59,538;57,6063
32;zachodniopomorskie;3207;kamieński;3207013;gm.m-w. Dziwnów;Szczeciński;3939;2329;2269;59,1267;57,6035
30;wielkopolskie;3001;chodzieski;3001011;Chodzież;Pilski;18229;10855;10495;59,548;57,5731
24;śląskie;2401;będziński;2401031;Wojkowice;Katowicki;8877;5263;5103;59,288;57,4856
12;małopolskie;1213;oświęcimski;1213082;gm.w Przeciszów;Bielski;6739;3985;3869;59,1334;57,4121
30;wielkopolskie;3021;poznański;3021033;gm.m-w. Buk;Poznański;12673;7690;7274;60,6802;57,3976
14;mazowieckie;1434;wołomiński;1434041;Zielonka;Warszawski;17486;10384;10034;59,3847;57,383
14;mazowieckie;1414;nowodworski;1414011;Nowy Dwór Mazowiecki;Warszawski;28691;17051;16462;59,4298;57,3769
14;mazowieckie;1417;otwocki;1417043;gm.m-w. Karczew;Warszawski;15930;9527;9134;59,8054;57,3384
14;mazowieckie;1432;warszawski zachodni;1432042;gm.w Leszno;Warszawski;10165;6026;5815;59,2818;57,2061
22;pomorskie;2204;gdański;2204011;Pruszcz Gdański;;31578;18664;18061;59,1044;57,1949
30;wielkopolskie;3023;słupecki;3023011;Słupca;Koniński;13564;7932;7749;58,4783;57,1292
4;kujawsko-pomorskie;461;Bydgoszcz;461011;Bydgoszcz;;344091;201470;196332;58,5514;57,0582
4;kujawsko-pomorskie;463;Toruń;463011;Toruń;;198613;116184;113213;58,4977;57,0018
30;wielkopolskie;3021;poznański;3021083;gm.m-w. Kostrzyn;Poznański;18764;11092;10686;59,1132;56,9495
12;małopolskie;1206;krakowski;1206103;gm.m-w. Skała;Krakowski;10553;6164;6002;58,4099;56,8748
10;łódzkie;1004;łęczycki;1004011;Łęczyca;Płocki;13786;8062;7839;58,4796;56,862
30;wielkopolskie;3021;poznański;3021103;gm.m-w. Mosina;;33767;19699;19137;58,338;56,6737
22;pomorskie;2208;lęborski;2208021;Łeba;Słupski;3541;2056;2006;58,0627;56,6507
24;śląskie;2475;Sosnowiec;2475011;Sosnowiec;;197586;114981;111854;58,1929;56,6103
22;pomorskie;2212;słupski;2212011;Ustka;Słupski;15199;8896;8595;58,5302;56,5498
30;wielkopolskie;3021;poznański;3021113;gm.m-w. Murowana Goślina;Poznański;16942;9937;9576;58,6531;56,5223
30;wielkopolskie;3025;średzki;3025043;gm.m-w. Środa Wielkopolska;;32874;19236;18573;58,5143;56,4975
32;zachodniopomorskie;3211;policki;3211012;gm.w Dobra (Szczecińska);Szczeciński;25061;14560;14156;58,0982;56,4862
12;małopolskie;1206;krakowski;1206162;gm.w Zabierzów;Krakowski;27065;15714;15277;58,0602;56,4456
10;łódzkie;1020;zgierski;1020011;Głowno;Łódzki;13961;8377;7871;60,0029;56,3785
10;łódzkie;1005;łowicki;1005011;Łowicz;Skierniewicki;27896;16190;15719;58,037;56,3486
2;dolnośląskie;223;wrocławski;223022;gm.w Długołęka;;35144;20423;19776;58,1123;56,2713
30;wielkopolskie;3021;poznański;3021093;gm.m-w. Kórnik;;30909;17956;17384;58,0931;56,2425
8;lubuskie;862;Zielona Góra;862011;Zielona Góra;;140892;81424;79166;57,7918;56,1891
2;dolnośląskie;223;wrocławski;223083;gm.m-w. Siechnice;Wrocławski;24142;14056;13562;58,2222;56,176
10;łódzkie;1020;zgierski;1020031;Zgierz;;55673;32380;31270;58,161;56,1673
12;małopolskie;1208;miechowski;1208042;gm.w Książ Wielki;Kielecki;5030;2918;2825;58,0119;56,163
32;zachodniopomorskie;3262;Szczecin;3262011;Szczecin;;398255;230693;223579;57,926;56,1397
30;wielkopolskie;3014;międzychodzki;3014012;gm.w Chrzypsko Wielkie;Poznański;3306;1932;1854;58,4392;56,0799
22;pomorskie;2211;pucki;2211031;Puck;Gdański;11139;6436;6245;57,779;56,0643
24;śląskie;2408;mikołowski;2408021;Mikołów;;41003;23569;22964;57,4812;56,0057
30;wielkopolskie;3024;szamotulski;3024053;gm.m-w. Ostroróg;Poznański;4931;2844;2759;57,6759;55,9521
24;śląskie;2401;będziński;2401021;Czeladź;;31039;17950;17356;57,8305;55,9167
12;małopolskie;1206;krakowski;1206092;gm.w Mogilany;Krakowski;14423;8300;8049;57,547;55,8067
10;łódzkie;1063;Skierniewice;1063011;Skierniewice;;47655;27385;26572;57,4651;55,7591
4;kujawsko-pomorskie;407;inowrocławski;407011;Inowrocław;;71674;41055;39963;57,2802;55,7566
4;kujawsko-pomorskie;411;radziejowski;411022;gm.w Bytoń;Włocławski;3411;1966;1900;57,6371;55,7021
12;małopolskie;1213;oświęcimski;1213011;Oświęcim;;37569;21487;20923;57,1934;55,6922
14;mazowieckie;1418;piaseczyński;1418013;gm.m-w. Góra Kalwaria;Warszawski;27044;15524;15047;57,4028;55,639
14;mazowieckie;1417;otwocki;1417021;Otwock;;44317;25526;24649;57,5987;55,6197
30;wielkopolskie;3024;szamotulski;3024032;gm.w Kaźmierz;Poznański;8840;5092;4916;57,6018;55,6109
14;mazowieckie;1418;piaseczyński;1418052;gm.w Prażmów;Warszawski;11363;6562;6317;57,7488;55,5927
22;pomorskie;2204;gdański;2204032;gm.w Kolbudy;Gdański;18165;10520;10098;57,9136;55,5904
14;mazowieckie;1414;nowodworski;1414052;gm.w Pomiechówek;Warszawski;9086;5206;5043;57,2969;55,503
24;śląskie;2416;zawierciański;2416011;Poręba;Katowicki;8461;4839;4696;57,1918;55,5017
14;mazowieckie;1412;miński;1412011;Mińsk Mazowiecki;;40916;23635;22706;57,7647;55,4942
30;wielkopolskie;3014;międzychodzki;3014043;gm.m-w. Sieraków;Poznański;8641;4976;4793;57,5859;55,4681
24;śląskie;2465;Dąbrowa Górnicza;2465011;Dąbrowa Górnicza;;118285;67550;65607;57,1078;55,4652
2;dolnośląskie;221;wałbrzyski;221031;Szczawno-Zdrój;Wałbrzyski;5534;3166;3065;57,21;55,3849
26;świętokrzyskie;2609;sandomierski;2609093;gm.m-w. Zawichost;Tarnobrzeski;4328;2457;2397;56,7699;55,3835
14;mazowieckie;1408;legionowski;1408043;gm.m-w. Serock;Warszawski;15363;8789;8488;57,2089;55,2496
4;kujawsko-pomorskie;401;aleksandrowski;401011;Aleksandrów Kujawski;Włocławski;12058;6847;6658;56,7839;55,2165
