wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2713;2624;71,376;69,0345
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13436;12956;70,4156;67,9
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2509;2435;69,3669;67,321
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1241750;1206152;69,2104;67,2263
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;15221;14752;69,2777;67,1431
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;364416;354189;68,4931;66,5709
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;428026;416572;66,6782;64,8939
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12228;11892;66,5977;64,7677
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16313;15775;66,2564;64,0713
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;509946;497641;65,3805;63,8029
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;56466;54827;65,4929;63,5919
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19462;18831;65,3811;63,2613
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6211;6048;64,8668;63,1645
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;305711;297183;64,9337;63,1223
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15262;14964;64,3532;63,0966
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11944;11612;64,5203;62,7269
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3555;3442;64,6481;62,5932
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17830;17290;64,3566;62,4075
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14507;14011;64,3069;62,1082
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20496;19871;64,02;62,0678
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;813;796;63,0233;61,7054
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1519;1464;63,6897;61,3836
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18330;17735;63,4081;61,3498
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;39735;38314;63,4511;61,182
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13607;13211;62,9662;61,1337
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6588;6367;62,9587;60,8467
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;153461;148619;62,6451;60,6685
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;9485;9174;62,7107;60,6545
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;32577;31610;62,4009;60,5486
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;22004;21351;62,359;60,5084
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6606;6387;62,5568;60,483
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;16754;16202;62,4869;60,4282
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;33306;32326;62,2205;60,3897
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;17207;16743;61,9402;60,27
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;13766;13326;62,1378;60,1517
32;zachodniopomorskie;3205;gryficki;3205072;gm.w Rewal;Szczeciński;3852;2383;2314;61,864;60,0727
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14558;14216;61,4521;60,0084
14;mazowieckie;1421;pruszkowski;1421052;gm.w Nadarzyn;Warszawski;14353;8908;8607;62,0637;59,9666
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;11933;11554;61,7458;59,7847
24;śląskie;2401;będziński;2401042;gm.w Bobrowniki;Katowicki;12122;7416;7231;61,178;59,6519
24;śląskie;2469;Katowice;2469011;Katowice;;290553;177382;172757;61,0498;59,458
30;wielkopolskie;3021;poznański;3021052;gm.w Dopiewo;Poznański;29328;17892;17426;61,0065;59,4176
12;małopolskie;1206;krakowski;1206082;gm.w Michałowice;Krakowski;10909;6663;6479;61,078;59,3913
30;wielkopolskie;3024;szamotulski;3024073;gm.m-w. Szamotuły;;30188;18415;17896;61,0011;59,2818
