wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2713;2624;71,376;69,0345
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13445;12962;70,4628;67,9315
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2509;2436;69,3669;67,3486
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1242317;1206942;69,242;67,2704
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;15230;14762;69,3186;67,1886
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;364591;354438;68,526;66,6177
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;428199;416794;66,7051;64,9285
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12232;11895;66,6195;64,7841
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16316;15783;66,2686;64,1038
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;510179;497976;65,4104;63,8459
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;56484;54850;65,5138;63,6185
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19470;18839;65,408;63,2882
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6212;6054;64,8773;63,2272
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;305860;297378;64,9653;63,1637
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15266;14970;64,37;63,1219
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11947;11620;64,5365;62,7701
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3558;3447;64,7027;62,6841
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17834;17295;64,3711;62,4256
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14514;14019;64,338;62,1437
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20503;19878;64,0419;62,0896
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;813;796;63,0233;61,7054
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1520;1465;63,7317;61,4256
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18332;17737;63,415;61,3567
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;39741;38320;63,4607;61,1916
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13613;13216;62,994;61,1569
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6589;6368;62,9683;60,8563
