wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2679;2581;70,4815;67,9032
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13268;12718;69,5351;66,6527
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1227210;1189409;68,4;66,2931
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14987;14450;68,2126;65,7685
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;360119;348963;67,6854;65,5886
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2462;2371;68,0675;65,5516
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;423484;410940;65,9706;64,0165
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12076;11713;65,7698;63,7928
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16114;15555;65,4482;63,1778
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;504978;490901;64,7436;62,9388
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;55778;54048;64,6949;62,6883
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6127;5966;63,9896;62,3081
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;302235;292865;64,1954;62,2052
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19188;18493;64,4606;62,1258
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15091;14703;63,6321;61,9961
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11825;11447;63,8775;61,8356
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3496;3398;63,5752;61,7931
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17587;17028;63,4795;61,4618
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20248;19595;63,2454;61,2057
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14273;13803;63,2696;61,1862
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;804;788;62,3256;61,0853
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18085;17459;62,5605;60,395
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;39117;37705;62,4643;60,2095
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13420;12974;62,1009;60,037
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6491;6273;62,0317;59,9484
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1487;1428;62,348;59,8742
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;151569;146356;61,8727;59,7447
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6529;6306;61,8277;59,7159
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;9342;9031;61,7653;59,7091
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21745;21058;61,625;59,6781
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;32169;31131;61,6194;59,6311
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;32893;31830;61,4489;59,4631
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;16968;16490;61,0799;59,3593
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;16549;15909;61,7224;59,3354
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14406;14000;60,8105;59,0967
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;13562;13085;61,2169;59,0638
32;zachodniopomorskie;3205;gryficki;3205072;gm.w Rewal;Szczeciński;3852;2341;2270;60,7736;58,9304
24;śląskie;2401;będziński;2401042;gm.w Bobrowniki;Katowicki;12122;7356;7136;60,6831;58,8682
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;11768;11347;60,8921;58,7137
14;mazowieckie;1421;pruszkowski;1421052;gm.w Nadarzyn;Warszawski;14353;8764;8427;61,0604;58,7125
24;śląskie;2469;Katowice;2469011;Katowice;;290553;175569;170423;60,4258;58,6547
4;kujawsko-pomorskie;403;bydgoski;403062;gm.w Osielsko;Bydgoski;15347;9181;8995;59,8228;58,6108
30;wielkopolskie;3021;poznański;3021052;gm.w Dopiewo;Poznański;29328;17670;17165;60,2496;58,5277
12;małopolskie;1206;krakowski;1206082;gm.w Michałowice;Krakowski;10909;6587;6364;60,3813;58,3372
10;łódzkie;1061;Łódź;1061011;Łódź;;672185;404063;391133;60,1119;58,1883
14;mazowieckie;1432;warszawski zachodni;1432072;gm.w Stare Babice;Warszawski;19605;11766;11358;60,0153;57,9342
30;wielkopolskie;3024;szamotulski;3024073;gm.m-w. Szamotuły;;30188;18042;17451;59,7655;57,8077
30;wielkopolskie;3021;poznański;3021123;gm.m-w. Pobiedziska;Poznański;19943;11985;11527;60,0963;57,7997
14;mazowieckie;1408;legionowski;1408022;gm.w Jabłonna;Warszawski;20096;11980;11615;59,6139;57,7976
4;kujawsko-pomorskie;401;aleksandrowski;401021;Ciechocinek;Włocławski;10534;6230;6084;59,1418;57,7558
10;łódzkie;1002;kutnowski;1002011;Kutno;;43332;25826;24985;59,6003;57,6595
14;mazowieckie;1405;grodziski;1405011;Milanówek;Warszawski;16478;9821;9492;59,6007;57,6041
14;mazowieckie;1417;otwocki;1417011;Józefów;Warszawski;20741;12383;11943;59,703;57,5816
12;małopolskie;1206;krakowski;1206152;gm.w Wielka Wieś;Krakowski;13162;7811;7578;59,3451;57,5748
14;mazowieckie;1432;warszawski zachodni;1432063;gm.m-w. Ożarów Mazowiecki;Warszawski;26151;15632;15054;59,7759;57,5657
14;mazowieckie;1408;legionowski;1408032;gm.w Nieporęt;Warszawski;14841;8888;8542;59,8881;57,5568
14;mazowieckie;1412;miński;1412151;Sulejówek;Warszawski;19951;11834;11481;59,3153;57,546
24;śląskie;2401;będziński;2401062;gm.w Psary;Katowicki;12268;7306;7057;59,5533;57,5236
30;wielkopolskie;3021;poznański;3021072;gm.w Komorniki;;31474;18712;18103;59,4522;57,5173
32;zachodniopomorskie;3207;kamieński;3207013;gm.m-w. Dziwnów;Szczeciński;3939;2328;2262;59,1013;57,4257
30;wielkopolskie;3001;chodzieski;3001011;Chodzież;Pilski;18229;10834;10466;59,4328;57,414
24;śląskie;2401;będziński;2401031;Wojkowice;Katowicki;8877;5258;5094;59,2317;57,3843
12;małopolskie;1213;oświęcimski;1213082;gm.w Przeciszów;Bielski;6739;3982;3864;59,0889;57,3379
14;mazowieckie;1434;wołomiński;1434041;Zielonka;Warszawski;17486;10365;10012;59,276;57,2572
30;wielkopolskie;3021;poznański;3021033;gm.m-w. Buk;Poznański;12673;7670;7250;60,5224;57,2082
14;mazowieckie;1417;otwocki;1417043;gm.m-w. Karczew;Warszawski;15930;9511;9109;59,705;57,1814
14;mazowieckie;1414;nowodworski;1414011;Nowy Dwór Mazowiecki;Warszawski;28691;17021;16403;59,3252;57,1712
22;pomorskie;2204;gdański;2204011;Pruszcz Gdański;;31578;18634;18028;59,0094;57,0904
4;kujawsko-pomorskie;461;Bydgoszcz;461011;Bydgoszcz;;344091;201222;195952;58,4793;56,9477
14;mazowieckie;1432;warszawski zachodni;1432042;gm.w Leszno;Warszawski;10165;6018;5786;59,2031;56,9208
4;kujawsko-pomorskie;463;Toruń;463011;Toruń;;198613;116062;113038;58,4363;56,9137
30;wielkopolskie;3023;słupecki;3023011;Słupca;Koniński;13564;7920;7715;58,3899;56,8785
30;wielkopolskie;3021;poznański;3021083;gm.m-w. Kostrzyn;Poznański;18764;11078;10653;59,0386;56,7736
10;łódzkie;1004;łęczycki;1004011;Łęczyca;Płocki;13786;8051;7823;58,3998;56,746
12;małopolskie;1206;krakowski;1206103;gm.m-w. Skała;Krakowski;10553;6152;5981;58,2962;56,6758
22;pomorskie;2208;lęborski;2208021;Łeba;Słupski;3541;2055;2003;58,0345;56,5659
30;wielkopolskie;3021;poznański;3021103;gm.m-w. Mosina;;33767;19649;19090;58,1899;56,5345
24;śląskie;2475;Sosnowiec;2475011;Sosnowiec;;197586;114794;111676;58,0982;56,5202
22;pomorskie;2212;słupski;2212011;Ustka;Słupski;15199;8891;8582;58,4973;56,4642
30;wielkopolskie;3021;poznański;3021113;gm.m-w. Murowana Goślina;Poznański;16942;9916;9549;58,5291;56,3629
