wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2629;2502;69,166;65,8248
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1204960;1160028;67,1599;64,6556
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;353181;339575;66,3814;63,8241
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14607;13873;66,4831;63,1423
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;12871;12033;67,4545;63,0627
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;415517;400547;64,7295;62,3975
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;11892;11430;64,7677;62,2515
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;15830;15120;64,2947;61,411
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;495846;477872;63,5728;61,2683
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;54627;52440;63,3599;60,8233
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2370;2199;65,5239;60,7962
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6011;5815;62,7781;60,7311
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;296487;285269;62,9745;60,5918
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11602;11166;62,6729;60,3176
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;18756;17902;63,0094;60,1404
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3421;3286;62,2113;59,7563
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17213;16547;62,1296;59,7257
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;14764;14141;62,2533;59,6264
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;13943;13383;61,8068;59,3244
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;19837;18991;61,9616;59,3191
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;783;758;60,6977;58,7597
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;17708;16969;61,2564;58,7
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21345;20554;60,4914;58,2497
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;38196;36417;60,9936;58,1528
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6389;6078;61,057;58,0849
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;148492;142225;60,6166;58,0584
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6406;6125;60,6629;58,0019
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13100;12524;60,6201;57,9547
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1444;1378;60,5451;57,7778
