wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2715;2631;71,4286;69,2186
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13475;13078;70,62;68,5394
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2522;2456;69,7263;67,9016
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;15303;14832;69,6509;67,5072
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1244909;1210683;69,3865;67,4789
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;365415;355475;68,6808;66,8126
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;429131;418057;66,8503;65,1252
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12255;11926;66,7447;64,9529
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16356;15828;66,4311;64,2866
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;511298;499399;65,5539;64,0283
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;56620;55073;65,6715;63,8772
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19524;18928;65,5894;63,5872
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6226;6070;65,0235;63,3943
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15300;15026;64,5134;63,3581
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;306644;298271;65,1318;63,3534
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11965;11654;64,6338;62,9538
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3565;3455;64,83;62,8296
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17885;17391;64,5551;62,7721
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14551;14103;64,502;62,5161
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20549;19929;64,1855;62,2489
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;814;797;63,1008;61,7829
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1522;1469;63,8155;61,5933
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18382;17799;63,5879;61,5712
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;39867;38497;63,6619;61,4742
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13664;13273;63,23;61,4206
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6601;6388;63,083;61,0474
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;154028;149247;62,8765;60,9249
