wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2643;2517;69,5343;66,2194
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1210713;1168449;67,4805;65,1249
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;355009;342487;66,725;64,3714
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14704;14035;66,9246;63,8797
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;12936;12157;67,7952;63,7126
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;417834;403654;65,0905;62,8815
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;11948;11512;65,0727;62,6981
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2389;2249;66,0492;62,1786
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;15919;15228;64,6562;61,8496
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;498488;481794;63,9115;61,7712
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;54935;52890;63,7171;61,3452
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6035;5854;63,0287;61,1384
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;298061;287515;63,3088;61,0688
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;18888;18082;63,4528;60,7451
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;14900;14400;62,8268;60,7185
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11641;11216;62,8835;60,5877
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3432;3312;62,4113;60,2291
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17305;16669;62,4616;60,166
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;795;774;61,6279;60
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14025;13492;62,1703;59,8076
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;19923;19118;62,2302;59,7158
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;17819;17119;61,6404;59,2189
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21444;20717;60,772;58,7117
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;38397;36735;61,3145;58,6606
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;149334;143343;60,9604;58,5148
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6416;6120;61,315;58,4862
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13174;12625;60,9625;58,422
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6440;6169;60,9848;58,4186
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;31657;30437;60,6386;58,3017
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;32355;31145;60,4439;58,1834
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1453;1387;60,9224;58,1551
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14222;13754;60,0338;58,0583
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;9187;8781;60,7405;58,0562
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;16249;15557;60,6035;58,0225
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;16698;16105;60,108;57,9734
4;kujawsko-pomorskie;403;bydgoski;403062;gm.w Osielsko;Bydgoski;15347;9098;8870;59,2819;57,7963
24;śląskie;2401;będziński;2401042;gm.w Bobrowniki;Katowicki;12122;7271;6998;59,9819;57,7297
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;13364;12788;60,3232;57,7232
24;śląskie;2469;Katowice;2469011;Katowice;;290553;173096;167322;59,5747;57,5874
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;11597;11088;60,0072;57,3735
30;wielkopolskie;3021;poznański;3021052;gm.w Dopiewo;Poznański;29328;17404;16825;59,3426;57,3684
32;zachodniopomorskie;3205;gryficki;3205072;gm.w Rewal;Szczeciński;3852;2286;2199;59,3458;57,0872
4;kujawsko-pomorskie;401;aleksandrowski;401021;Ciechocinek;Włocławski;10534;6185;6010;58,7146;57,0534
14;mazowieckie;1421;pruszkowski;1421052;gm.w Nadarzyn;Warszawski;14353;8569;8188;59,7018;57,0473
10;łódzkie;1061;Łódź;1061011;Łódź;;672185;398061;383235;59,219;57,0133
12;małopolskie;1206;krakowski;1206082;gm.w Michałowice;Krakowski;10909;6483;6214;59,428;56,9621
14;mazowieckie;1432;warszawski zachodni;1432072;gm.w Stare Babice;Warszawski;19605;11571;11120;59,0207;56,7202
14;mazowieckie;1408;legionowski;1408022;gm.w Jabłonna;Warszawski;20096;11821;11380;58,8227;56,6282
24;śląskie;2401;będziński;2401062;gm.w Psary;Katowicki;12268;7196;6941;58,6567;56,5781
14;mazowieckie;1412;miński;1412151;Sulejówek;Warszawski;19951;11670;11278;58,4933;56,5285
12;małopolskie;1206;krakowski;1206152;gm.w Wielka Wieś;Krakowski;13162;7730;7435;58,7297;56,4884
12;małopolskie;1213;oświęcimski;1213082;gm.w Przeciszów;Bielski;6739;3922;3799;58,1985;56,3733
30;wielkopolskie;3024;szamotulski;3024073;gm.m-w. Szamotuły;;30188;17727;16995;58,722;56,2972
10;łódzkie;1002;kutnowski;1002011;Kutno;;43332;25398;24382;58,6126;56,2679
14;mazowieckie;1417;otwocki;1417011;Józefów;Warszawski;20741;12172;11669;58,6857;56,2605
14;mazowieckie;1408;legionowski;1408032;gm.w Nieporęt;Warszawski;14841;8762;8349;59,0391;56,2563
14;mazowieckie;1405;grodziski;1405011;Milanówek;Warszawski;16478;9665;9263;58,654;56,2143
30;wielkopolskie;3021;poznański;3021072;gm.w Komorniki;;31474;18393;17690;58,4387;56,2051
24;śląskie;2401;będziński;2401031;Wojkowice;Katowicki;8877;5156;4988;58,0827;56,1902
14;mazowieckie;1434;wołomiński;1434041;Zielonka;Warszawski;17486;10193;9802;58,2923;56,0563
14;mazowieckie;1432;warszawski zachodni;1432063;gm.m-w. Ożarów Mazowiecki;Warszawski;26151;15290;14658;58,4681;56,0514
32;zachodniopomorskie;3207;kamieński;3207013;gm.m-w. Dziwnów;Szczeciński;3939;2300;2205;58,3905;55,9787
4;kujawsko-pomorskie;461;Bydgoszcz;461011;Bydgoszcz;;344091;198433;192261;57,6688;55,875
4;kujawsko-pomorskie;463;Toruń;463011;Toruń;;198613;114533;110853;57,6664;55,8136
14;mazowieckie;1414;nowodworski;1414011;Nowy Dwór Mazowiecki;Warszawski;28691;16710;16006;58,2413;55,7875
30;wielkopolskie;3021;poznański;3021123;gm.m-w. Pobiedziska;Poznański;19943;11738;11119;58,8577;55,7539
30;wielkopolskie;3001;chodzieski;3001011;Chodzież;Pilski;18229;10596;10161;58,1272;55,7409
22;pomorskie;2208;lęborski;2208021;Łeba;Słupski;3541;2019;1973;57,0178;55,7187
12;małopolskie;1206;krakowski;1206103;gm.m-w. Skała;Krakowski;10553;6085;5868;57,6613;55,605
22;pomorskie;2204;gdański;2204011;Pruszcz Gdański;;31578;18263;17538;57,8346;55,5387
24;śląskie;2475;Sosnowiec;2475011;Sosnowiec;;197586;113278;109626;57,331;55,4827
30;wielkopolskie;3021;poznański;3021033;gm.m-w. Buk;Poznański;12673;7508;7024;59,2441;55,4249
14;mazowieckie;1417;otwocki;1417043;gm.m-w. Karczew;Warszawski;15930;9293;8820;58,3365;55,3672
30;wielkopolskie;3023;słupecki;3023011;Słupca;Koniński;13564;7796;7495;57,4757;55,2566
12;małopolskie;1206;krakowski;1206162;gm.w Zabierzów;Krakowski;27065;15459;14948;57,118;55,23
10;łódzkie;1004;łęczycki;1004011;Łęczyca;Płocki;13786;7894;7604;57,261;55,1574
30;wielkopolskie;3021;poznański;3021103;gm.m-w. Mosina;;33767;19324;18622;57,2275;55,1485
14;mazowieckie;1432;warszawski zachodni;1432042;gm.w Leszno;Warszawski;10165;5860;5604;57,6488;55,1303
2;dolnośląskie;223;wrocławski;223022;gm.w Długołęka;;35144;20095;19368;57,179;55,1104
22;pomorskie;2212;słupski;2212011;Ustka;Słupski;15199;8712;8369;57,3196;55,0628
30;wielkopolskie;3021;poznański;3021083;gm.m-w. Kostrzyn;Poznański;18764;10878;10331;57,9727;55,0576
32;zachodniopomorskie;3211;policki;3211012;gm.w Dobra (Szczecińska);Szczeciński;25061;14299;13793;57,0568;55,0377
10;łódzkie;1005;łowicki;1005011;Łowicz;Skierniewicki;27896;15946;15338;57,1623;54,9828
12;małopolskie;1208;miechowski;1208042;gm.w Książ Wielki;Kielecki;5030;2882;2765;57,2962;54,9702
8;lubuskie;862;Zielona Góra;862011;Zielona Góra;;140892;80109;77447;56,8584;54,9691
30;wielkopolskie;3024;szamotulski;3024053;gm.m-w. Ostroróg;Poznański;4931;2805;2706;56,885;54,8773
2;dolnośląskie;223;wrocławski;223083;gm.m-w. Siechnice;Wrocławski;24142;13795;13248;57,1411;54,8753
32;zachodniopomorskie;3262;Szczecin;3262011;Szczecin;;398255;226615;218391;56,902;54,837
30;wielkopolskie;3025;średzki;3025043;gm.m-w. Środa Wielkopolska;;32874;18905;18018;57,5075;54,8093
30;wielkopolskie;3021;poznański;3021093;gm.m-w. Kórnik;;30909;17583;16940;56,8863;54,806
24;śląskie;2408;mikołowski;2408021;Mikołów;;41003;23224;22472;56,6398;54,8057
10;łódzkie;1020;zgierski;1020031;Zgierz;;55673;31835;30475;57,1821;54,7393
24;śląskie;2401;będziński;2401021;Czeladź;;31039;17671;16984;56,9316;54,7183
10;łódzkie;1063;Skierniewice;1063011;Skierniewice;;47655;27036;26052;56,7328;54,6679
12;małopolskie;1206;krakowski;1206092;gm.w Mogilany;Krakowski;14423;8150;7881;56,507;54,6419
12;małopolskie;1213;oświęcimski;1213011;Oświęcim;;37569;21132;20490;56,2485;54,5396
30;wielkopolskie;3021;poznański;3021113;gm.m-w. Murowana Goślina;Poznański;16942;9666;9239;57,0535;54,5331
4;kujawsko-pomorskie;407;inowrocławski;407011;Inowrocław;;71674;40428;39054;56,4054;54,4884
2;dolnośląskie;221;wałbrzyski;221031;Szczawno-Zdrój;Wałbrzyski;5534;3123;3015;56,433;54,4814
30;wielkopolskie;3014;międzychodzki;3014012;gm.w Chrzypsko Wielkie;Poznański;3306;1898;1799;57,4108;54,4162
14;mazowieckie;1418;piaseczyński;1418013;gm.m-w. Góra Kalwaria;Warszawski;27044;15224;14708;56,2934;54,3854
14;mazowieckie;1418;piaseczyński;1418052;gm.w Prażmów;Warszawski;11363;6452;6173;56,7808;54,3254
24;śląskie;2416;zawierciański;2416011;Poręba;Katowicki;8461;4764;4588;56,3054;54,2253
22;pomorskie;2211;pucki;2211031;Puck;Gdański;11139;6297;6037;56,5311;54,197
14;mazowieckie;1414;nowodworski;1414052;gm.w Pomiechówek;Warszawski;9086;5116;4924;56,3064;54,1933
24;śląskie;2465;Dąbrowa Górnicza;2465011;Dąbrowa Górnicza;;118285;66356;64043;56,0984;54,143
16;opolskie;1661;Opole;1661011;Opole;;127839;71509;69101;55,9368;54,0531
14;mazowieckie;1417;otwocki;1417021;Otwock;;44317;25092;23953;56,6194;54,0492
4;kujawsko-pomorskie;401;aleksandrowski;401011;Aleksandrów Kujawski;Włocławski;12058;6745;6510;55,938;53,9891
24;śląskie;2401;będziński;2401011;Będzin;;56008;31405;30231;56,0723;53,9762
14;mazowieckie;1412;miński;1412011;Mińsk Mazowiecki;;40916;23192;22084;56,682;53,974
22;pomorskie;2204;gdański;2204032;gm.w Kolbudy;Gdański;18165;10290;9796;56,6474;53,9279
4;kujawsko-pomorskie;418;włocławski;418011;Kowal;Włocławski;3468;1941;1870;55,9689;53,9216
14;mazowieckie;1408;legionowski;1408043;gm.m-w. Serock;Warszawski;15363;8616;8281;56,0828;53,9022
4;kujawsko-pomorskie;403;bydgoski;403083;gm.m-w. Solec Kujawski;Bydgoski;16777;9324;9038;55,5761;53,8714
30;wielkopolskie;3024;szamotulski;3024032;gm.w Kaźmierz;Poznański;8840;4961;4754;56,1199;53,7783
24;śląskie;2405;gliwicki;2405032;gm.w Gierałtowice;Katowicki;12252;6839;6585;55,8195;53,7463
