wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;% zaszczepionych;% zaszczepionych pe�n� dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2594;2454;68,2452;64,562
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1191850;1141935;66,4292;63,6471
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;349172;333548;65,6279;62,6913
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;12710;11782;66,6108;61,7473
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14344;13562;65,2861;61,7268
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;410959;394246;64,0195;61,4159
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;11723;11217;63,8473;61,0914
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;490332;469902;62,8658;60,2465
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;15608;14822;63,393;60,2006
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;53944;51444;62,5677;59,668
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;5958;5711;62,2245;59,6449
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;292623;280300;62,1538;59,5363
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11492;11013;62,0787;59,4911
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;18484;17528;62,0956;58,884
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17031;16303;61,4727;58,845
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3366;3221;61,2111;58,5743
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;777;753;60,2326;58,3721
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;13765;13143;61,0178;58,2606
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;19625;18634;61,2994;58,204
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2286;2102;63,2015;58,1145
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;14548;13780;61,3426;58,1042
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;17507;16653;60,5611;57,6069
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21096;20236;59,7858;57,3485
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;146618;139731;59,8517;57,0403
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6319;6015;59,839;56,9602
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;37611;35664;60,0594;56,9503
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;31800;30366;59,4071;56,7281
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14036;13428;59,2486;56,6821
