wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;% zaszczepionych;% zaszczepionych pe�n� dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2596;2456;68,2978;64,6146
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1193301;1143922;66,5101;63,7579
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;349527;334172;65,6946;62,8086
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14369;13586;65,3998;61,8361
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;12731;11795;66,7208;61,8154
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;411370;394783;64,0835;61,4996
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;11739;11233;63,9344;61,1786
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;491038;470889;62,9563;60,373
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;15628;14845;63,4743;60,2941
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;54002;51533;62,635;59,7713
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;5960;5714;62,2454;59,6762
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;293034;280789;62,2411;59,6402
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11503;11026;62,1381;59,5614
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;18513;17547;62,193;58,9478
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17043;16325;61,516;58,9244
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3369;3226;61,2657;58,6652
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2310;2117;63,8651;58,5292
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;778;754;60,3101;58,4496
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;13776;13165;61,0665;58,3581
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;19632;18649;61,3213;58,2508
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;14549;13783;61,3468;58,1169
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;17529;16683;60,6372;57,7107
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21121;20270;59,8566;57,4449
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;146784;139982;59,9194;57,1427
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;37679;35755;60,168;57,0956
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6321;6018;59,858;56,9886
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;31832;30419;59,4668;56,8271
