wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2701;2617;71,0602;68,8503
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13372;12840;70,0802;67,2921
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2503;2430;69,201;67,1827
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1239895;1203771;69,107;67,0936
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;15180;14708;69,0911;66,9428
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;363785;353385;68,3745;66,4198
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;427341;415777;66,5715;64,77
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12209;11873;66,4942;64,6642
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16293;15748;66,1752;63,9617
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;509175;496628;65,2817;63,673
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;56376;54720;65,3885;63,4678
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19431;18805;65,277;63,174
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6200;6038;64,752;63,0601
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15238;14948;64,252;63,0292
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;305210;296560;64,8273;62,99
