wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2692;2600;70,8235;68,4031
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13322;12794;69,8181;67,051
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1233798;1196657;68,7672;66,6971
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2479;2405;68,5375;66,4916
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;15080;14590;68,6359;66,4057
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;361939;351231;68,0275;66,0149
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;425455;413438;66,2777;64,4057
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12149;11803;66,1674;64,283
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16190;15670;65,7569;63,6449
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;507060;493787;65,0105;63,3088
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;56056;54385;65,0173;63,0792
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6160;5998;64,3342;62,6423
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15188;14854;64,0412;62,6328
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;303709;294755;64,5084;62,6066
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19316;18636;64,8907;62,6062
