wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2666;2556;70,1394;67,2455
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1219092;1179206;67,9476;65,7245
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;357675;345961;67,2261;65,0244
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14849;14254;67,5845;64,8764
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13024;12323;68,2564;64,5826
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2427;2325;67,0998;64,2798
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;420556;407309;65,5145;63,4509
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12013;11614;65,4267;63,2536
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16029;15373;65,103;62,4386
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;501903;486604;64,3493;62,3878
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;55369;53493;64,2205;62,0446
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6097;5922;63,6762;61,8486
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;300262;290359;63,7763;61,6729
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19060;18298;64,0306;61,4708
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;14998;14560;63,24;61,3932
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11755;11355;63,4994;61,3386
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3483;3370;63,3388;61,2839
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17423;16860;62,8876;60,8554
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14148;13668;62,7155;60,5878
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20108;19385;62,8081;60,5497
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;798;778;61,8605;60,3101
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;17977;17316;62,1869;59,9004
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6471;6224;61,8406;59,4801
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;38737;37236;61,8575;59,4606
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13296;12811;61,5271;59,2827
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1468;1412;61,5514;59,2034
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21598;20883;61,2084;59,1821
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;150442;144892;61,4127;59,1471
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;31948;30855;61,196;59,1024
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6485;6236;61,411;59,053
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;9283;8908;61,3752;58,8959
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;32599;31500;60,8997;58,8466
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;16430;15774;61,2785;58,8319
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14329;13905;60,4854;58,6957
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;16841;16287;60,6228;58,6285
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;13458;12944;60,7475;58,4274
4;kujawsko-pomorskie;403;bydgoski;403062;gm.w Osielsko;Bydgoski;15347;9144;8945;59,5817;58,285
24;śląskie;2401;będziński;2401042;gm.w Bobrowniki;Katowicki;12122;7314;7063;60,3366;58,266
32;zachodniopomorskie;3205;gryficki;3205072;gm.w Rewal;Szczeciński;3852;2310;2239;59,9688;58,1256
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;11697;11229;60,5247;58,1031
24;śląskie;2469;Katowice;2469011;Katowice;;290553;174326;168820;59,998;58,103
14;mazowieckie;1421;pruszkowski;1421052;gm.w Nadarzyn;Warszawski;14353;8670;8325;60,4055;58,0018
30;wielkopolskie;3021;poznański;3021052;gm.w Dopiewo;Poznański;29328;17535;17004;59,7893;57,9787
12;małopolskie;1206;krakowski;1206082;gm.w Michałowice;Krakowski;10909;6533;6307;59,8863;57,8146
10;łódzkie;1061;Łódź;1061011;Łódź;;672185;401172;387239;59,6818;57,609
4;kujawsko-pomorskie;401;aleksandrowski;401021;Ciechocinek;Włocławski;10534;6211;6065;58,9615;57,5755
30;wielkopolskie;3024;szamotulski;3024073;gm.m-w. Szamotuły;;30188;17948;17361;59,4541;57,5096
14;mazowieckie;1408;legionowski;1408022;gm.w Jabłonna;Warszawski;20096;11889;11517;59,161;57,3099
14;mazowieckie;1432;warszawski zachodni;1432072;gm.w Stare Babice;Warszawski;19605;11665;11235;59,5001;57,3068
24;śląskie;2401;będziński;2401062;gm.w Psary;Katowicki;12268;7254;7001;59,1294;57,0672
10;łódzkie;1002;kutnowski;1002011;Kutno;;43332;25614;24722;59,111;57,0525
14;mazowieckie;1417;otwocki;1417011;Józefów;Warszawski;20741;12288;11832;59,245;57,0464
14;mazowieckie;1412;miński;1412151;Sulejówek;Warszawski;19951;11760;11381;58,9444;57,0448
12;małopolskie;1206;krakowski;1206152;gm.w Wielka Wieś;Krakowski;13162;7771;7506;59,0412;57,0278
12;małopolskie;1213;oświęcimski;1213082;gm.w Przeciszów;Bielski;6739;3966;3840;58,8515;56,9817
14;mazowieckie;1405;grodziski;1405011;Milanówek;Warszawski;16478;9754;9386;59,1941;56,9608
30;wielkopolskie;3021;poznański;3021072;gm.w Komorniki;;31474;18574;17925;59,0138;56,9518
30;wielkopolskie;3021;poznański;3021123;gm.m-w. Pobiedziska;Poznański;19943;11877;11330;59,5547;56,8119
14;mazowieckie;1408;legionowski;1408032;gm.w Nieporęt;Warszawski;14841;8808;8429;59,3491;56,7954
14;mazowieckie;1432;warszawski zachodni;1432063;gm.m-w. Ożarów Mazowiecki;Warszawski;26151;15491;14850;59,2367;56,7856
32;zachodniopomorskie;3207;kamieński;3207013;gm.m-w. Dziwnów;Szczeciński;3939;2317;2236;58,822;56,7657
24;śląskie;2401;będziński;2401031;Wojkowice;Katowicki;8877;5209;5037;58,6797;56,7421
30;wielkopolskie;3001;chodzieski;3001011;Chodzież;Pilski;18229;10734;10337;58,8842;56,7063
