wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;% zaszczepionych;% zaszczepionych pe�n� dawk�
12;małopolskie;1206;krakowski;1206143;gm.m-w. Świątniki Górne;Krakowski;10302;5331;5177;51,7472;50,2524
8;lubuskie;810;żagański;810011;Gozdnica;Zielonogórski;2977;1542;1496;51,7971;50,2519
2;dolnośląskie;217;strzeliński;217012;gm.w Borów;Wrocławski;5238;2727;2632;52,0619;50,2482
14;mazowieckie;1438;żyrardowski;1438011;Żyrardów;;39550;20856;19873;52,7332;50,2478
12;małopolskie;1206;krakowski;1206072;gm.w Liszki;Krakowski;17495;9107;8788;52,0549;50,2315
26;świętokrzyskie;2605;konecki;2605033;gm.m-w. Końskie;;34857;18028;17505;51,7199;50,2195
30;wielkopolskie;3026;śremski;3026012;gm.w Brodnica;Poznański;4902;2572;2461;52,4684;50,204
30;wielkopolskie;3024;szamotulski;3024022;gm.w Duszniki;Poznański;9179;4845;4607;52,7835;50,1907
24;śląskie;2416;zawierciański;2416083;gm.m-w. Szczekociny;Częstochowski;7538;3882;3783;51,4991;50,1857
22;pomorskie;2215;wejherowski;2215031;Wejherowo;;49099;25455;24639;51,8442;50,1823
14;mazowieckie;1427;sierpecki;1427011;Sierpc;Płocki;17788;9295;8920;52,2543;50,1462
4;kujawsko-pomorskie;414;świecki;414093;gm.m-w. Świecie;;33851;17628;16972;52,0753;50,1374
6;lubelskie;619;włodawski;619011;Włodawa;Chełmski;12915;6649;6474;51,4828;50,1278
24;śląskie;2416;zawierciański;2416053;gm.m-w. Łazy;Katowicki;15851;8197;7945;51,7128;50,123
2;dolnośląskie;221;wałbrzyski;221042;gm.w Czarny Bór;Wałbrzyski;4882;2532;2447;51,864;50,1229
2;dolnośląskie;225;zgorzelecki;225021;Zgorzelec;Jeleniogórski;29810;15438;14940;51,788;50,1174
30;wielkopolskie;3003;gnieźnieński;3003053;gm.m-w. Kłecko;Poznański;7431;3880;3724;52,2137;50,1144
