wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;&_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
24;śląskie;2401;będziński;2401062;gm.w Psary;Katowicki;12268;7427;7225;60,5396;58,8931
24;śląskie;2401;będziński;2401031;Wojkowice;Katowicki;8877;5358;5222;60,3582;58,8262
30;wielkopolskie;3001;chodzieski;3001011;Chodzież;Pilski;18229;11033;10721;60,5244;58,8129
14;mazowieckie;1405;grodziski;1405011;Milanówek;Warszawski;16478;9998;9690;60,6748;58,8057
30;wielkopolskie;3021;poznański;3021033;gm.m-w. Buk;Poznański;12673;7803;7447;61,5718;58,7627
14;mazowieckie;1412;miński;1412151;Sulejówek;Warszawski;19951;12029;11722;60,2927;58,7539
4;kujawsko-pomorskie;401;aleksandrowski;401021;Ciechocinek;Włocławski;10534;6321;6188;60,0057;58,7431
12;małopolskie;1206;krakowski;1206152;gm.w Wielka Wieś;Krakowski;13162;7921;7730;60,1808;58,7297
14;mazowieckie;1434;wołomiński;1434041;Zielonka;Warszawski;17486;10594;10268;60,5856;58,7213
22;pomorskie;2204;gdański;2204011;Pruszcz Gdański;;31578;19041;18523;60,2983;58,6579
14;mazowieckie;1432;warszawski zachodni;1432042;gm.w Leszno;Warszawski;10165;6141;5959;60,4132;58,6227
12;małopolskie;1213;oświęcimski;1213082;gm.w Przeciszów;Bielski;6739;4031;3948;59,816;58,5844
14;mazowieckie;1414;nowodworski;1414011;Nowy Dwór Mazowiecki;Warszawski;28691;17316;16806;60,3534;58,5759
32;zachodniopomorskie;3207;kamieński;3207013;gm.m-w. Dziwnów;Szczeciński;3939;2379;2305;60,396;58,5174
30;wielkopolskie;3021;poznański;3021083;gm.m-w. Kostrzyn;Poznański;18764;11275;10929;60,0885;58,2445
30;wielkopolskie;3023;słupecki;3023011;Słupca;Koniński;13564;8088;7893;59,6284;58,1908
10;łódzkie;1020;zgierski;1020011;Głowno;Łódzki;13961;8561;8121;61,3208;58,1692
30;wielkopolskie;3025;średzki;3025043;gm.m-w. Środa Wielkopolska;;32874;19575;19122;59,5455;58,1675
10;łódzkie;1004;łęczycki;1004011;Łęczyca;Płocki;13786;8216;8012;59,5967;58,1169
4;kujawsko-pomorskie;461;Bydgoszcz;461011;Bydgoszcz;;344091;204641;199885;59,4729;58,0907
4;kujawsko-pomorskie;463;Toruń;463011;Toruń;;198613;118005;115221;59,4145;58,0128
22;pomorskie;2212;słupski;2212011;Ustka;Słupski;15199;9111;8813;59,9447;57,9841
30;wielkopolskie;3021;poznański;3021113;gm.m-w. Murowana Goślina;Poznański;16942;10145;9820;59,8808;57,9625
22;pomorskie;2208;lęborski;2208021;Łeba;Słupski;3541;2107;2051;59,503;57,9215
30;wielkopolskie;3021;poznański;3021103;gm.m-w. Mosina;;33767;20008;19552;59,2531;57,9027
30;wielkopolskie;3024;szamotulski;3024053;gm.m-w. Ostroróg;Poznański;4931;2930;2850;59,42;57,7976
12;małopolskie;1206;krakowski;1206103;gm.m-w. Skała;Krakowski;10553;6245;6096;59,1775;57,7656
32;zachodniopomorskie;3211;policki;3211012;gm.w Dobra (Szczecińska);Szczeciński;25061;14808;14461;59,0878;57,7032
24;śląskie;2475;Sosnowiec;2475011;Sosnowiec;;197586;116827;113992;59,1272;57,6923
30;wielkopolskie;3021;poznański;3021093;gm.m-w. Kórnik;;30909;18277;17801;59,1316;57,5916
10;łódzkie;1005;łowicki;1005011;Łowicz;Skierniewicki;27896;16493;16061;59,1232;57,5746
12;małopolskie;1206;krakowski;1206162;gm.w Zabierzów;Krakowski;27065;15918;15558;58,814;57,4838
30;wielkopolskie;3014;międzychodzki;3014012;gm.w Chrzypsko Wielkie;Poznański;3306;1955;1900;59,1349;57,4713
32;zachodniopomorskie;3262;Szczecin;3262011;Szczecin;;398255;234862;228633;58,9728;57,4087
8;lubuskie;862;Zielona Góra;862011;Zielona Góra;;140892;82940;80878;58,8678;57,4043
2;dolnośląskie;223;wrocławski;223022;gm.w Długołęka;;35144;20716;20173;58,9461;57,401
10;łódzkie;1020;zgierski;1020031;Zgierz;;55673;32947;31947;59,1795;57,3833
2;dolnośląskie;223;wrocławski;223083;gm.m-w. Siechnice;Wrocławski;24142;14263;13829;59,0796;57,2819
22;pomorskie;2211;pucki;2211031;Puck;Gdański;11139;6533;6365;58,6498;57,1416
12;małopolskie;1208;miechowski;1208042;gm.w Książ Wielki;Kielecki;5030;2973;2874;59,1054;57,1372
22;pomorskie;2204;gdański;2204032;gm.w Kolbudy;Gdański;18165;10701;10368;58,91;57,0768
4;kujawsko-pomorskie;411;radziejowski;411022;gm.w Bytoń;Włocławski;3411;1996;1946;58,5166;57,0507
30;wielkopolskie;3024;szamotulski;3024032;gm.w Kaźmierz;Poznański;8840;5225;5043;59,1063;57,0475
12;małopolskie;1206;krakowski;1206092;gm.w Mogilany;Krakowski;14423;8414;8225;58,3374;57,027
30;wielkopolskie;3014;międzychodzki;3014043;gm.m-w. Sieraków;Poznański;8641;5094;4927;58,9515;57,0189
24;śląskie;2401;będziński;2401021;Czeladź;;31039;18242;17682;58,7712;56,967
24;śląskie;2408;mikołowski;2408021;Mikołów;;41003;23883;23355;58,247;56,9592
14;mazowieckie;1418;piaseczyński;1418052;gm.w Prażmów;Warszawski;11363;6694;6472;58,9105;56,9568
2;dolnośląskie;206;karkonoski;206011;Karpacz;Jeleniogórski;4487;2607;2551;58,1012;56,8531
4;kujawsko-pomorskie;407;inowrocławski;407011;Inowrocław;;71674;41715;40743;58,201;56,8449
14;mazowieckie;1418;piaseczyński;1418013;gm.m-w. Góra Kalwaria;Warszawski;27044;15788;15371;58,3789;56,837
24;śląskie;2416;zawierciański;2416011;Poręba;Katowicki;8461;4907;4808;57,9955;56,8254
14;mazowieckie;1412;miński;1412011;Mińsk Mazowiecki;;40916;24081;23238;58,8547;56,7944
10;łódzkie;1063;Skierniewice;1063011;Skierniewice;;47655;27759;27052;58,2499;56,7663
14;mazowieckie;1417;otwocki;1417021;Otwock;;44317;25968;25152;58,596;56,7547
12;małopolskie;1213;oświęcimski;1213011;Oświęcim;;37569;21763;21300;57,9281;56,6957
22;pomorskie;2211;pucki;2211043;gm.m-w. Władysławowo;Gdański;15293;8892;8654;58,1442;56,588
24;śląskie;2465;Dąbrowa Górnicza;2465011;Dąbrowa Górnicza;;118285;68603;66895;57,9981;56,5541
14;mazowieckie;1408;legionowski;1408043;gm.m-w. Serock;Warszawski;15363;8935;8680;58,1592;56,4994
26;świętokrzyskie;2609;sandomierski;2609093;gm.m-w. Zawichost;Tarnobrzeski;4328;2500;2445;57,7634;56,4926
2;dolnośląskie;221;wałbrzyski;221031;Szczawno-Zdrój;Wałbrzyski;5534;3214;3126;58,0773;56,4872
14;mazowieckie;1414;nowodworski;1414052;gm.w Pomiechówek;Warszawski;9086;5297;5131;58,2985;56,4715
24;śląskie;2401;będziński;2401011;Będzin;;56008;32503;31588;58,0328;56,3991
12;małopolskie;1215;suski;1215021;Sucha Beskidzka;Bielski;9044;5199;5100;57,4856;56,391
14;mazowieckie;1434;wołomiński;1434031;Ząbki;;38546;22380;21732;58,0605;56,3794
14;mazowieckie;1462;Płock;1462011;Płock;;118268;68034;66548;57,5253;56,2688
4;kujawsko-pomorskie;418;włocławski;418011;Kowal;Włocławski;3468;2000;1951;57,6701;56,2572
16;opolskie;1661;Opole;1661011;Opole;;127839;73657;71852;57,617;56,2051
4;kujawsko-pomorskie;412;rypiński;412011;Rypin;Włocławski;15999;9186;8989;57,4161;56,1848
32;zachodniopomorskie;3208;kołobrzeski;3208011;Kołobrzeg;;46198;26677;25955;57,7449;56,1821
8;lubuskie;811;żarski;811011;Łęknica;Zielonogórski;2396;1379;1345;57,5543;56,1352
4;kujawsko-pomorskie;401;aleksandrowski;401011;Aleksandrów Kujawski;Włocławski;12058;6935;6766;57,5137;56,1121
24;śląskie;2405;gliwicki;2405032;gm.w Gierałtowice;Katowicki;12252;7038;6874;57,4437;56,1051
24;śląskie;2477;Tychy;2477011;Tychy;;126871;73077;71127;57,5995;56,0625
28;warmińsko-mazurskie;2862;Olsztyn;2862011;Olsztyn;;171249;98771;95950;57,6768;56,0295
4;kujawsko-pomorskie;403;bydgoski;403012;gm.w Białe Błota;Bydgoski;23206;13303;13001;57,3257;56,0243
24;śląskie;2401;będziński;2401073;gm.m-w. Siewierz;Katowicki;12387;7107;6938;57,3747;56,0103
12;małopolskie;1213;oświęcimski;1213072;gm.w Polanka Wielka;Bielski;4318;2461;2418;56,994;55,9981
4;kujawsko-pomorskie;403;bydgoski;403083;gm.m-w. Solec Kujawski;Bydgoski;16777;9587;9390;57,1437;55,9695
30;wielkopolskie;3003;gnieźnieński;3003011;Gniezno;;67570;38836;37808;57,4752;55,9538
24;śląskie;2402;bielski;2402022;gm.w Bestwina;Katowicki;11950;6867;6685;57,4644;55,9414
30;wielkopolskie;3005;grodziski;3005012;gm.w Granowo;Poznański;5087;2964;2845;58,2662;55,9269
28;warmińsko-mazurskie;2803;działdowski;2803011;Działdowo;Ciechanowski;21145;12108;11824;57,2618;55,9187
30;wielkopolskie;3030;wrzesiński;3030033;gm.m-w. Nekla;Poznański;7617;4367;4258;57,3323;55,9013
26;świętokrzyskie;2602;jędrzejowski;2602023;gm.m-w. Jędrzejów;Kielecki;27715;15808;15481;57,0377;55,8578
22;pomorskie;2211;pucki;2211052;gm.w Kosakowo;Gdański;16419;9474;9168;57,7014;55,8377
2;dolnośląskie;223;wrocławski;223043;gm.m-w. Kąty Wrocławskie;Wrocławski;26032;15036;14529;57,7597;55,8121
2;dolnośląskie;223;wrocławski;223012;gm.w Czernica;Wrocławski;17638;10091;9834;57,2117;55,7546
24;śląskie;2466;Gliwice;2466011;Gliwice;;177049;100895;98683;56,987;55,7377
14;mazowieckie;1405;grodziski;1405043;gm.m-w. Grodzisk Mazowiecki;;49948;28723;27835;57,5058;55,728
24;śląskie;2401;będziński;2401052;gm.w Mierzęcice;Katowicki;7623;4360;4247;57,1953;55,713
22;pomorskie;2203;człuchowski;2203011;Człuchów;Słupski;13479;7702;7500;57,1407;55,6421
4;kujawsko-pomorskie;407;inowrocławski;407063;gm.m-w. Kruszwica;Bydgoski;19012;10853;10576;57,085;55,628
10;łódzkie;1005;łowicki;1005092;gm.w Nieborów;Skierniewicki;9357;5365;5204;57,3368;55,6161
12;małopolskie;1213;oświęcimski;1213062;gm.w Oświęcim;Bielski;18629;10690;10359;57,3836;55,6068
