wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2620;2488;68,9292;65,4565
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1199334;1152281;66,8463;64,2238
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;351488;336962;66,0632;63,333
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;12836;11970;67,2711;62,7326
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14479;13743;65,9005;62,5506
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;413564;397916;64,4253;61,9876
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;11836;11364;64,4627;61,8921
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;15738;15020;63,921;61,0048
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;493440;474297;63,2643;60,81
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;54299;51996;62,9795;60,3083
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;5994;5764;62,6005;60,1984
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;294814;283080;62,6191;60,1268
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11552;11106;62,4028;59,9935
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;18632;17737;62,5928;59,5861
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2345;2155;64,8327;59,5798
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3405;3269;61,9203;59,4472
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17120;16449;61,7939;59,372
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;13873;13285;61,4965;58,89
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;19765;18847;61,7367;58,8693
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;14607;13905;61,5913;58,6313
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;780;756;60,4651;58,6047
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;17624;16814;60,9658;58,1638
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21226;20415;60,1542;57,8558
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;38004;36121;60,687;57,6801
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;147686;141102;60,2876;57,5999
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6357;6020;60,7511;57,5306
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6368;6063;60,303;57,4148
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13009;12399;60,199;57,3762
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1440;1368;60,3774;57,3585
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;31332;29906;60,0161;57,2846
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14105;13562;59,5399;57,2478
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;31981;30583;59,7452;57,1335
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;16095;15316;60,0291;57,1237
4;kujawsko-pomorskie;403;bydgoski;403062;gm.w Osielsko;Bydgoski;15347;9015;8763;58,7411;57,0991
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;16493;15806;59,3701;56,897
24;śląskie;2401;będziński;2401042;gm.w Bobrowniki;Katowicki;12122;7145;6880;58,9424;56,7563
24;śląskie;2469;Katowice;2469011;Katowice;;290553;171388;164834;58,9868;56,7311
30;wielkopolskie;3021;poznański;3021052;gm.w Dopiewo;Poznański;29328;17245;16537;58,8005;56,3864
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;8993;8522;59,4579;56,3438
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;11452;10883;59,257;56,3127
4;kujawsko-pomorskie;401;aleksandrowski;401021;Ciechocinek;Włocławski;10534;6127;5923;58,164;56,2275
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;13064;12455;58,969;56,2201
10;łódzkie;1061;Łódź;1061011;Łódź;;672185;393827;377347;58,5891;56,1374
12;małopolskie;1206;krakowski;1206082;gm.w Michałowice;Krakowski;10909;6405;6094;58,713;55,8621
