wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;% zaszczepionych;% zaszczepionych pe�n� dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2596;2454;68,2978;64,562
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1192453;1142712;66,4628;63,6904
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;349282;333736;65,6486;62,7267
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;12722;11793;66,6737;61,8049
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14358;13573;65,3498;61,7769
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;411171;394478;64,0525;61,4521
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;11734;11227;63,9072;61,1459
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;490616;470201;62,9022;60,2848
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;15620;14830;63,4418;60,2331
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;53969;51486;62,5967;59,7168
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;5958;5711;62,2245;59,6449
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;292781;280450;62,1873;59,5682
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11497;11019;62,1057;59,5236
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;18499;17539;62,146;58,921
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17035;16308;61,4871;58,863
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3368;3224;61,2475;58,6288
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;777;753;60,2326;58,3721
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;13774;13155;61,0577;58,3138
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2303;2106;63,6716;58,225
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;19627;18636;61,3056;58,2102
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;14548;13781;61,3426;58,1084
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;17526;16680;60,6268;57,7003
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21108;20250;59,8198;57,3882
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;146673;139821;59,8741;57,077
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;37657;35703;60,1329;57,0126
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6319;6016;59,839;56,9697
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;31812;30398;59,4295;56,7879
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14040;13436;59,2655;56,7159
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;12890;12236;59,6483;56,6219
4;kujawsko-pomorskie;403;bydgoski;403062;gm.w Osielsko;Bydgoski;15347;8966;8688;58,4218;56,6104
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6290;5923;60,1109;56,6036
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;15974;15160;59,5778;56,5418
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;31141;29498;59,6502;56,5031
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1428;1347;59,8742;56,478
24;śląskie;2401;będziński;2401042;gm.w Bobrowniki;Katowicki;12122;7107;6816;58,6289;56,2283
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;16385;15619;58,9813;56,2239
24;śląskie;2469;Katowice;2469011;Katowice;;290553;170219;163333;58,5845;56,2145
30;wielkopolskie;3021;poznański;3021052;gm.w Dopiewo;Poznański;29328;17148;16419;58,4697;55,984
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;8947;8453;59,1537;55,8876
4;kujawsko-pomorskie;401;aleksandrowski;401021;Ciechocinek;Włocławski;10534;6088;5886;57,7938;55,8762
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;11385;10787;58,9103;55,816
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;12985;12317;58,6124;55,5972
10;łódzkie;1061;Łódź;1061011;Łódź;;672185;391159;373671;58,1922;55,5905
12;małopolskie;1206;krakowski;1206082;gm.w Michałowice;Krakowski;10909;6366;6029;58,3555;55,2663
14;mazowieckie;1408;legionowski;1408022;gm.w Jabłonna;Warszawski;20096;11619;11086;57,8175;55,1652
24;śląskie;2401;będziński;2401062;gm.w Psary;Katowicki;12268;7078;6760;57,6948;55,1027
14;mazowieckie;1421;pruszkowski;1421052;gm.w Nadarzyn;Warszawski;14353;8348;7898;58,1621;55,0268
14;mazowieckie;1412;miński;1412151;Sulejówek;Warszawski;19951;11475;10974;57,5159;55,0048
14;mazowieckie;1432;warszawski zachodni;1432072;gm.w Stare Babice;Warszawski;19605;11359;10774;57,9393;54,9554
12;małopolskie;1213;oświęcimski;1213082;gm.w Przeciszów;Bielski;6739;3866;3700;57,3676;54,9043
14;mazowieckie;1408;legionowski;1408032;gm.w Nieporęt;Warszawski;14841;8582;8148;57,8263;54,902
12;małopolskie;1206;krakowski;1206152;gm.w Wielka Wieś;Krakowski;13162;7574;7226;57,5444;54,9005
14;mazowieckie;1417;otwocki;1417011;Józefów;Warszawski;20741;11959;11383;57,6587;54,8816
30;wielkopolskie;3024;szamotulski;3024073;gm.m-w. Szamotuły;;30188;17438;16550;57,7647;54,8231
10;łódzkie;1002;kutnowski;1002011;Kutno;;43332;24912;23740;57,491;54,7863
32;zachodniopomorskie;3205;gryficki;3205072;gm.w Rewal;Szczeciński;3852;2223;2109;57,7103;54,7508
4;kujawsko-pomorskie;463;Toruń;463011;Toruń;;198613;112670;108389;56,7284;54,573
14;mazowieckie;1405;grodziski;1405011;Milanówek;Warszawski;16478;9503;8985;57,6708;54,5272
30;wielkopolskie;3021;poznański;3021072;gm.w Komorniki;;31474;18078;17160;57,4379;54,5212
22;pomorskie;2208;lęborski;2208021;Łeba;Słupski;3541;1995;1930;56,34;54,5044
4;kujawsko-pomorskie;461;Bydgoszcz;461011;Bydgoszcz;;344091;194804;187282;56,6141;54,428
14;mazowieckie;1434;wołomiński;1434041;Zielonka;Warszawski;17486;9988;9515;57,12;54,415
14;mazowieckie;1414;nowodworski;1414011;Nowy Dwór Mazowiecki;Warszawski;28691;16401;15598;57,1643;54,3655
32;zachodniopomorskie;3207;kamieński;3207013;gm.m-w. Dziwnów;Szczeciński;3939;2248;2141;57,0703;54,3539
12;małopolskie;1206;krakowski;1206103;gm.m-w. Skała;Krakowski;10553;6001;5715;56,8653;54,1552
14;mazowieckie;1432;warszawski zachodni;1432063;gm.m-w. Ożarów Mazowiecki;Warszawski;26151;14932;14133;57,0992;54,0438
30;wielkopolskie;3001;chodzieski;3001011;Chodzież;Pilski;18229;10361;9851;56,838;54,0403
24;śląskie;2475;Sosnowiec;2475011;Sosnowiec;;197586;111238;106736;56,2985;54,02
2;dolnośląskie;223;wrocławski;223022;gm.w Długołęka;;35144;19817;18948;56,388;53,9153
14;mazowieckie;1432;warszawski zachodni;1432042;gm.w Leszno;Warszawski;10165;5734;5477;56,4092;53,881
22;pomorskie;2204;gdański;2204011;Pruszcz Gdański;;31578;17880;16917;56,6217;53,5721
32;zachodniopomorskie;3211;policki;3211012;gm.w Dobra (Szczecińska);Szczeciński;25061;14053;13416;56,0752;53,5334
12;małopolskie;1206;krakowski;1206162;gm.w Zabierzów;Krakowski;27065;15134;14470;55,9172;53,4639
2;dolnośląskie;221;wałbrzyski;221031;Szczawno-Zdrój;Wałbrzyski;5534;3076;2958;55,5837;53,4514
8;lubuskie;862;Zielona Góra;862011;Zielona Góra;;140892;78489;75276;55,7086;53,4282
10;łódzkie;1005;łowicki;1005011;Łowicz;Skierniewicki;27896;15637;14902;56,0546;53,4198
24;śląskie;2408;mikołowski;2408021;Mikołów;;41003;22802;21901;55,6106;53,4132
30;wielkopolskie;3021;poznański;3021103;gm.m-w. Mosina;;33767;18951;18024;56,1228;53,3776
24;śląskie;2401;będziński;2401031;Wojkowice;Katowicki;8877;5017;4737;56,5168;53,3626
22;pomorskie;2212;słupski;2212011;Ustka;Słupski;15199;8547;8108;56,234;53,3456
32;zachodniopomorskie;3262;Szczecin;3262011;Szczecin;;398255;222063;212391;55,759;53,3304
2;dolnośląskie;223;wrocławski;223083;gm.m-w. Siechnice;Wrocławski;24142;13506;12875;55,944;53,3303
30;wielkopolskie;3023;słupecki;3023011;Słupca;Koniński;13564;7575;7231;55,8464;53,3102
14;mazowieckie;1417;otwocki;1417043;gm.m-w. Karczew;Warszawski;15930;9037;8492;56,7294;53,3082
24;śląskie;2401;będziński;2401021;Czeladź;;31039;17356;16538;55,9167;53,2814
10;łódzkie;1063;Skierniewice;1063011;Skierniewice;;47655;26537;25390;55,6857;53,2788
10;łódzkie;1004;łęczycki;1004011;Łęczyca;Płocki;13786;7739;7342;56,1367;53,2569
12;małopolskie;1206;krakowski;1206092;gm.w Mogilany;Krakowski;14423;7978;7667;55,3144;53,1582
30;wielkopolskie;3021;poznański;3021123;gm.m-w. Pobiedziska;Poznański;19943;11324;10598;56,7818;53,1415
30;wielkopolskie;3021;poznański;3021083;gm.m-w. Kostrzyn;Poznański;18764;10612;9963;56,5551;53,0964
14;mazowieckie;1414;nowodworski;1414052;gm.w Pomiechówek;Warszawski;9086;5039;4823;55,4589;53,0817
30;wielkopolskie;3021;poznański;3021093;gm.m-w. Kórnik;;30909;17271;16401;55,8769;53,0622
12;małopolskie;1213;oświęcimski;1213011;Oświęcim;;37569;20778;19932;55,3062;53,0544
30;wielkopolskie;3021;poznański;3021033;gm.m-w. Buk;Poznański;12673;7310;6717;57,6817;53,0024
4;kujawsko-pomorskie;407;inowrocławski;407011;Inowrocław;;71674;39537;37937;55,1623;52,9299
10;łódzkie;1020;zgierski;1020031;Zgierz;;55673;31184;29465;56,0128;52,9251
14;mazowieckie;1418;piaseczyński;1418052;gm.w Prażmów;Warszawski;11363;6334;6007;55,7423;52,8646
30;wielkopolskie;3024;szamotulski;3024053;gm.m-w. Ostroróg;Poznański;4931;2740;2606;55,5668;52,8493
12;małopolskie;1208;miechowski;1208042;gm.w Książ Wielki;Kielecki;5030;2827;2657;56,2028;52,8231
24;śląskie;2416;zawierciański;2416011;Poręba;Katowicki;8461;4654;4469;55,0053;52,8188
16;opolskie;1661;Opole;1661011;Opole;;127839;70334;67477;55,0176;52,7828
14;mazowieckie;1418;piaseczyński;1418013;gm.m-w. Góra Kalwaria;Warszawski;27044;14971;14256;55,3579;52,7141
30;wielkopolskie;3021;poznański;3021113;gm.m-w. Murowana Goślina;Poznański;16942;9405;8922;55,5129;52,662
4;kujawsko-pomorskie;418;włocławski;418011;Kowal;Włocławski;3468;1894;1826;54,6136;52,6528
22;pomorskie;2211;pucki;2211031;Puck;Gdański;11139;6151;5864;55,2204;52,6439
24;śląskie;2465;Dąbrowa Górnicza;2465011;Dąbrowa Górnicza;;118285;65110;62235;55,045;52,6144
30;wielkopolskie;3025;średzki;3025043;gm.m-w. Środa Wielkopolska;;32874;18468;17289;56,1781;52,5917
4;kujawsko-pomorskie;403;bydgoski;403083;gm.m-w. Solec Kujawski;Bydgoski;16777;9169;8809;54,6522;52,5064
14;mazowieckie;1417;otwocki;1417021;Otwock;;44317;24572;23248;55,446;52,4584
30;wielkopolskie;3024;szamotulski;3024032;gm.w Kaźmierz;Poznański;8840;4877;4632;55,1697;52,3982
14;mazowieckie;1412;miński;1412011;Mińsk Mazowiecki;;40916;22749;21426;55,5993;52,3658
28;warmińsko-mazurskie;2862;Olsztyn;2862011;Olsztyn;;171249;93891;89666;54,8272;52,36
24;śląskie;2401;będziński;2401011;Będzin;;56008;30792;29317;54,9779;52,3443
24;śląskie;2405;gliwicki;2405032;gm.w Gierałtowice;Katowicki;12252;6687;6413;54,5788;52,3425
2;dolnośląskie;223;wrocławski;223012;gm.w Czernica;Wrocławski;17638;9618;9221;54,53;52,2792
24;śląskie;2466;Gliwice;2466011;Gliwice;;177049;96298;92556;54,3906;52,2771
14;mazowieckie;1462;Płock;1462011;Płock;;118268;64286;61801;54,3562;52,255
4;kujawsko-pomorskie;401;aleksandrowski;401011;Aleksandrów Kujawski;Włocławski;12058;6592;6295;54,6691;52,206
22;pomorskie;2204;gdański;2204032;gm.w Kolbudy;Gdański;18165;10096;9478;55,5794;52,1773
14;mazowieckie;1408;legionowski;1408043;gm.m-w. Serock;Warszawski;15363;8395;8013;54,6443;52,1578
4;kujawsko-pomorskie;403;bydgoski;403012;gm.w Białe Błota;Bydgoski;23206;12644;12073;54,4859;52,0253
24;śląskie;2401;będziński;2401073;gm.m-w. Siewierz;Katowicki;12387;6702;6430;54,1051;51,9093
