wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2712;2607;71,3496;68,5872
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13463;13041;70,5571;68,3455
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2508;2434;69,3392;67,2933
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;15244;14751;69,3824;67,1385
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1242148;1201367;69,2326;66,9596
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;364696;352453;68,5457;66,2446
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;428338;415306;66,7268;64,6967
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12240;11840;66,663;64,4845
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16311;15729;66,2483;63,8845
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;510401;496050;65,4389;63,5989
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;56505;54723;65,5381;63,4712
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19484;18810;65,455;63,1908
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6213;6036;64,8877;63,0392
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;305869;295335;64,9672;62,7298
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15275;14859;64,408;62,6539
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3560;3445;64,739;62,6478
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11936;11536;64,4771;62,3163
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17838;17241;64,3855;62,2306
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14521;14008;64,369;62,095
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20506;19828;64,0512;61,9335
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;814;796;63,1008;61,7054
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1517;1462;63,6059;61,2998
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18330;17682;63,4081;61,1665
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13637;13209;63,105;61,1245
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;39765;38255;63,499;61,0878
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6581;6358;62,8918;60,7607
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;9504;9173;62,8364;60,6479
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6615;6386;62,642;60,4735
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;153634;147933;62,7157;60,3885
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;32621;31526;62,4852;60,3877
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;33328;32266;62,2616;60,2776
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;16758;16145;62,5019;60,2156
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;17207;16703;61,9402;60,126
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;13764;13293;62,1287;60,0027
14;mazowieckie;1421;pruszkowski;1421052;gm.w Nadarzyn;Warszawski;14353;8930;8598;62,217;59,9039
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14568;14191;61,4943;59,9029
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;22005;21128;62,3618;59,8764
32;zachodniopomorskie;3205;gryficki;3205072;gm.w Rewal;Szczeciński;3852;2402;2306;62,3572;59,865
24;śląskie;2401;będziński;2401042;gm.w Bobrowniki;Katowicki;12122;7422;7231;61,2275;59,6519
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;11928;11496;61,72;59,4846
12;małopolskie;1206;krakowski;1206082;gm.w Michałowice;Krakowski;10909;6676;6479;61,1972;59,3913
24;śląskie;2469;Katowice;2469011;Katowice;;290553;177559;172317;61,1107;59,3066
30;wielkopolskie;3024;szamotulski;3024073;gm.m-w. Szamotuły;;30188;18420;17900;61,0176;59,2951
30;wielkopolskie;3021;poznański;3021052;gm.w Dopiewo;Poznański;29328;17904;17389;61,0475;59,2915
4;kujawsko-pomorskie;403;bydgoski;403062;gm.w Osielsko;Bydgoski;15347;9270;9036;60,4027;58,878
10;łódzkie;1061;Łódź;1061011;Łódź;;672185;408947;395428;60,8385;58,8273
30;wielkopolskie;3021;poznański;3021123;gm.m-w. Pobiedziska;Poznański;19943;12201;11731;61,1794;58,8226
14;mazowieckie;1432;warszawski zachodni;1432072;gm.w Stare Babice;Warszawski;19605;11943;11523;60,9181;58,7758
14;mazowieckie;1432;warszawski zachodni;1432063;gm.m-w. Ożarów Mazowiecki;Warszawski;26151;15897;15358;60,7893;58,7282
10;łódzkie;1002;kutnowski;1002011;Kutno;;43332;26161;25362;60,3734;58,5295
14;mazowieckie;1408;legionowski;1408022;gm.w Jabłonna;Warszawski;20096;12169;11753;60,5543;58,4843
14;mazowieckie;1417;otwocki;1417011;Józefów;Warszawski;20741;12580;12116;60,6528;58,4157
24;śląskie;2401;będziński;2401062;gm.w Psary;Katowicki;12268;7409;7164;60,3929;58,3958
