wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2715;2631;71,4286;69,2186
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13476;13080;70,6252;68,5499
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2523;2457;69,7539;67,9292
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;15331;14847;69,7783;67,5754
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1245388;1211358;69,4132;67,5165
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;365580;355665;68,7118;66,8483
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;429264;418193;66,8711;65,1464
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12258;11928;66,7611;64,9638
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16359;15832;66,4433;64,3028
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;511485;499593;65,5779;64,0532
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;56637;55083;65,6912;63,8888
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19528;18934;65,6028;63,6074
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15326;15053;64,623;63,4719
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6227;6070;65,0339;63,3943
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;306757;298422;65,1559;63,3855
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11967;11656;64,6446;62,9646
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3565;3456;64,83;62,8478
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17891;17405;64,5768;62,8226
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14559;14114;64,5374;62,5648
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20551;19932;64,1918;62,2583
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;817;799;63,3333;61,938
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18392;17808;63,6225;61,6023
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1522;1469;63,8155;61,5933
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;39867;38509;63,6619;61,4934
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13670;13279;63,2578;61,4484
