wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;% zaszczepionych;% zaszczepionych pe�n� dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2678;2577;70,4551;67,7979
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13258;12691;69,4827;66,5112
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1225433;1187136;68,301;66,1665
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14964;14405;68,108;65,5637
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;359545;348273;67,5775;65,4589
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2450;2365;67,7357;65,3857
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;422800;410131;65,8641;63,8905
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12061;11683;65,6881;63,6294
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16095;15510;65,371;62,995
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;504317;490066;64,6588;62,8317
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;55678;53878;64,5789;62,4912
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6115;5952;63,8642;62,1619
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;301781;292241;64,0989;62,0726
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19148;18447;64,3263;61,9713
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15061;14669;63,5057;61,8528
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3495;3396;63,557;61,7567
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11809;11420;63,7911;61,6897
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17557;16997;63,3712;61,3499
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14249;13773;63,1633;61,0532
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20205;19542;63,111;61,0401
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;804;787;62,3256;61,0078
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18050;17416;62,4395;60,2463
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;39018;37615;62,3062;60,0658
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13387;12922;61,9482;59,7964
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6488;6251;62,0031;59,7381
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1477;1423;61,9287;59,6646
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;9338;9018;61,7388;59,6231
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;151277;146048;61,7535;59,619
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21718;21027;61,5485;59,5902
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;32119;31059;61,5236;59,4932
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6516;6280;61,7045;59,4697
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;32860;31758;61,3873;59,3286
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;16518;15880;61,6067;59,2272
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;16927;16414;60,9323;59,0857
