wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2700;2609;71,0339;68,6398
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13357;12821;70,0016;67,1925
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1236586;1199960;68,9226;66,8812
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2500;2418;69,1181;66,851
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;15110;14632;68,7725;66,5969
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;362773;352265;68,1843;66,2093
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;426362;414509;66,419;64,5725
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12171;11826;66,2872;64,4083
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16229;15699;65,9153;63,7626
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;507987;495114;65,1294;63,4789
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;56186;54539;65,1681;63,2578
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19366;18708;65,0586;62,8481
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6173;6014;64,47;62,8094
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;304405;295545;64,6563;62,7744
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15205;14887;64,1128;62,772
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11895;11548;64,2556;62,3812
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3535;3423;64,2844;62,2477
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17752;17194;64,0751;62,061
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14397;13922;63,8193;61,7137
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20389;19749;63,6858;61,6867
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;807;791;62,5581;61,3178
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18237;17636;63,0863;61,0073
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13543;13130;62,6701;60,7589
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;39458;38034;63,0088;60,7349
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6551;6337;62,6051;60,56
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1498;1439;62,8092;60,3354
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;9411;9123;62,2215;60,3174
