wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2621;2492;68,9555;65,5617
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1200562;1153899;66,9148;64,3139
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;351858;337526;66,1328;63,439
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;12845;11987;67,3183;62,8217
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14529;13780;66,1281;62,719
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;414039;398474;64,4993;62,0746
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;11846;11378;64,5172;61,9683
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;15749;15031;63,9657;61,0495
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;493962;475083;63,3312;60,9107
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;54368;52076;63,0595;60,4011
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;5997;5771;62,6319;60,2715
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;295205;283524;62,7022;60,2211
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11561;11117;62,4514;60,0529
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;18649;17764;62,6499;59,6768
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2348;2158;64,9157;59,6627
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3411;3276;62,0295;59,5745
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17138;16470;61,8589;59,4478
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;13888;13301;61,563;58,9609
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;19783;18867;61,7929;58,9318
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;14632;13918;61,6967;58,6861
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;783;757;60,6977;58,6822
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;17653;16861;61,0661;58,3264
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21254;20439;60,2335;57,9238
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;38028;36159;60,7253;57,7408
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;147851;141334;60,355;57,6946
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6359;6027;60,7703;57,5975
