wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2668;2562;70,1921;67,4033
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1220141;1180580;68,006;65,801
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;357945;346342;67,2768;65,096
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14871;14266;67,6847;64,931
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13037;12353;68,3245;64,7398
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2430;2331;67,1827;64,4457
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;420970;407879;65,579;63,5397
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12020;11623;65,4648;63,3027
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16034;15387;65,1233;62,4954
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;502295;487187;64,3996;62,4626
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;55411;53532;64,2692;62,0898
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6100;5929;63,7076;61,9217
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;300511;290704;63,8292;61,7462
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3483;3389;63,3388;61,6294
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19075;18311;64,081;61,5144
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;14998;14580;63,24;61,4775
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11766;11367;63,5588;61,4034
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17445;16882;62,967;60,9348
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20138;19430;62,9018;60,6903
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14171;13689;62,8175;60,6809
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;798;779;61,8605;60,3876
