wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2636;2509;69,3502;66,0089
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1206129;1161841;67,2251;64,7566
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;353555;340075;66,4517;63,9181
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14633;13941;66,6014;63,4518
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;12884;12050;67,5227;63,1518
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;416052;401305;64,8129;62,5156
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;11909;11468;64,8603;62,4585
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;15856;15147;64,4003;61,5207
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;496374;478597;63,6405;61,3613
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;54680;52512;63,4214;60,9068
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6021;5827;62,8825;60,8564
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2376;2201;65,6898;60,8515
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;296788;285746;63,0384;60,6931
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11613;11178;62,7323;60,3825
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;18781;17938;63,0934;60,2614
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;14793;14214;62,3756;59,9342
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17230;16563;62,1909;59,7834
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3424;3287;62,2659;59,7745
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;785;767;60,8527;59,4574
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;13968;13405;61,9176;59,422
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;19855;19017;62,0178;59,4003
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;17725;16999;61,3152;58,8038
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;38272;36542;61,1149;58,3524
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21363;20573;60,5424;58,3036
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;148674;142493;60,6909;58,1678
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13120;12564;60,7126;58,1398
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6390;6078;61,0665;58,0849
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6416;6133;60,7576;58,0777
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1445;1380;60,587;57,8616
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;9158;8741;60,5488;57,7917
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14169;13688;59,81;57,7797
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;31525;30153;60,3858;57,7577
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;32208;30893;60,1693;57,7126
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;16186;15467;60,3685;57,6869
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;16616;15985;59,8128;57,5414
4;kujawsko-pomorskie;403;bydgoski;403062;gm.w Osielsko;Bydgoski;15347;9058;8816;59,0213;57,4445
24;śląskie;2401;będziński;2401042;gm.w Bobrowniki;Katowicki;12122;7220;6955;59,5611;57,375
24;śląskie;2469;Katowice;2469011;Katowice;;290553;172441;166451;59,3492;57,2877
30;wielkopolskie;3021;poznański;3021052;gm.w Dopiewo;Poznański;29328;17350;16742;59,1585;57,0854
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;13205;12634;59,6055;57,0281
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;11545;11013;59,7382;56,9854
14;mazowieckie;1421;pruszkowski;1421052;gm.w Nadarzyn;Warszawski;14353;8527;8134;59,4092;56,6711
4;kujawsko-pomorskie;401;aleksandrowski;401021;Ciechocinek;Włocławski;10534;6169;5965;58,5627;56,6262
10;łódzkie;1061;Łódź;1061011;Łódź;;672185;396186;380513;58,94;56,6084
12;małopolskie;1206;krakowski;1206082;gm.w Michałowice;Krakowski;10909;6457;6167;59,1897;56,5313
32;zachodniopomorskie;3205;gryficki;3205072;gm.w Rewal;Szczeciński;3852;2267;2172;58,8525;56,3863
14;mazowieckie;1432;warszawski zachodni;1432072;gm.w Stare Babice;Warszawski;19605;11514;11050;58,7299;56,3632
