teryt,powiat,%_glosy
1605,krapkowicki,5.947019867549669
1606,namysłowski,5.589960886571056
1607,nyski,5.0882211041422565
1608,oleski,5.639396346306593
1609,opolski,5.375799404799595
1610,prudnicki,5.470469767224017
1611,strzelecki,5.276872964169381
1661,Opole,5.992924165512998
1801,bieszczadzki,7.702060221870048
1802,brzozowski,6.575437380911138
1803,dębicki,7.145687073105023
1804,jarosławski,6.119424828948813
1805,jasielski,7.233639805300163
1806,kolbuszowski,9.80729777256741
1807,krośnieński,7.050672462980573
1808,leżajski,7.953645948769908
1809,lubaczowski,6.915879973027647
1810,łańcucki,8.527939420120449
1811,mielecki,6.451766422894491
1812,niżański,8.371798033895917
1813,przemyski,7.1766029246344205
1814,przeworski,6.0744888436413
1815,ropczycko-sędziszowski,7.265174635469651
1816,rzeszowski,8.561548261845537
1817,sanocki,5.859288847501654
1818,stalowowolski,8.580299785867238
1819,strzyżowski,8.848314606741573
1820,tarnobrzeski,6.405435432868986
1821,leski,6.145134228187919
1861,Krosno,7.800465699444743
1862,Przemyśl,8.373681642457681
1863,Rzeszów,9.903396318123821
1864,Tarnobrzeg,8.020177711958535
2001,augustowski,5.835196827138096
2002,białostocki,7.584698195216028
2003,bielski,4.49824091137544
2004,grajewski,7.428325533860471
2005,hajnowski,5.668728366339443
2006,kolneński,5.610865695259445
2007,łomżyński,5.86589616584113
2008,moniecki,6.413587679827619
2009,sejneński,5.461102524471921
2010,siemiatycki,5.600313304240797
2011,sokólski,7.400050561594858
2012,suwalski,6.596711669562892
2013,wysokomazowiecki,5.531224042890584
2014,zambrowski,5.585888282234356
2061,Białystok,8.429451949967303
2062,Łomża,6.384849261877725
2063,Suwałki,7.1007511705460296
2201,bytowski,6.651104886399003
2202,chojnicki,7.154314289757985
2203,człuchowski,6.3546798029556655
2204,gdański,8.333951074870274
2205,kartuski,7.423025642615732
2206,kościerski,7.609785746846984
2207,kwidzyński,7.907602053287705
2208,lęborski,7.800570001055558
2209,malborski,7.215018094089263
2210,nowodworski,6.3954252662021815
2211,pucki,7.162699362996312
2212,słupski,6.160806618407446
2213,starogardzki,7.016561175526055
2214,tczewski,7.959559966023742
2215,wejherowski,8.328592104606477
2216,sztumski,5.772652388797364
2261,Gdańsk,7.0668579626972745
2262,Gdynia,7.384606277655277
2263,Słupsk,6.075086939036218
2264,Sopot,5.603741882748285
2401,będziński,6.7930297372622235
2402,bielski,7.96187006966045
2403,cieszyński,7.720457082359982
2404,częstochowski,5.903544272749571
2405,gliwicki,8.206924898710144
2406,kłobucki,6.000702423360594
2407,lubliniecki,6.225086168140267
2408,mikołowski,7.851442602823819
2409,myszkowski,6.431787757088962
2410,pszczyński,7.488005793428081
2411,raciborski,6.298564546972961
2412,rybnicki,6.91609977324263
2413,tarnogórski,6.444806895210163
2414,bieruńsko-lędziński,7.356621301977992
2415,wodzisławski,7.036291434559594
2416,zawierciański,7.898782278262371
2417,żywiecki,6.61507872534795
2461,Bielsko-Biała,7.260617475860348
2462,Bytom,6.893221464356854
2463,Chorzów,7.760341169303166
2464,Częstochowa,6.046470536266455
2465,Dąbrowa Górnicza,6.139982883895759
2466,Gliwice,7.514997355063084
2467,Jastrzębie-Zdrój,7.202269806241968
2468,Jaworzno,7.056358780734874
2469,Katowice,7.262255014382974
2470,Mysłowice,6.779469825155104
2471,Piekary Śląskie,5.529329825104473
2472,Ruda Śląska,7.605701473414478
2473,Rybnik,7.285820020970826
2474,Siemianowice Śląskie,7.576761652308372
2475,Sosnowiec,5.300567633930791
2476,Świętochłowice,7.599482832926303
2477,Tychy,7.700128257265305
2478,Zabrze,9.420204111817778
2479,Żory,7.621191135734072
2601,buski,4.6662268338031545
2602,jędrzejowski,4.934117586623174
2603,kazimierski,4.896561988391129
2604,kielecki,6.875540409948629
2605,konecki,5.147442768021547
2606,opatowski,4.491275776116021
2607,ostrowiecki,5.999786939384255
2608,pińczowski,5.028512182477968
2609,sandomierski,5.944817300521999
2610,skarżyski,6.092000461733811
2611,starachowicki,6.89962216927779
2612,staszowski,5.279299014238773
2613,włoszczowski,5.414343758858546
2661,Kielce,6.626109504338287
2801,bartoszycki,4.937655860349127
2802,braniewski,5.492544921626099
2803,działdowski,5.374041045212041
2804,elbląski,5.608011444921316
