data,teryt,powiat,ludnosc,zaszczepieni,%_zaszczepieni
2021-08-07,1001,bełchatowski,112443,46813,41.632649431267396
2021-08-07,1002,kutnowski,95516,49207,51.51702332593492
2021-08-07,1003,łaski,49736,22607,45.45399710471288
2021-08-07,1004,łęczycki,49286,23431,47.54088382096336
2021-08-07,1005,łowicki,77614,39183,50.48444868193882
2021-08-07,1006,łódzki wschodni,72565,35789,49.31992007165989
2021-08-07,1007,opoczyński,75524,33306,44.09988877707748
2021-08-07,1008,pabianicki,118941,61011,51.295179963175016
2021-08-07,1009,pajęczański,50952,21863,42.909012403831056
2021-08-07,1010,piotrkowski,91208,39865,43.70778879045697
2021-08-07,1011,poddębicki,40906,19135,46.77797878061898
2021-08-07,1012,radomszczański,111696,51016,45.67397221028506
2021-08-07,1013,rawski,48385,20619,42.61444662602047
2021-08-07,1014,sieradzki,116918,53474,45.7363280247695
2021-08-07,1015,skierniewicki,38173,16331,42.78154716684568
2021-08-07,1016,tomaszowski,115735,53233,45.99559338143172
2021-08-07,1017,wieluński,75736,36278,47.900602091475655
2021-08-07,1018,wieruszowski,41984,19187,45.7007431402439
2021-08-07,1019,zduńskowolski,66064,29851,45.18497214821991
2021-08-07,1020,zgierski,165850,85366,51.4718118782032
2021-08-07,1021,brzeziński,30648,13939,45.480944922996606
2021-08-07,1061,Łódź,672185,390409,58.08058793338143
2021-08-07,1062,Piotrków Trybunalski,72250,37470,51.86159169550173
2021-08-07,1063,Skierniewice,47655,26516,55.64159059909768
2021-08-07,1201,bocheński,106947,46741,43.70482575481313
2021-08-07,1202,brzeski,93035,34912,37.52566238512387
2021-08-07,1203,chrzanowski,123664,64043,51.78790917324363
2021-08-07,1204,dąbrowski,58977,18833,31.932787357783543
2021-08-07,1205,gorlicki,108487,38624,35.602422410058345
2021-08-07,1206,krakowski,281440,149895,53.26001989766913
2021-08-07,1207,limanowski,132148,44154,33.41253745800164
2021-08-07,1208,miechowski,48464,25335,52.27591614394189
2021-08-07,1209,myślenicki,127972,54447,42.54602569312037
2021-08-07,1210,nowosądecki,217071,76872,35.41329795320426
2021-08-07,1211,nowotarski,191646,60578,31.609321352911095
2021-08-07,1212,olkuski,110471,57468,52.02089236089109
2021-08-07,1213,oświęcimski,152687,80421,52.670495850989276
2021-08-07,1214,proszowicki,43057,20204,46.923845135518036
2021-08-07,1215,suski,83761,37795,45.12243168061508
2021-08-07,1216,tarnowski,201230,70653,35.11056999453362
2021-08-07,1217,tatrzański,68049,22249,32.69555761289659
2021-08-07,1218,wadowicki,159662,73592,46.09237013190365
2021-08-07,1219,wielicki,130651,64918,49.68810035897161
2021-08-07,1261,Kraków,779966,489694,62.78401879056267
2021-08-07,1262,Nowy Sącz,83558,36714,43.93834222934967
2021-08-07,1263,Tarnów,107498,50908,47.35716013321178
2021-08-07,1401,białobrzeski,33329,14768,44.30976026883495
2021-08-07,1402,ciechanowski,88891,43128,48.5178477011171
2021-08-07,1403,garwoliński,108634,47421,43.65207945946941
2021-08-07,1404,gostyniński,44581,19675,44.13315089387856
2021-08-07,1405,grodziski,97462,52213,53.5726744782582
2021-08-07,1406,grójecki,97979,46813,47.77860561957154
2021-08-07,1407,kozienicki,59592,26137,43.85991408242717
2021-08-07,1408,legionowski,119882,68756,57.35306384611535
2021-08-07,1409,lipski,33598,13328,39.66902791832847
2021-08-07,1410,łosicki,30556,11290,36.94855347558581
2021-08-07,1411,makowski,44438,19989,44.98177235699176
2021-08-07,1412,miński,154951,76843,49.591806442036514
2021-08-07,1413,mławski,72269,32478,44.94043089014654
2021-08-07,1414,nowodworski,79265,41892,52.85056456191257
2021-08-07,1415,ostrołęcki,88497,30188,34.11189079855814
2021-08-07,1416,ostrowski,71790,29055,40.47221061429168
2021-08-07,1417,otwocki,124283,67700,54.47245399612175
2021-08-07,1418,piaseczyński,190606,115386,60.536394447184236
2021-08-07,1419,płocki,110742,50028,45.17527225442922
2021-08-07,1420,płoński,86671,38688,44.637768111594426
2021-08-07,1421,pruszkowski,166679,101596,60.953089471379116
2021-08-07,1422,przasnyski,52101,22275,42.75349801347383
2021-08-07,1423,przysuski,41126,18222,44.30773719787969
2021-08-07,1424,pułtuski,51741,23846,46.08724222570109
2021-08-07,1425,radomski,152190,57903,38.04652079637296
2021-08-07,1426,siedlecki,81385,26689,32.79351231799472
2021-08-07,1427,sierpecki,51534,22585,43.82543563472659
2021-08-07,1428,sochaczewski,84804,41137,48.50832507900571
2021-08-07,1429,sokołowski,53294,23256,43.637182422036254
2021-08-07,1430,szydłowiecki,39340,14614,37.147941026944586
2021-08-07,1432,warszawski zachodni,120144,70404,58.599680383539756
2021-08-07,1433,węgrowski,65410,27524,42.07919278397799
2021-08-07,1434,wołomiński,252408,124860,49.46752876295521
2021-08-07,1435,wyszkowski,74210,32438,43.711090149575526
2021-08-07,1436,zwoleński,35875,13124,36.582578397212544
2021-08-07,1437,żuromiński,38202,17799,46.59180147636249
2021-08-07,1438,żyrardowski,75370,35929,47.670160541329444
2021-08-07,1461,Ostrołęka,51656,23810,46.09338702183677
2021-08-07,1462,Płock,118268,64116,54.21246660127845
2021-08-07,1463,Radom,209296,101295,48.397962693983644
2021-08-07,1464,Siedlce,77813,33235,42.71137213576138
