teryt,powiat,ludnosc,zaszczepieni,%_zaszczepieni
1401,białobrzeski,33329,16065,48.2012661646014
1402,ciechanowski,88891,46009,51.758895726226505
1403,garwoliński,108634,50940,46.89139680026511
1404,gostyniński,44581,21452,48.119153899643344
1405,grodziski,97462,55404,56.84677104922944
1406,grójecki,97979,50294,51.331407750640444
1407,kozienicki,59592,28178,47.28487045240972
1408,legionowski,119882,72598,60.5578819172186
1409,lipski,33598,14701,43.75558068932675
1410,łosicki,30556,12180,39.86123838198717
1411,makowski,44438,21776,49.00310545029029
1412,miński,154951,82105,52.9877186981691
1413,mławski,72269,35515,49.14278598015747
1414,nowodworski,79265,44360,55.96417081940327
1415,ostrołęcki,88497,33165,37.475846638869115
1416,ostrowski,71790,31447,43.80415099596044
1417,otwocki,124283,71888,57.84218276031316
1418,piaseczyński,190606,121696,63.846888345592475
1419,płocki,110742,54301,49.03379025121454
1420,płoński,86671,41996,48.45450035190548
1421,pruszkowski,166679,107953,64.76700724146414
1422,przasnyski,52101,23882,45.83789178710581
1423,przysuski,41126,20117,48.91552788989934
1424,pułtuski,51741,25911,50.0782744825187
1425,radomski,152190,63257,41.564491753728895
1426,siedlecki,81385,29169,35.84075689623395
1427,sierpecki,51534,24770,48.06535491132068
1428,sochaczewski,84804,44092,51.992830526861944
1429,sokołowski,53294,25096,47.089728674897735
1430,szydłowiecki,39340,16131,41.004067107269954
1432,warszawski zachodni,120144,74711,62.18454521241177
1433,węgrowski,65410,29935,45.765173520868366
1434,wołomiński,252408,133678,52.96107888814935
1435,wyszkowski,74210,35042,47.22005120603692
1436,zwoleński,35875,14460,40.30662020905923
1437,żuromiński,38202,19475,50.97900633474687
1438,żyrardowski,75370,38648,51.27769669629826
1461,Ostrołęka,51656,25390,49.15208301068608
1462,Płock,118268,68012,57.50667974430953
1463,Radom,209296,106943,51.096533139668225
1464,Siedlce,77813,35487,45.605490085204266
1465,Warszawa,1794166,1246647,69.48336998917603
1601,brzeski,89282,41020,45.944311283349386
1602,głubczycki,45015,20816,46.24236365655893
1603,kędzierzyńsko-kozielski,93001,43171,46.41993096848421
1604,kluczborski,65026,29903,45.98622089625688
1605,krapkowicki,63196,27600,43.67365023102728
1606,namysłowski,42543,20339,47.80810003995957
1607,nyski,134864,66779,49.51580851821094
1608,oleski,63788,25858,40.53740515457453
1609,opolski,123532,53645,43.425994883916715
1610,prudnicki,54765,23139,42.25143796220214
1611,strzelecki,73923,32890,44.49224192741095
1661,Opole,127839,73599,57.571633069720505
1801,bieszczadzki,21489,8040,37.4144911349993
1802,brzozowski,65373,22172,33.916142750065006
1803,dębicki,134991,49603,36.7454126571401
1804,jarosławski,119727,46413,38.765691949184394
1805,jasielski,112863,41374,36.65860379398031
1806,kolbuszowski,62039,17487,28.187108109415043
1807,krośnieński,111905,39334,35.14945712881462
1808,leżajski,68996,23615,34.22662183314974
1809,lubaczowski,54711,22451,41.03562354919486
1810,łańcucki,81226,32380,39.86408292911137
1811,mielecki,136441,54627,40.03708562675442
1812,niżański,66221,21121,31.894716177647574
1813,przemyski,73919,27692,37.46262801174258
1814,przeworski,77979,29865,38.298772746508675
1815,ropczycko-sędziszowski,74573,23187,31.093022943960953
1816,rzeszowski,170550,63975,37.51099384344767
1817,sanocki,93818,34958,37.26150632074868
1818,stalowowolski,105431,39681,37.63693790251444
1819,strzyżowski,61161,20401,33.35622373734897
1820,tarnobrzeski,52720,19807,37.57018209408194
1821,leski,26375,9724,36.86824644549763
1861,Krosno,45944,20516,44.65436183179523
1862,Przemyśl,59779,28829,48.22596564010773
1863,Rzeszów,196638,97711,49.69080238814471
1864,Tarnobrzeg,46360,24163,52.120362381363236
2001,augustowski,57651,23115,40.09470781079253
2002,białostocki,150845,63983,42.416387682720675
2003,bielski,53695,21347,39.756029425458614
2004,grajewski,46792,15739,33.63609163959651
2005,hajnowski,41991,16951,40.36817413255221
2006,kolneński,37887,12760,33.67909837147307
2007,łomżyński,50819,17227,33.89873866073712
2008,moniecki,40070,14000,34.93885700024956
2009,sejneński,19689,8161,41.44954035248108
2010,siemiatycki,43618,16004,36.691274244577926
2011,sokólski,65883,28642,43.474037308562146
2012,suwalski,35577,13348,37.518621581358744
2013,wysokomazowiecki,56408,23223,41.16969224223514
2014,zambrowski,43191,17326,40.11483873955222
2061,Białystok,296958,148467,49.995959024508515
2062,Łomża,62573,27506,43.95825675610887
2063,Suwałki,69639,30884,44.34871264664915
2201,bytowski,79114,36230,45.794676037111
2202,chojnicki,97661,47751,48.89464576443002
2203,człuchowski,55835,27827,49.837915286110864
2204,gdański,120327,67364,55.98410996700658
2205,kartuski,141892,65121,45.894765032559974
2206,kościerski,72923,35716,48.977688795030375
2207,kwidzyński,82963,37829,45.59743500114509
